# generated_by: experiments/park_vs_traverse_demo.py
# git_commit: 0008148
# date: 2026-07-03 05:22 UTC
# start: (0.1, -0.2)  D_capture: -0.5
mode,steps,final_x,final_y,min_d_bot,final_d_bot,tail_std,park_steps
traverse,228,1.0013,-0.5098,0.0035,1.0014,0.32159,0
park,500,0.0000,-0.5124,0.0048,0.0124,0.00000,492
