x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.062817,0.091208,0.427081,0.057594,0.312179,-0.197730,-0.104722,0.198690,0.311361,0.502144,0.053676,-0.137388,0.589348,0.530688,0.335484
-0.058806,0.093526,0.421324,0.058584,0.307996,-0.192277,-0.103169,0.193907,0.312818,0.502912,0.057876,-0.135653,0.590033,0.536673,0.331237
-0.054521,0.095321,0.420266,0.050742,0.309300,-0.187336,-0.101913,0.192870,0.314690,0.493564,0.061848,-0.133216,0.593887,0.547235,0.337151
-0.049609,0.096581,0.422446,0.043333,0.313580,-0.182059,-0.100540,0.188841,0.317300,0.480022,0.065871,-0.131418,0.593511,0.553786,0.326338
-0.045249,0.097672,0.426709,0.040202,0.312002,-0.177791,-0.098980,0.189280,0.319328,0.468078,0.070276,-0.129648,0.598427,0.556762,0.327053
-0.040303,0.099136,0.428136,0.039347,0.308859,-0.172896,-0.097997,0.185768,0.319769,0.469314,0.075425,-0.128162,0.604964,0.562578,0.326946
-0.036557,0.101300,0.422955,0.028911,0.321212,-0.169182,-0.095802,0.180929,0.319238,0.479464,0.079272,-0.126743,0.613124,0.561283,0.331138
-0.032351,0.103214,0.420966,0.026358,0.325386,-0.165112,-0.094803,0.177564,0.320541,0.491727,0.083674,-0.125338,0.613738,0.572385,0.334618
-0.028979,0.105195,0.416968,0.024372,0.328426,-0.160973,-0.093876,0.178689,0.324204,0.486504,0.087845,-0.123050,0.618208,0.578606,0.343224
-0.025880,0.106222,0.415747,0.022861,0.340473,-0.157256,-0.092948,0.172714,0.325466,0.480303,0.092438,-0.121082,0.620531,0.587352,0.352337
-0.022876,0.108381,0.408375,0.020031,0.339668,-0.154586,-0.090911,0.167051,0.331083,0.472180,0.096579,-0.118258,0.622441,0.589922,0.360105
-0.020076,0.110042,0.398251,0.010507,0.350056,-0.152089,-0.087807,0.160601,0.330794,0.475730,0.100055,-0.116292,0.620124,0.589922,0.360105
-0.017838,0.112518,0.392039,0.010507,0.350056,-0.150141,-0.083888,0.149792,0.325774,0.473817,0.103098,-0.114010,0.618311,0.602479,0.355693
-0.015338,0.114179,0.385283,0.004260,0.359874,-0.148502,-0.082413,0.138853,0.321004,0.473824,0.106498,-0.112407,0.618973,0.602479,0.355693
-0.012976,0.114811,0.384414,0.004260,0.359874,-0.147014,-0.080876,0.129605,0.322498,0.478512,0.109270,-0.111700,0.620390,0.608645,0.365789
-0.010202,0.115901,0.385958,0.996182,0.365683,-0.145546,-0.079586,0.120937,0.322976,0.475277,0.111740,-0.110746,0.629162,0.614314,0.371022
-0.007263,0.117610,0.378011,0.996182,0.365683,-0.144067,-0.078731,0.113644,0.321940,0.470189,0.114199,-0.109401,0.627705,0.616593,0.371105
-0.005612,0.118220,0.378318,0.997714,0.374556,-0.142963,-0.077689,0.106911,0.321174,0.467426,0.116314,-0.107816,0.626262,0.616593,0.371105
-0.004300,0.118288,0.381180,0.996870,0.378115,-0.141437,-0.076742,0.095934,0.320726,0.462578,0.117775,-0.107023,0.623516,0.624295,0.367833
-0.003533,0.119007,0.378324,0.996870,0.378115,-0.140399,-0.075542,0.091428,0.321617,0.459361,0.119118,-0.106177,0.628272,0.631973,0.367415
-0.001943,0.119157,0.377849,0.995812,0.382915,-0.138197,-0.075572,0.089839,0.322365,0.459399,0.120782,-0.106109,0.634152,0.631684,0.368530
-0.001575,0.119457,0.381319,0.993061,0.385465,-0.135414,-0.075339,0.095443,0.323461,0.457357,0.121902,-0.105949,0.640051,0.634002,0.368882
-0.000332,0.119114,0.381873,0.985946,0.390238,-0.132828,-0.075100,0.093649,0.324834,0.455634,0.123191,-0.105979,0.646065,0.634447,0.368541
-0.000726,0.119227,0.385212,0.985946,0.390238,-0.131204,-0.074963,0.098660,0.323792,0.453585,0.124167,-0.105846,0.651318,0.634447,0.368541
-0.000550,0.119084,0.386069,0.985435,0.390252,-0.130188,-0.075398,0.102760,0.324081,0.449978,0.124508,-0.105912,0.652797,0.637329,0.369194
-0.000636,0.119087,0.385316,0.985445,0.390718,-0.128952,-0.075843,0.107819,0.324615,0.448952,0.124450,-0.105826,0.652571,0.639044,0.369487
-0.000376,0.119142,0.384863,0.985412,0.390979,-0.127990,-0.076472,0.112610,0.326125,0.447009,0.124814,-0.105999,0.654233,0.638063,0.369710
-0.000653,0.119109,0.385626,0.985165,0.390498,-0.128107,-0.076293,0.112291,0.326624,0.446005,0.124796,-0.105851,0.654781,0.641320,0.370073
-0.000307,0.119140,0.384638,0.985420,0.391438,-0.127973,-0.076592,0.113535,0.326924,0.447890,0.124884,-0.105928,0.654916,0.640763,0.369791
-0.000693,0.119167,0.386450,0.984382,0.391304,-0.128141,-0.076213,0.112821,0.327506,0.446591,0.124780,-0.105828,0.654742,0.640763,0.369791
-0.000551,0.119135,0.385440,0.985061,0.390804,-0.127966,-0.076454,0.112818,0.326850,0.446966,0.124858,-0.105904,0.654800,0.640763,0.369791
-0.000443,0.119147,0.384886,0.985109,0.391006,-0.128064,-0.076398,0.113075,0.327381,0.448191,0.124816,-0.105943,0.654440,0.640763,0.369791
-0.000677,0.119246,0.384129,0.984354,0.391554,-0.128105,-0.076316,0.112346,0.327259,0.447233,0.124810,-0.105848,0.654834,0.639814,0.370481
-0.000365,0.119230,0.384712,0.985031,0.391052,-0.127941,-0.076605,0.113148,0.327259,0.447233,0.124890,-0.105982,0.654520,0.639790,0.370322
-0.000750,0.119117,0.385864,0.985082,0.391254,-0.128220,-0.076243,0.112373,0.326671,0.448089,0.124768,-0.105802,0.654949,0.639814,0.370481
-0.000490,0.119245,0.384790,0.983993,0.390910,-0.127943,-0.076526,0.109990,0.327142,0.448827,0.124896,-0.106025,0.654248,0.640763,0.369791
-0.000751,0.119119,0.385973,0.984046,0.391114,-0.128186,-0.076220,0.112272,0.327142,0.448827,0.124751,-0.105792,0.654952,0.640763,0.369791
-0.000334,0.119087,0.382306,0.985057,0.391498,-0.127952,-0.076505,0.112765,0.327077,0.448347,0.124872,-0.105925,0.654933,0.640765,0.369946
