config_name,robot_type,series,desired_radius,analytical_avg_radius,analytical_std_radius,analytical_radius_error,analytical_avg_x_est,analytical_avg_y_est,analytical_std_x_est,analytical_std_y_est,analytical_avg_center_error,analytical_std_center_error,analytical_rmse,nn_avg_radius,nn_std_radius,nn_radius_error,nn_avg_x_est,nn_avg_y_est,nn_std_x_est,nn_std_y_est,nn_avg_center_error,nn_std_center_error,nn_rmse,rbf_avg_radius,rbf_std_radius,rbf_radius_error,rbf_avg_x_est,rbf_avg_y_est,rbf_std_x_est,rbf_std_y_est,rbf_avg_center_error,rbf_std_center_error,rbf_rmse,real_avg_radius,real_std_radius,real_radius_error,real_avg_x_est,real_avg_y_est,real_std_x_est,real_std_y_est,real_avg_center_error,real_std_center_error,real_rmse,nn_vs_analytical,rbf_vs_analytical,analytical_vs_real,nn_vs_real,rbf_vs_real
orbit130,4-robot-square,1XX,0.300000,0.362561,0.000014,0.062561,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.362561,0.403793,0.024448,0.103793,0.020713,-0.017720,0.036417,0.038720,0.051418,0.030408,0.404532,0.352430,0.036678,0.052430,0.020993,-0.029368,0.156792,0.130114,0.118802,0.169419,0.354333,0.409930,0.036543,0.109930,0.019300,-0.056178,0.263393,0.249846,0.366680,0.029546,0.411555,0.041231,-0.010132,-0.047368,-0.006137,-0.057500
orbit140,4-robot-square,1XX,0.400000,0.450352,0.000015,0.050352,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.450352,0.475900,0.025981,0.075900,0.025060,-0.008492,0.034178,0.036984,0.049464,0.028096,0.476609,0.468652,0.050402,0.068652,0.044996,0.003282,0.108334,0.171622,0.140575,0.153181,0.471354,0.454189,0.041009,0.054189,0.024460,-0.069942,0.294519,0.276452,0.409161,0.035281,0.456036,0.025548,0.018300,-0.003837,0.021711,0.014463
orbit150,4-robot-square,1XX,0.500000,0.541843,0.000015,0.041843,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.541843,0.533527,0.031878,0.033527,0.028295,-0.004175,0.041702,0.048734,0.059092,0.037951,0.534478,0.556719,0.064134,0.056719,0.134899,0.056414,2.098495,0.784338,0.275478,2.228084,0.560401,0.462791,0.043785,-0.037209,0.055677,-0.053581,0.309836,0.274186,0.419377,0.035632,0.464858,-0.008316,0.014876,0.079052,0.070736,0.093928
orbit160,4-robot-square,1XX,0.600000,0.635663,0.000014,0.035663,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.635663,0.587840,0.038699,-0.012160,0.031235,-0.005571,0.061749,0.066641,0.076526,0.058347,0.589113,0.613609,0.011365,0.013609,-0.198621,1.488388,0.974555,4.302136,3.913760,2.528905,0.613714,0.498062,0.044063,-0.101938,0.049587,0.003875,0.343055,0.299755,0.456857,0.035993,0.500008,-0.047823,-0.022054,0.137601,0.089778,0.115547
orbit201,4-robot-advanced,2XX,0.010000,0.060392,0.000854,0.050392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060398,0.047138,0.006227,0.037138,-0.321328,-0.113066,0.475151,0.189661,0.420431,0.448344,0.047547,0.108794,0.031460,0.098794,0.024297,0.015472,0.278852,0.665565,0.138164,0.708855,0.113251,0.121473,0.006998,0.111473,-0.002062,-0.000247,0.015405,0.014483,0.020256,0.006412,0.121674,-0.013254,0.048402,-0.061081,-0.074335,-0.012679
orbit210,4-robot-advanced,2XX,0.100000,0.111168,0.002629,0.011168,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.111199,0.114546,0.002796,0.014546,-0.881193,0.202375,0.586230,0.539884,1.000672,0.671755,0.114580,0.131163,0.025610,0.031163,-0.075960,0.045770,0.255898,0.371951,0.209253,0.409767,0.133640,0.125738,0.009309,0.025738,-0.008973,-0.000017,0.018191,0.017320,0.025137,0.008917,0.126082,0.003378,0.019995,-0.014570,-0.011192,0.005425
orbit220,4-robot-advanced,2XX,0.200000,0.202693,0.002256,0.002693,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202705,0.225764,0.012412,0.025764,0.017942,-0.005476,0.017527,0.022884,0.031282,0.014290,0.226105,0.235076,0.034661,0.035076,0.035432,-0.039866,0.364584,0.903361,0.133343,0.966461,0.237617,0.329084,0.044781,0.129084,0.005436,-0.003360,0.201627,0.198805,0.280042,0.042359,0.332117,0.023072,0.032383,-0.126391,-0.103319,-0.094008
orbit230,4-robot-advanced,2XX,0.300000,0.347326,0.000373,0.047326,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.347326,0.387031,0.026390,0.087031,0.015867,-0.019200,0.027000,0.025870,0.036545,0.026136,0.387930,0.369877,0.033652,0.069877,0.012466,-0.048386,0.174940,0.638830,0.106926,0.655570,0.371405,0.438714,0.038969,0.138714,0.013942,0.015463,0.283909,0.289065,0.404242,0.034423,0.440441,0.039705,0.022551,-0.091388,-0.051683,-0.068837
orbit233,4-robot-advanced,2XX,0.330000,0.379235,0.000300,0.049235,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.379235,0.424584,0.025871,0.094584,0.016378,-0.014757,0.031109,0.029599,0.039663,0.027508,0.425372,0.395971,0.031513,0.065971,0.009795,-0.018113,0.070605,0.070187,0.075727,0.067828,0.397223,0.479745,0.087133,0.149745,0.130718,0.022937,0.313657,0.282473,0.433864,0.086874,0.487594,0.045350,0.016737,-0.100511,-0.055161,-0.083774
orbit240,4-robot-advanced,2XX,0.400000,0.449845,0.000216,0.049845,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.449845,0.488110,0.025964,0.088110,0.022455,-0.014457,0.034107,0.032402,0.046022,0.028432,0.488800,0.462861,0.046252,0.062861,0.022453,-0.008124,0.068826,0.103156,0.089829,0.088765,0.465166,0.510268,0.054555,0.110268,0.052574,-0.044344,0.351507,0.323301,0.479836,0.050681,0.513176,0.038265,0.013016,-0.060423,-0.022158,-0.047408
orbit250,4-robot-advanced,2XX,0.500000,0.541836,0.000042,0.041836,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.541836,0.551656,0.029665,0.051656,0.022891,-0.009548,0.033063,0.031438,0.045304,0.025382,0.552453,0.543677,0.074554,0.043677,0.015796,0.038703,0.259797,0.317509,0.173012,0.374327,0.548765,0.592154,0.057448,0.092154,0.153569,0.022879,0.378085,0.395769,0.566465,0.052966,0.594934,0.009820,0.001842,-0.050318,-0.040498,-0.048476
