Time(s),Radius(m)
318.000000,0.176670
319.000000,0.175003
320.000000,0.172562
321.000000,0.167481
322.000000,0.167362
323.000000,0.172618
324.000000,0.179608
325.000000,0.185810
326.000000,0.193443
327.000000,0.202578
328.000000,0.212296
329.000000,0.221447
330.000000,0.230868
331.000000,0.240413
332.000000,0.250030
333.000000,0.260326
334.000000,0.270455
335.000000,0.279133
336.000000,0.287591
337.000000,0.296759
338.000000,0.303651
339.000000,0.304886
340.000000,0.308773
341.000000,0.311050
342.000000,0.313029
343.000000,0.313095
344.000000,0.312132
345.000000,0.310017
346.000000,0.307981
347.000000,0.305633
348.000000,0.301845
349.000000,0.298215
350.000000,0.294014
351.000000,0.289043
352.000000,0.284205
353.000000,0.280554
354.000000,0.278497
355.000000,0.277073
356.000000,0.276321
357.000000,0.275006
358.000000,0.272576
359.000000,0.269660
360.000000,0.265555
361.000000,0.260550
362.000000,0.259500
363.000000,0.259500
364.000000,0.260000
365.000000,0.261217
366.000000,0.265138
367.000000,0.267273
368.000000,0.269827
369.000000,0.271874
370.000000,0.274877
371.000000,0.278354
372.000000,0.284133
373.000000,0.290048
374.000000,0.295114
375.000000,0.300920
376.000000,0.307585
377.000000,0.313115
378.000000,0.317913
379.000000,0.321884
380.000000,0.325431
381.000000,0.326268
382.000000,0.326013
383.000000,0.326992
384.000000,0.325763
385.000000,0.321726
386.000000,0.318813
387.000000,0.316063
388.000000,0.312019
389.000000,0.308207
390.000000,0.300912
391.000000,0.298124
392.000000,0.296632
393.000000,0.298281
394.000000,0.300329
395.000000,0.300592
396.000000,0.302086
397.000000,0.301523
398.000000,0.301298
399.000000,0.299111
400.000000,0.294440
401.000000,0.284007
402.000000,0.274378
403.000000,0.263259
404.000000,0.257037
405.000000,0.244630
406.000000,0.234643
407.000000,0.228026
408.000000,0.222774
409.000000,0.222437
410.000000,0.219169
411.000000,0.213448
412.000000,0.209182
413.000000,0.205456
414.000000,0.201358
415.000000,0.198025
416.000000,0.194584
417.000000,0.192214
418.000000,0.193482
419.000000,0.194021
420.000000,0.194977
421.000000,0.195074
422.000000,0.193035
423.000000,0.192346
424.000000,0.190878
425.000000,0.187225
426.000000,0.185493
427.000000,0.183171
428.000000,0.180451
429.000000,0.177609
430.000000,0.176122
431.000000,0.175405
432.000000,0.172571
433.000000,0.165148
434.000000,0.161839
435.000000,0.166074
436.000000,0.171347
437.000000,0.177854
438.000000,0.185928
439.000000,0.194534
440.000000,0.203469
441.000000,0.212937
442.000000,0.222870
443.000000,0.232895
444.000000,0.242498
445.000000,0.253929
446.000000,0.265090
447.000000,0.272933
448.000000,0.278956
449.000000,0.288031
450.000000,0.291271
451.000000,0.294383
452.000000,0.297306
453.000000,0.298131
454.000000,0.298209
455.000000,0.296568
456.000000,0.295243
457.000000,0.293369
458.000000,0.290398
459.000000,0.287751
460.000000,0.284987
461.000000,0.279148
462.000000,0.271982
463.000000,0.265529
464.000000,0.260404
465.000000,0.260340
466.000000,0.260114
467.000000,0.259956
468.000000,0.259114
469.000000,0.257135
470.000000,0.253947
471.000000,0.251079
472.000000,0.251205
473.000000,0.251621
474.000000,0.253899
475.000000,0.256503
476.000000,0.259873
477.000000,0.263016
478.000000,0.265832
479.000000,0.269298
480.000000,0.272987
481.000000,0.277975
482.000000,0.284610
483.000000,0.290251
484.000000,0.294966
485.000000,0.300937
486.000000,0.307699
487.000000,0.314626
488.000000,0.320809
489.000000,0.326193
490.000000,0.330381
491.000000,0.332744
492.000000,0.333274
493.000000,0.332801
494.000000,0.331780
495.000000,0.328980
496.000000,0.327329
497.000000,0.324326
498.000000,0.321191
499.000000,0.318137
500.000000,0.313172
501.000000,0.308692
502.000000,0.304661
503.000000,0.304747
504.000000,0.305406
505.000000,0.306625
506.000000,0.307490
507.000000,0.307341
508.000000,0.306141
509.000000,0.304487
510.000000,0.300658
511.000000,0.293972
512.000000,0.283154
513.000000,0.267955
514.000000,0.250939
515.000000,0.239496
