# generated_by: experiments/baseline_fixed_weights.py
# git_commit: 148df0a
# date: 2026-07-17T10:34:52.407541+00:00
# trials_per_cell: 2000  seed: 20260718  rho: 0.075  per_axis_pert_std: delta*rho
point,delta,sigma_uv,estimator,bias_D,rmse_D,bias_grad,rmse_grad,bias_dev_H,std_dev_H,bias_over_std,mean_eig_angle_err_deg
near_saddle,0.0,0.0,fixed,0.02611445330902118,0.026114453309021287,0.2500714722688545,0.25007147226888726,0.12250046012896354,1.071365218763276e-14,11434052364549.523,4.069306645757793e-05
near_saddle,0.0,0.0,ls,0.026114453309020957,0.026114453309021183,0.25007147226889637,0.250071472268892,0.12250046012896365,8.659739592076221e-15,14145975040756.795,4.0693066610244554e-05
near_saddle,0.0,0.01,fixed,0.02536870566332816,0.11762876838120567,0.20166178728865028,6.989701769575031,0.44387021168111124,35.38101045918338,0.012545436264268755,44.31640344712351
near_saddle,0.0,0.01,ls,0.02536870566332805,0.11762876838120566,0.20166178728865342,6.989701769575034,0.4438702116811115,35.38101045918339,0.012545436264268756,44.31640344712351
near_saddle,0.02,0.0,fixed,0.026686996373435745,0.03087703851074646,0.23411982637677506,0.9932255622793832,0.10969732630128527,0.9258936824384513,0.11847723813427942,33.30047096488243
near_saddle,0.02,0.0,ls,0.026104613509288055,0.026109954542183848,0.24995901387632416,0.2510903012649657,0.12242177449216608,0.014540424895359954,8.41940833044243,0.5519618423019921
near_saddle,0.02,0.01,fixed,0.02054595901254641,0.12176552194413301,0.3551623573407309,7.093470343271346,0.7780334693903083,36.46035503830609,0.021339163279482286,44.25204023150947
near_saddle,0.02,0.01,ls,0.019951501160362706,0.11996727654214807,0.3562657680296401,7.080527616682802,0.8476753454434535,36.16421943677337,0.02343961403412733,43.88710764553599
near_saddle,0.05,0.0,fixed,0.024384820958372466,0.04744928151062883,0.2833525167217143,2.4397649059405646,0.27595910694147757,4.584233670796879,0.060197434676908065,43.728965131088664
near_saddle,0.05,0.0,ls,0.026218121179982568,0.026253958647771428,0.25147931505725735,0.25855537113677635,0.12356564229229004,0.036595241549342086,3.376549438147144,1.3994039059397823
near_saddle,0.05,0.01,fixed,0.024705779399852523,0.1250414302339641,0.4114945248146687,7.353547121821094,1.0905039875542732,39.98379950017517,0.027273645856229742,45.39627011929888
near_saddle,0.05,0.01,ls,0.02496535144696488,0.12078593264530027,0.41041516987858045,7.061438706236309,0.7773858379855787,35.89876512413275,0.02165494649460756,44.68498389457321
near_saddle,0.1,0.0,fixed,0.02637266941102645,0.08340340800688606,0.1858288354410183,4.953461633181799,0.37105830377989063,18.904034594003747,0.019628524373182656,43.90287446979566
near_saddle,0.1,0.0,ls,0.026364694749770656,0.02650406211037963,0.2447163299168494,0.27260955964340605,0.11863659420117793,0.07489456567690259,1.5840480965331953,2.79586432402681
near_saddle,0.1,0.01,fixed,0.026280393199955898,0.14313597393672672,0.2710504017534878,8.511897405804062,1.316988628417972,52.7944238119794,0.024945600942786285,44.80345580186756
near_saddle,0.1,0.01,ls,0.026552582383144063,0.1262777703553923,0.295281088560101,7.408645691208796,0.7865195324974781,40.332769120275785,0.019500757068080528,44.734249581824756
near_saddle,0.2,0.0,fixed,0.02907641861089838,0.1663135035781911,0.19059036792855538,9.79521853927599,0.3771159069119162,71.64967263909529,0.00526333049435518,45.466560312157306
near_saddle,0.2,0.0,ls,0.02685868158480742,0.02743601856449722,0.234508273279676,0.34644013222514747,0.1182074419865619,0.16541525680584995,0.7146102739803712,6.3736062052182705
near_saddle,0.2,0.01,fixed,0.0378163304582011,0.20571667650925418,0.23766625667504554,12.05281553232507,4.891164972310848,110.61312630602903,0.04421866676816142,44.31477722812743
near_saddle,0.2,0.01,ls,0.01684296354701631,0.8266014187755161,2.792396520435724,127.91824813920122,14.044127725563564,521.7744843317419,0.026916087595870962,44.822122359559714
generic_strain,0.0,0.0,fixed,0.008383199522063789,0.008383199522063735,0.15006964587995186,0.15006964588001806,0.5004438834349239,1.5134298676386862e-14,33066869772811.9,31.736834942871265
generic_strain,0.0,0.0,ls,0.00838319952206329,0.0083831995220634,0.15006964587995186,0.1500696458800142,0.5004438834349415,1.6139622597267196e-14,31007161438810.72,31.736834942870917
generic_strain,0.0,0.01,fixed,0.011376927916526114,0.08500057863499684,0.2977456411591835,5.131041604663487,0.7275605745595778,39.54401175664219,0.018398754760570537,45.01867911864385
generic_strain,0.0,0.01,ls,0.011376927916526058,0.08500057863499685,0.29774564115918356,5.131041604663487,0.7275605745595912,39.544011756642206,0.01839875476057087,45.01867911864385
generic_strain,0.02,0.0,fixed,0.0082790590500747,0.01012182430625767,0.15169092394447087,0.3715502619340688,0.3918510010933834,2.958530697104438,0.1324478402326176,44.51447573818545
generic_strain,0.02,0.0,ls,0.008385739782791057,0.00838753504517373,0.15022249589344344,0.15043478356324355,0.5004833435729135,0.07036800589745447,7.112370702990437,31.899273900495583
generic_strain,0.02,0.01,fixed,0.006288353535364444,0.08564475800392095,0.11364813421692532,5.350246872502425,0.10486326115134595,42.18649371938986,0.0024857069622533823,44.279812522047834
generic_strain,0.02,0.01,ls,0.006552245005910062,0.08565237846471076,0.12354515287906133,5.339158011717888,0.15586502820851225,41.71507056077122,0.0037364201022133106,44.26996401032732
generic_strain,0.05,0.0,fixed,0.008212453968136302,0.01701402983845695,0.12953926429002469,0.8463322641806637,0.4493072640704817,7.666746575890788,0.05860468448029761,45.336757597356026
generic_strain,0.05,0.0,ls,0.008403380485213996,0.008414305757457032,0.15025813640810096,0.15161464161406993,0.4979595992119969,0.17778500072196027,2.8009089472669344,32.85717143529331
generic_strain,0.05,0.01,fixed,0.007211588382949441,0.08745104363796413,0.18999267579581888,5.230206599802914,1.3404771586364865,44.35685162508959,0.030220295389005284,44.36950569094232
generic_strain,0.05,0.01,ls,0.007147078107136995,0.0875447202834932,0.18974251722856342,5.25015154616188,1.681833384892799,42.71857926054009,0.03937006834041268,44.216226084232794
generic_strain,0.1,0.0,fixed,0.008224198007738437,0.0312752874538727,0.125265254605905,1.6998928734965872,0.6426373875378233,16.04386920217707,0.04005501287997416,44.5053698119379
generic_strain,0.1,0.0,ls,0.008476251754299835,0.008521888795334597,0.15061620091245975,0.15594866905947674,0.4964095486229733,0.35160669560174795,1.4118318986315275,34.575727614465876
generic_strain,0.1,0.01,fixed,0.010175357420896203,0.0940578576806644,0.2614769335746442,5.439328974100514,1.2636726749714975,49.826335245685456,0.025361541617310114,44.976037369583395
generic_strain,0.1,0.01,ls,0.008249204670442212,0.09385928921734576,0.20313648055827696,5.507407068418831,1.3667195586951064,44.586691896726684,0.030653082804634888,45.69464046282434
generic_strain,0.2,0.0,fixed,0.008396884455342701,0.05952613332469856,0.18939236107514174,3.4288827072186634,0.757150909420943,39.07090855642864,0.019378891799442504,44.33842020395755
generic_strain,0.2,0.0,ls,0.00863307275050268,0.008982493978561615,0.15391141641528203,0.18319088893060637,0.46232059824673233,0.8028082953135183,0.5758791992379497,39.13040253080477
generic_strain,0.2,0.01,fixed,0.010644923581343002,0.10532665331618435,0.1930004513079042,6.316524865977091,1.2084917415742646,78.60529775862368,0.015374176754411984,45.60103448872432
generic_strain,0.2,0.01,ls,0.008200606953371936,0.17077396830841615,0.3289480010228747,12.917244070140416,3.170673456511414,119.97014631478575,0.026428853793276096,44.634127297855436
