x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
0.397449,0.366733,-0.592326,0.873143,0.265938,0.280999,0.154492,-0.033088,0.869521,0.234733,0.536324,0.154370,-0.151315,0.762846,0.226009
0.394581,0.338624,-0.580408,0.872429,0.262365,0.281540,0.125970,-0.036427,0.853628,0.225647,0.537215,0.122297,-0.152223,0.759570,0.254087
0.392778,0.311016,-0.571742,0.862128,0.269215,0.280779,0.096674,-0.039475,0.834374,0.251524,0.539419,0.090949,-0.160826,0.749638,0.216890
0.390781,0.283222,-0.563642,0.858579,0.260927,0.280697,0.067627,-0.042413,0.828247,0.235557,0.541216,0.059559,-0.170147,0.739452,0.205454
0.389557,0.254645,-0.556174,0.854070,0.251730,0.280570,0.038390,-0.046709,0.816121,0.256851,0.541886,0.028347,-0.173715,0.734257,0.215306
0.387771,0.226158,-0.545012,0.857652,0.281631,0.279452,0.009257,-0.048954,0.806022,0.259083,0.541803,-0.003047,-0.182294,0.716012,0.222513
0.386310,0.197659,-0.534618,0.830824,0.258316,0.278746,-0.020636,-0.053255,0.790271,0.271421,0.541005,-0.034876,-0.184000,0.704845,0.218064
0.385282,0.169911,-0.528765,0.825310,0.302759,0.278845,-0.049893,-0.050613,0.769708,0.245107,0.541128,-0.066572,-0.183002,0.675154,0.216833
0.384430,0.141313,-0.515159,0.817731,0.283280,0.278277,-0.079771,-0.047471,0.742984,0.234571,0.540879,-0.097816,-0.189043,0.652264,0.210718
0.383927,0.111704,-0.507859,0.813617,0.296847,0.278580,-0.108667,-0.055221,0.722374,0.253094,0.539508,-0.128806,-0.190973,0.643827,0.222131
0.382497,0.082070,-0.501481,0.799016,0.259066,0.277628,-0.138489,-0.057893,0.699123,0.282524,0.540489,-0.159434,-0.198966,0.621058,0.216973
0.381745,0.053158,-0.495710,0.788751,0.253976,0.277059,-0.167575,-0.059674,0.683795,0.282870,0.540135,-0.190265,-0.203717,0.615831,0.230646
0.381714,0.021720,-0.482414,0.782317,0.264793,0.276594,-0.199917,-0.067876,0.678612,0.267685,0.540834,-0.224646,-0.216353,0.599874,0.226573
0.381639,-0.004769,-0.475150,0.777720,0.267120,0.275789,-0.226413,-0.071114,0.678945,0.252398,0.541129,-0.252166,-0.223620,0.592336,0.245335
0.381720,-0.034905,-0.470017,0.765423,0.242127,0.274765,-0.256574,-0.069895,0.669038,0.246278,0.540868,-0.283233,-0.225656,0.592757,0.265640
0.381548,-0.064629,-0.468472,0.758774,0.251307,0.274690,-0.286165,-0.067283,0.676628,0.224777,0.540703,-0.314099,-0.228870,0.595420,0.221333
0.382246,-0.093138,-0.462137,0.743757,0.258728,0.274726,-0.315129,-0.063753,0.663449,0.246433,0.539346,-0.344502,-0.230042,0.587293,0.225498
0.383155,-0.119748,-0.458868,0.735618,0.272635,0.273631,-0.341408,-0.068225,0.643633,0.246895,0.538292,-0.371447,-0.234944,0.577594,0.220130
0.383573,-0.143295,-0.449822,0.722453,0.285106,0.273805,-0.364598,-0.075535,0.637331,0.240282,0.538175,-0.393844,-0.238212,0.574070,0.222961
0.384172,-0.164942,-0.448306,0.717691,0.258453,0.272671,-0.384536,-0.074034,0.642200,0.229514,0.537460,-0.414056,-0.237536,0.575220,0.230557
0.384209,-0.182337,-0.447929,0.712665,0.268390,0.273015,-0.402466,-0.077288,0.644718,0.224122,0.535640,-0.432160,-0.235056,0.573453,0.223942
0.384194,-0.198173,-0.446684,0.704178,0.301446,0.272060,-0.418213,-0.079226,0.640171,0.227750,0.534698,-0.447292,-0.242882,0.567233,0.220858
0.384904,-0.211305,-0.441506,0.706104,0.269268,0.271988,-0.432475,-0.079500,0.635570,0.226757,0.534467,-0.461698,-0.248380,0.572799,0.243852
0.386395,-0.223405,-0.435563,0.695502,0.296721,0.271372,-0.446007,-0.081124,0.625363,0.234263,0.533643,-0.474081,-0.252145,0.572852,0.238278
0.387490,-0.234801,-0.430616,0.695669,0.299954,0.271532,-0.459112,-0.080256,0.631150,0.221385,0.533000,-0.485672,-0.256280,0.571814,0.237137
0.388436,-0.244153,-0.424073,0.697782,0.287405,0.270971,-0.469552,-0.081799,0.632603,0.224226,0.532020,-0.494604,-0.258692,0.556313,0.234454
0.389257,-0.252806,-0.417843,0.701482,0.281044,0.270863,-0.479002,-0.086915,0.622777,0.226999,0.531374,-0.502566,-0.262090,0.568829,0.233761
0.384213,-0.261966,-0.426431,0.705146,0.260500,0.268663,-0.488120,-0.086310,0.619484,0.228887,0.524486,-0.511546,-0.286157,0.564393,0.227635
0.361058,-0.268911,-0.450768,0.706113,0.232148,0.245140,-0.492992,-0.106112,0.617139,0.234316,0.494843,-0.519216,-0.312066,0.562014,0.236643
0.331694,-0.274645,-0.451659,0.691760,0.279700,0.213901,-0.501431,-0.109491,0.590698,0.252979,0.461847,-0.527708,-0.307746,0.566314,0.246675
0.301667,-0.279893,-0.447148,0.685804,0.293855,0.182300,-0.509509,-0.103052,0.575399,0.271789,0.430499,-0.535338,-0.313724,0.564876,0.240481
0.273426,-0.285008,-0.439056,0.691795,0.262248,0.152492,-0.516455,-0.093833,0.573878,0.268038,0.399966,-0.542347,-0.316978,0.562464,0.242670
0.244190,-0.290322,-0.438194,0.692631,0.248688,0.122792,-0.523198,-0.101340,0.562659,0.268478,0.369124,-0.548656,-0.315324,0.559963,0.238778
0.214945,-0.295174,-0.437658,0.682232,0.260095,0.093114,-0.529258,-0.097831,0.561536,0.265576,0.338545,-0.555284,-0.320870,0.556924,0.255091
0.185885,-0.299711,-0.425192,0.674528,0.285432,0.063159,-0.533860,-0.083574,0.545884,0.284159,0.307294,-0.559871,-0.314885,0.550189,0.250001
0.155831,-0.304263,-0.427553,0.661533,0.290078,0.033422,-0.537208,-0.086488,0.540055,0.276139,0.276622,-0.564047,-0.322951,0.548542,0.241643
0.126855,-0.306838,-0.419154,0.658788,0.263554,0.003100,-0.541702,-0.084234,0.531782,0.273657,0.246348,-0.567237,-0.323164,0.550203,0.250790
0.097219,-0.309796,-0.421719,0.660163,0.258915,-0.026927,-0.545807,-0.085888,0.526041,0.259236,0.215623,-0.570222,-0.322897,0.552127,0.261174
0.067261,-0.311349,-0.415830,0.633741,0.268521,-0.056432,-0.548877,-0.074317,0.505826,0.281370,0.184940,-0.573392,-0.326876,0.546394,0.259643
0.036880,-0.313793,-0.415071,0.615400,0.277265,-0.085758,-0.551150,-0.079938,0.490629,0.253728,0.155061,-0.575856,-0.319688,0.537579,0.249154
0.007342,-0.315520,-0.413317,0.593210,0.292435,-0.116425,-0.553459,-0.064841,0.478812,0.255826,0.124691,-0.578133,-0.320014,0.545971,0.279894
-0.022492,-0.318300,-0.411906,0.570448,0.295900,-0.147267,-0.555395,-0.060669,0.463021,0.256992,0.094234,-0.580055,-0.323069,0.541464,0.286838
-0.052116,-0.321026,-0.409796,0.552590,0.287813,-0.178324,-0.556340,-0.063846,0.446007,0.251840,0.064076,-0.581468,-0.323782,0.530972,0.276397
-0.082502,-0.324067,-0.400994,0.540648,0.279066,-0.208329,-0.558078,-0.069179,0.435141,0.250756,0.033324,-0.583031,-0.325064,0.522831,0.270329
-0.111964,-0.325858,-0.401214,0.526566,0.274441,-0.237543,-0.559880,-0.067404,0.432554,0.242833,0.002277,-0.585349,-0.323477,0.515172,0.266888
-0.141584,-0.327297,-0.399863,0.507510,0.269857,-0.266808,-0.561731,-0.065402,0.418161,0.246425,-0.027227,-0.586543,-0.323219,0.506217,0.256493
-0.171405,-0.328025,-0.392321,0.489385,0.263410,-0.296567,-0.563551,-0.061068,0.405181,0.237981,-0.055170,-0.587384,-0.323269,0.498836,0.260957
-0.204924,-0.330193,-0.391973,0.480747,0.256973,-0.328649,-0.566865,-0.050135,0.396074,0.236538,-0.089559,-0.588245,-0.327367,0.492205,0.264267
-0.231458,-0.330527,-0.388382,0.461219,0.233054,-0.355650,-0.568500,-0.023322,0.383420,0.249924,-0.117451,-0.590272,-0.326486,0.487289,0.268065
-0.260132,-0.332578,-0.385942,0.436708,0.242063,-0.383494,-0.565733,-0.051760,0.377063,0.271881,-0.146521,-0.589603,-0.334408,0.476210,0.259738
-0.295239,-0.335841,-0.375955,0.419694,0.231019,-0.419940,-0.565362,-0.035576,0.363686,0.273615,-0.181627,-0.588808,-0.330431,0.466063,0.259521
-0.306623,-0.336878,-0.378212,0.407616,0.237825,-0.432470,-0.567190,-0.008808,0.354397,0.260124,-0.192973,-0.588926,-0.330072,0.466063,0.259521
-0.326138,-0.339127,-0.378887,0.408098,0.239806,-0.452511,-0.567726,-0.008431,0.352503,0.260560,-0.212361,-0.590374,-0.334409,0.463972,0.246581
-0.342570,-0.338928,-0.365888,0.395271,0.222794,-0.469393,-0.566858,-0.025900,0.338926,0.256150,-0.228040,-0.588872,-0.336828,0.462848,0.256478
-0.356377,-0.339233,-0.362659,0.385982,0.219782,-0.484962,-0.566276,-0.032697,0.326729,0.252056,-0.243604,-0.587674,-0.334765,0.458790,0.257910
-0.371081,-0.339420,-0.359751,0.375406,0.225133,-0.499298,-0.567344,-0.027591,0.318057,0.260953,-0.256372,-0.586155,-0.330559,0.451972,0.250920
-0.382507,-0.340699,-0.354826,0.374861,0.229189,-0.511767,-0.569686,0.011645,0.317005,0.264068,-0.268834,-0.585800,-0.341687,0.446679,0.250215
-0.393076,-0.340501,-0.343900,0.365508,0.232653,-0.522738,-0.569105,-0.008887,0.310044,0.267676,-0.279565,-0.585294,-0.335246,0.439988,0.251248
-0.402290,-0.341638,-0.342129,0.359592,0.224587,-0.532893,-0.569377,0.005896,0.297756,0.264413,-0.287916,-0.583643,-0.337944,0.438813,0.246676
