controller,omega_rot,final_gap_inertial_vs_pulledback,mean_gap_common_steps,trench_dist_inertial,trench_dist_rotating,final_dist_to_top_saddle_inertial,final_dist_to_top_saddle_rotating
traverser,0.2,0.0248,0.0141,0.0,0.0048,1.0112,0.9918
logic_c,0.2,1.2188,0.3614,0.0051,0.0522,,
