omega_rot,v_rot_dot_v_true,seed_sign_survives
0.0,0.011378623275865361,1
0.01,0.011517640581770898,1
0.02,0.011656657887676433,1
0.03,0.011795675193581972,1
0.04,0.011934692499487509,1
0.05,0.012073709805393046,1
0.06,0.012212727111298581,1
0.07,0.01235174441720412,1
0.08,0.012490761723109655,1
0.09,0.012629779029015192,1
0.1,0.012768796334920729,1
0.11,0.012907813640826268,1
0.12,0.013046830946731803,1
0.13,0.01318584825263734,1
0.14,0.013324865558542879,1
0.15,0.013463882864448416,1
0.16,0.01360290017035395,1
0.17,0.013741917476259488,1
0.18,0.013880934782165025,1
0.19,0.014019952088070563,1
0.2,0.014158969393976099,1
0.21,0.014297986699881637,1
0.22,0.014437004005787173,1
0.23,0.014576021311692711,1
0.24,0.014715038617598248,1
0.25,0.014854055923503785,1
0.26,0.014993073229409324,1
0.27,0.01513209053531486,0
0.28,0.015271107841220396,0
0.29,0.015410125147125931,0
0.3,0.015549142453031468,0
0.31,0.015688159758937004,0
0.32,0.015827177064842542,0
0.33,0.01596619437074808,0
0.34,0.016105211676653616,0
0.35000000000000003,0.01624422898255915,0
0.36,0.01638324628846469,0
0.37,0.01652226359437023,0
0.38,0.016661280900275764,0
0.39,0.0168002982061813,0
0.4,0.016939315512086838,0
