r_band,run,start_x,start_y,cross_count,cross_frac,final_x,final_y,captured
0.05,S1,-0.45,0.3,0,0.0,0.0016622147946749714,0.48748550646244243,1
0.05,S2,0.05,0.4,0,0.0,-1.5293936004440178e-07,-0.5111563027872307,1
0.05,S3,0.0,0.0,0,0.0,-1.5292725058050719e-07,-0.5141480378835649,1
0.05,S4,0.1,-0.2,0,0.0,-1.9099522597612606e-05,-0.5141475049190231,1
0.05,S5,0.25,0.42,0,0.0,-0.0016582930321904082,0.4874907591556578,1
0.05,S6,-0.2,-0.3,0,0.0,0.000675649934789258,-0.5141771205147365,1
0.02,S1,-0.45,0.3,0,0.0,0.0016622147946749714,0.48748550646244243,1
0.02,S2,0.05,0.4,0,0.0,-1.5293936004440178e-07,-0.5111563027872307,1
0.02,S3,0.0,0.0,0,0.0,-1.5292725058050719e-07,-0.5141480378835649,1
0.02,S4,0.1,-0.2,0,0.0,-1.9099522597612606e-05,-0.5141475049190231,1
0.02,S5,0.25,0.42,0,0.0,-0.0016582930321904082,0.4874907591556578,1
0.02,S6,-0.2,-0.3,0,0.0,0.000675649934789258,-0.5141771205147365,1
0.01,S1,-0.45,0.3,0,0.0,0.0016622147946749714,0.48748550646244243,1
0.01,S2,0.05,0.4,0,0.0,-1.5293936004440178e-07,-0.5111563027872307,1
0.01,S3,0.0,0.0,0,0.0,-1.5292725058050719e-07,-0.5141480378835649,1
0.01,S4,0.1,-0.2,0,0.0,-1.9099522597612606e-05,-0.5141475049190231,1
0.01,S5,0.25,0.42,0,0.0,-0.0016582930321904082,0.4874907591556578,1
0.01,S6,-0.2,-0.3,0,0.0,0.000675649934789258,-0.5141771205147365,1
0.005,S1,-0.45,0.3,0,0.0,0.0016622147946749714,0.48748550646244243,1
0.005,S2,0.05,0.4,0,0.0,-1.5293936004440178e-07,-0.5111563027872307,1
0.005,S3,0.0,0.0,0,0.0,-1.5292725058050719e-07,-0.5141480378835649,1
0.005,S4,0.1,-0.2,0,0.0,-1.9099522597612606e-05,-0.5141475049190231,1
0.005,S5,0.25,0.42,0,0.0,-0.0016582930321904082,0.4874907591556578,1
0.005,S6,-0.2,-0.3,0,0.0,0.000675649934789258,-0.5141771205147365,1
0.001,S1,-0.45,0.3,0,0.0,0.0016622147946749714,0.48748550646244243,1
0.001,S2,0.05,0.4,0,0.0,-1.5293936004440178e-07,-0.5111563027872307,1
0.001,S3,0.0,0.0,0,0.0,-1.5292725058050719e-07,-0.5141480378835649,1
0.001,S4,0.1,-0.2,0,0.0,-1.9099522597612606e-05,-0.5141475049190231,1
0.001,S5,0.25,0.42,0,0.0,-0.0016582930321904082,0.4874907591556578,1
0.001,S6,-0.2,-0.3,0,0.0,0.000675649934789258,-0.5141771205147365,1
0.0,S1,-0.45,0.3,0,0.0,0.0016622147946749714,0.48748550646244243,1
0.0,S2,0.05,0.4,0,0.0,-1.5293936004440178e-07,-0.5111563027872307,1
0.0,S3,0.0,0.0,0,0.0,-1.5292725058050719e-07,-0.5141480378835649,1
0.0,S4,0.1,-0.2,0,0.0,-1.9099522597612606e-05,-0.5141475049190231,1
0.0,S5,0.25,0.42,0,0.0,-0.0016582930321904082,0.4874907591556578,1
0.0,S6,-0.2,-0.3,0,0.0,0.000675649934789258,-0.5141771205147365,1
