controller,omega_rot,final_gap_inertial_vs_pulledback,mean_gap_common_steps,trench_dist_inertial,trench_dist_rotating,final_dist_to_top_saddle_inertial,final_dist_to_top_saddle_rotating
oecs,0.2,0.0196,0.0168,0.0011,0.0049,0.0109,0.0091
logic_c,0.2,1.2188,0.3614,0.0051,0.0522,,
