# generated_by: experiments/mc_sweep_oecs_traverse.py
# git_commit: 0e2e370
# date: 2026-07-24 22:04 UTC
# trials_per_cell: 500  steps: 500  controller: oecs_separatrix_step (Primitive 11)
# g_perp: 1.0  s_trim: 0.05  r_band: 0.05  g_capture: 0.15  target: [(0.0, 0.5), (0.0, -0.5)]
# start: (0.0, 0.35)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,0,0,0.35,4.00215,0,89,1,1,1,0,0,0.01125,0.0131795,3.10698e-10,0.842751,0.0115236,-0.442072
0,0,7919,0,0.35,3.90662,0,89,1,1,1,0,0,0.00815569,0.00923062,3.10701e-10,0.832299,0.00795802,-0.442065
0,0,15838,0,0.35,0.467598,0,89,1,1,1,0,0,0.00795602,0.00990785,3.10698e-10,0.838153,0.00897066,-0.442064
0,0,23757,0,0.35,4.00528,0,89,1,1,1,0,0,0.011305,0.0132586,3.10699e-10,0.843014,0.0115992,-0.442072
0,0,31676,0,0.35,5.6229,0,89,1,1,1,0,0,0.00173833,0.00220575,3.10699e-10,0.816156,0.00197897,-0.442058
0,0,39595,0,0.35,4.48403,0,89,1,1,1,0,0,0.0045518,0.00570075,3.10707e-10,0.826399,-0.00517568,-0.44206
0,0,47514,0,0.35,2.77224,0,89,1,1,1,0,0,0.0116234,0.0137409,3.10701e-10,0.844754,0.0120759,-0.442073
0,0,55433,0,0.35,4.39601,0,89,1,1,1,0,0,0.000121291,0.000153232,3.10707e-10,0.813398,0.000138222,-0.442058
0,0,63352,0,0.35,1.67358,0,89,1,1,1,0,0,0.00976103,0.0120691,3.10705e-10,0.843762,0.0108672,-0.442068
0,0,71271,0,0.35,4.22858,0,89,1,1,1,0,0,0.00830561,0.0103149,3.107e-10,0.83927,0.00934996,-0.442065
0,0,79190,0,0.35,0.229004,0,89,1,1,1,0,0,0.0111902,0.0130942,3.10701e-10,0.842471,0.0114426,-0.442072
0,0,87109,0,0.35,3.23207,0,89,1,1,1,0,0,0.00478513,0.00597271,3.10703e-10,0.827296,-0.00543946,-0.44206
0,0,95028,0,0.35,5.63328,0,89,1,1,1,0,0,0.00117672,0.00149002,3.10707e-10,0.814729,0.00133964,-0.442058
0,0,102947,0,0.35,5.40967,0,89,1,1,1,0,0,0.0106865,0.0131393,3.10699e-10,0.846143,0.0117578,-0.44207
0,0,110866,0,0.35,4.86266,0,89,1,1,1,0,0,0.00930862,0.0106461,3.10695e-10,0.835579,-0.00920157,-0.442068
0,0,118785,0,0.35,5.82208,0,89,1,1,1,0,0,0.00821138,0.0102049,3.10691e-10,0.838968,-0.00924812,-0.442065
0,0,380112,0,0.35,5.15873,0,89,1,1,1,0,0,0.00794398,0.00895882,3.10699e-10,0.831729,0.00773573,-0.442065
0,0,388031,0,0.35,2.07657,0,89,1,1,1,0,0,0.00910903,0.0112911,3.10709e-10,0.841807,-0.010203,-0.442066
0,0,395950,0,0.35,5.87084,0,89,1,1,1,0,0,0.00990122,0.0122325,3.10696e-10,0.844159,-0.0110072,-0.442068
0,0,403869,0,0.35,0.559812,0,89,1,1,1,0,0,0.00367225,0.00466126,3.107e-10,0.822967,0.00417845,-0.442059
0,0,411788,0,0.35,2.67487,0,89,1,1,1,0,0,0.00921899,0.0105346,3.10705e-10,0.835307,0.009103,-0.442067
