configuration,radius,param_set,momentum_alpha,max_velocity,mean_radius,std_radius,radius_error,max_commanded_velocity,mean_velocity,max_velocity_achieved,saturation_rate
3-robot,0.500000,No_Vel_Limit,0.700000,10.000000,0.541543,0.000588,0.041543,0.201091,0.200009,0.200034,0.000000
3-robot,0.010000,Neither,0.000000,10.000000,0.069106,0.000055,0.059106,0.202173,0.202171,0.202173,0.000000
3-robot,0.100000,Neither,0.000000,10.000000,0.130633,0.000263,0.030633,0.200591,0.200585,0.200591,0.000000
3-robot,0.300000,Neither,0.000000,10.000000,0.312687,0.000197,0.012687,0.200102,0.200101,0.200102,0.000000
3-robot,0.500000,Neither,0.000000,10.000000,0.507802,0.000131,0.007802,0.200039,0.200038,0.200039,0.000000
4-robot-square,0.010000,Baseline,0.700000,0.300000,0.155749,0.000474,0.145749,0.212897,0.200326,0.200414,0.000000
4-robot-square,0.100000,Baseline,0.700000,0.300000,0.208525,0.000619,0.108525,0.207267,0.200151,0.200230,0.000000
4-robot-square,0.300000,Baseline,0.700000,0.300000,0.362212,0.000711,0.062212,0.202432,0.200029,0.200076,0.000000
4-robot-square,0.500000,Baseline,0.700000,0.300000,0.541543,0.000588,0.041543,0.201091,0.200009,0.200034,0.000000
4-robot-square,0.010000,No_Momentum,0.000000,0.300000,0.069106,0.000055,0.059106,0.202173,0.202171,0.202173,0.000000
4-robot-square,0.100000,No_Momentum,0.000000,0.300000,0.130633,0.000263,0.030633,0.200591,0.200585,0.200591,0.000000
4-robot-square,0.300000,No_Momentum,0.000000,0.300000,0.312687,0.000197,0.012687,0.200102,0.200101,0.200102,0.000000
4-robot-square,0.500000,No_Momentum,0.000000,0.300000,0.507802,0.000131,0.007802,0.200039,0.200038,0.200039,0.000000
4-robot-square,0.010000,Low_Momentum,0.300000,0.300000,0.091818,0.000091,0.081818,0.204145,0.201203,0.201211,0.000000
4-robot-square,0.100000,Low_Momentum,0.300000,0.300000,0.149648,0.000330,0.049648,0.201545,0.200435,0.200449,0.000000
4-robot-square,0.300000,Low_Momentum,0.300000,0.300000,0.322835,0.000330,0.022835,0.200331,0.200090,0.200096,0.000000
4-robot-square,0.500000,Low_Momentum,0.300000,0.300000,0.514312,0.000234,0.014312,0.200130,0.200035,0.200038,0.000000
4-robot-square,0.010000,No_Vel_Limit,0.700000,10.000000,0.155749,0.000474,0.145749,0.212897,0.200326,0.200414,0.000000
4-robot-square,0.100000,No_Vel_Limit,0.700000,10.000000,0.208525,0.000619,0.108525,0.207267,0.200151,0.200230,0.000000
4-robot-square,0.300000,No_Vel_Limit,0.700000,10.000000,0.362212,0.000711,0.062212,0.202432,0.200029,0.200076,0.000000
4-robot-square,0.500000,No_Vel_Limit,0.700000,10.000000,0.541543,0.000588,0.041543,0.201091,0.200009,0.200034,0.000000
4-robot-square,0.010000,Neither,0.000000,10.000000,0.069106,0.000055,0.059106,0.202173,0.202171,0.202173,0.000000
4-robot-square,0.100000,Neither,0.000000,10.000000,0.130633,0.000263,0.030633,0.200591,0.200585,0.200591,0.000000
4-robot-square,0.300000,Neither,0.000000,10.000000,0.312687,0.000197,0.012687,0.200102,0.200101,0.200102,0.000000
4-robot-square,0.500000,Neither,0.000000,10.000000,0.507802,0.000131,0.007802,0.200039,0.200038,0.200039,0.000000
4-robot-dual,0.010000,Baseline,0.700000,0.300000,0.056337,0.005991,0.046337,0.201535,0.300000,0.300000,1.000000
4-robot-dual,0.100000,Baseline,0.700000,0.300000,0.112379,0.006513,0.012379,0.200215,0.300000,0.300000,1.000000
4-robot-dual,0.300000,Baseline,0.700000,0.300000,0.344744,0.003597,0.044744,0.201399,0.185174,0.300000,1.000000
4-robot-dual,0.500000,Baseline,0.700000,0.300000,0.540978,0.001685,0.040978,0.201091,0.202919,0.286199,0.033333
4-robot-dual,0.010000,No_Momentum,0.000000,0.300000,0.012517,0.000026,0.002517,0.202269,0.300000,0.300000,1.000000
4-robot-dual,0.100000,No_Momentum,0.000000,0.300000,0.107387,0.046682,0.007387,0.203677,0.295208,0.300000,1.000000
4-robot-dual,0.300000,No_Momentum,0.000000,0.300000,0.300793,0.001444,0.000793,0.200067,0.181589,0.300000,1.000000
4-robot-dual,0.500000,No_Momentum,0.000000,0.300000,0.507527,0.000600,0.007527,0.200057,0.203184,0.289897,1.000000
4-robot-dual,0.010000,Low_Momentum,0.300000,0.300000,0.035021,0.002956,0.025021,0.202062,0.296358,0.300000,1.000000
4-robot-dual,0.100000,Low_Momentum,0.300000,0.300000,0.082338,0.054070,-0.017662,0.204487,0.291092,0.300000,0.993333
4-robot-dual,0.300000,Low_Momentum,0.300000,0.300000,0.309394,0.001937,0.009394,0.200075,0.182258,0.300000,1.000000
4-robot-dual,0.500000,Low_Momentum,0.300000,0.300000,0.514007,0.000764,0.014007,0.200130,0.203138,0.289120,0.313333
4-robot-dual,0.010000,No_Vel_Limit,0.700000,10.000000,0.155749,0.000474,0.145749,0.212897,0.602693,2.790716,0.000000
4-robot-dual,0.100000,No_Vel_Limit,0.700000,10.000000,0.208525,0.000619,0.108525,0.207267,0.274621,0.510318,0.000000
4-robot-dual,0.300000,No_Vel_Limit,0.700000,10.000000,0.362212,0.000711,0.062212,0.202432,0.207910,0.330918,0.000000
4-robot-dual,0.500000,No_Vel_Limit,0.700000,10.000000,0.541543,0.000588,0.041543,0.201091,0.202966,0.283031,0.000000
4-robot-dual,0.010000,Neither,0.000000,10.000000,0.069106,0.000055,0.059106,0.202173,0.907231,1.502608,0.000000
4-robot-dual,0.100000,Neither,0.000000,10.000000,0.130633,0.000263,0.030633,0.200591,0.339732,0.568927,0.000000
4-robot-dual,0.300000,Neither,0.000000,10.000000,0.312695,0.000183,0.012695,0.200102,0.209856,0.340443,0.000000
4-robot-dual,0.500000,Neither,0.000000,10.000000,0.507808,0.000121,0.007808,0.200039,0.203214,0.285770,0.000000
