time_s,x_m,y_m
0.000000,-0.039269,-0.111355
0.100000,-0.039210,-0.111322
0.200000,-0.039579,-0.109945
0.300000,-0.041208,-0.105888
0.400000,-0.046240,-0.100655
0.500000,-0.056153,-0.096431
0.600000,-0.068871,-0.089370
0.700000,-0.077074,-0.082945
0.800000,-0.088890,-0.071592
0.900000,-0.096967,-0.061965
1.000000,-0.103351,-0.050821
1.100000,-0.108350,-0.039182
1.200000,-0.111569,-0.029612
1.300000,-0.112452,-0.020264
1.400000,-0.112905,-0.011067
1.500000,-0.113493,0.001031
1.600000,-0.109826,0.014538
1.700000,-0.107343,0.025231
1.800000,-0.102179,0.037551
1.900000,-0.096855,0.050903
2.000000,-0.089643,0.062976
2.100000,-0.081852,0.074412
2.200000,-0.072747,0.084400
2.300000,-0.063456,0.092947
2.400000,-0.052097,0.100816
2.500000,-0.039291,0.107139
2.600000,-0.030623,0.111032
2.700000,-0.019979,0.114338
2.800000,-0.006922,0.117108
2.900000,0.007547,0.120161
3.000000,0.021474,0.121348
3.100000,0.035680,0.120895
3.200000,0.048819,0.118262
3.300000,0.061031,0.113352
3.400000,0.073946,0.106702
3.500000,0.085618,0.098600
3.600000,0.096754,0.090005
3.700000,0.108089,0.080755
3.800000,0.117815,0.070493
3.900000,0.123734,0.061144
4.000000,0.127197,0.049929
4.100000,0.130132,0.036401
4.200000,0.129789,0.023310
4.300000,0.129381,0.011582
4.400000,0.127633,-0.001911
4.500000,0.124818,-0.015352
4.600000,0.121713,-0.028367
4.700000,0.117732,-0.041987
4.800000,0.113516,-0.053528
4.900000,0.107684,-0.065021
5.000000,0.099823,-0.075389
5.100000,0.091528,-0.083948
5.200000,0.082215,-0.090998
5.300000,0.071449,-0.098157
5.400000,0.057848,-0.105611
5.500000,0.043777,-0.109512
5.600000,0.030023,-0.111690
5.700000,0.016411,-0.114829
5.800000,0.004835,-0.116254
5.900000,-0.008702,-0.115640
6.000000,-0.021047,-0.114317
6.100000,-0.033155,-0.111481
6.200000,-0.045174,-0.107410
6.300000,-0.056973,-0.101326
6.400000,-0.067571,-0.093912
6.500000,-0.079327,-0.085092
6.600000,-0.089033,-0.075759
6.700000,-0.098248,-0.065700
6.800000,-0.106016,-0.055781
6.900000,-0.112075,-0.044921
7.000000,-0.116238,-0.033780
7.100000,-0.119855,-0.020321
7.200000,-0.121881,-0.006278
7.300000,-0.121664,0.006580
7.400000,-0.120110,0.018551
7.500000,-0.118825,0.031669
7.600000,-0.114162,0.043533
7.700000,-0.107311,0.056955
7.800000,-0.100421,0.065651
7.900000,-0.091235,0.074564
8.000000,-0.081229,0.083723
8.100000,-0.074571,0.087447
8.200000,-0.066357,0.091000
8.300000,-0.053065,0.097782
8.400000,-0.039786,0.103761
8.500000,-0.025326,0.109402
8.600000,-0.011462,0.112094
8.700000,0.002824,0.112545
8.800000,0.017053,0.112065
8.900000,0.031236,0.110309
9.000000,0.045397,0.106695
9.100000,0.058539,0.101216
9.200000,0.070495,0.094624
9.300000,0.081485,0.087389
9.400000,0.088808,0.083729
9.500000,0.094268,0.077071
9.600000,0.104704,0.068590
9.700000,0.113313,0.059246
9.800000,0.117587,0.051615
9.900000,0.122485,0.040190
10.000000,0.124774,0.026862
10.100000,0.125358,0.012080
10.200000,0.125308,-0.001355
10.300000,0.124901,-0.014961
10.400000,0.123344,-0.026707
10.500000,0.120200,-0.041490
10.600000,0.115535,-0.055101
10.700000,0.109076,-0.067498
10.800000,0.101927,-0.078717
10.900000,0.094037,-0.088397
11.000000,0.084447,-0.095561
11.100000,0.071956,-0.102616
11.200000,0.058650,-0.108386
11.300000,0.046056,-0.112717
11.400000,0.033748,-0.115017
11.500000,0.019550,-0.118546
11.600000,0.007334,-0.120125
11.700000,-0.005563,-0.121145
11.800000,-0.019611,-0.120022
11.900000,-0.030201,-0.118432
12.000000,-0.042619,-0.114111
12.100000,-0.055490,-0.107646
12.200000,-0.066486,-0.100433
12.300000,-0.075228,-0.092405
12.400000,-0.086074,-0.081384
12.500000,-0.094397,-0.071270
12.600000,-0.100535,-0.060272
12.700000,-0.107424,-0.048241
12.800000,-0.112409,-0.037115
12.900000,-0.116345,-0.024265
13.000000,-0.119980,-0.009956
13.100000,-0.120499,0.002101
13.200000,-0.120526,0.013577
13.300000,-0.117045,0.020416
13.400000,-0.113440,0.027361
13.500000,-0.107019,0.039739
13.600000,-0.098677,0.049333
13.700000,-0.089784,0.058807
13.800000,-0.079891,0.069911
13.900000,-0.070048,0.079902
14.000000,-0.060244,0.088288
14.100000,-0.048808,0.097422
14.200000,-0.034663,0.106705
14.300000,-0.025192,0.112061
14.400000,-0.012811,0.116780
14.500000,0.001710,0.120977
14.600000,0.014718,0.123581
14.700000,0.028294,0.123684
14.800000,0.041445,0.122111
14.900000,0.054051,0.118390
15.000000,0.066453,0.113889
15.100000,0.080131,0.107032
15.200000,0.089490,0.101006
15.300000,0.097067,0.092573
15.400000,0.105384,0.081814
15.500000,0.112188,0.071148
15.600000,0.117123,0.059543
15.700000,0.120583,0.047408
15.800000,0.123131,0.034529
15.900000,0.124704,0.021294
16.000000,0.125436,0.007387
16.100000,0.125497,-0.006436
16.200000,0.124224,-0.021380
16.300000,0.120589,-0.034539
16.400000,0.115665,-0.047399
16.500000,0.109386,-0.060014
16.600000,0.101489,-0.071496
16.700000,0.092767,-0.081252
16.800000,0.081950,-0.090336
16.900000,0.070862,-0.097148
17.000000,0.058721,-0.103545
17.100000,0.045979,-0.109331
17.200000,0.033310,-0.113971
