# generated_by: experiments/mc_sweep_ow.py
# git_commit: 638b502
# date: 2026-07-03 06:04 UTC
# trials_per_cell: 5  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0.001,0.02,1035855,-0.5,0.25,1.08011,41,129,1,1,0,0.0121995,0.0436034,5.66294e-10,1.67331,0.539189,-0.521131
0.001,0.02,1043774,-0.5,0.25,3.80746,45,127,1,1,0,0.00995946,0.0256616,5.86295e-10,1.61171,0.53359,-0.521733
0.001,0.02,1051693,-0.5,0.25,1.07732,44,125,1,1,0,0.0126014,0.0421675,5.8626e-10,1.62383,0.528008,-0.526226
0.001,0.05,1050017,-0.5,0.25,1.8332,264,500,0,0,1,0.105661,0.303262,0.518393,6.45211,-0.423879,-0.4676
0.001,0.05,1057936,-0.5,0.25,5.21859,-1,350,0,1,0,nan,nan,5.2741e-06,4.4545,-0.510992,0.520386
0.001,0.05,1065855,-0.5,0.25,2.38011,26,500,0,0,0,0.210168,0.76253,0.0579049,6.25901,-0.114268,-0.408287
0.001,0.05,1073774,-0.5,0.25,2.15461,336,490,0,1,1,0.069227,0.15319,1.02789,6.39031,-0.606724,-0.523106
0.001,0.05,1081693,-0.5,0.25,1.33384,371,500,0,0,0,0.268343,0.57189,0.0571819,6.34728,-0.518518,-0.451104
0.005,0,5000017,-0.5,0.25,5.28781,27,271,1,1,0,0.0123857,0.0369562,5.67804e-08,3.45171,-0.446026,0.521272
0.005,0,5007936,-0.5,0.25,2.91487,49,137,1,1,0,0.0170898,0.0560306,6.74276e-10,1.75279,-0.542522,-0.524372
0.005,0,5015855,-0.5,0.25,0.0313259,52,192,1,1,0,0.0153257,0.034411,1.35163e-09,2.45377,-1.0021,-0.0192489
0.005,0,5023774,-0.5,0.25,5.14324,32,132,1,1,0,0.0125602,0.0380922,6.75116e-10,1.67767,0.555223,-0.523993
0.005,0,5031693,-0.5,0.25,0.34255,50,285,1,1,0,0.0142871,0.0375999,1.402e-07,3.59752,0.457815,0.522783
