iteration,hue_layer1,hue_layer2,sat_layer1,sat_layer2,noise_level,aug_count,circular_R2_hue_train,R2_sat_train,circular_R2_hue_verify,R2_sat_verify
1,5,4,7,4,0.00995785088850635,3,-3.02045291072917,0.904802945146691,0.991677111024187,0.771073868169237
2,5,4,5,4,0.00674994852999545,3,-3.0151564108976,0.938698330656518,0.99454962378651,0.908395714712001
