time_s,x_m,y_m
17.500000,0.255910,-0.458276
17.600000,0.243007,-0.464636
17.700000,0.230244,-0.470695
17.800000,0.216853,-0.475543
17.900000,0.202677,-0.478222
18.000000,0.189911,-0.483992
18.100000,0.175640,-0.486033
18.200000,0.161268,-0.484897
18.300000,0.145934,-0.482333
18.400000,0.130615,-0.479796
18.500000,0.114604,-0.477488
18.600000,0.101047,-0.478457
18.700000,0.086446,-0.477635
18.800000,0.070428,-0.472162
18.900000,0.055487,-0.452504
19.000000,0.042358,-0.429764
19.100000,0.029909,-0.431043
19.200000,0.014512,-0.429491
19.300000,0.000002,-0.427728
19.400000,-0.012817,-0.426071
19.500000,-0.027695,-0.421415
19.600000,-0.043309,-0.422574
19.700000,-0.056173,-0.423139
19.800000,-0.069986,-0.424771
19.900000,-0.085744,-0.425645
20.000000,-0.099815,-0.424636
20.100000,-0.112301,-0.423205
20.200000,-0.127942,-0.420304
20.300000,-0.141002,-0.416981
20.400000,-0.156336,-0.412716
20.500000,-0.169501,-0.408462
20.600000,-0.182123,-0.404745
20.700000,-0.196005,-0.400897
20.800000,-0.212090,-0.396698
20.900000,-0.222874,-0.391697
21.000000,-0.237209,-0.385623
21.100000,-0.251058,-0.378713
21.200000,-0.262666,-0.373011
21.300000,-0.274644,-0.365098
21.400000,-0.288095,-0.356712
21.500000,-0.298910,-0.349394
21.600000,-0.310611,-0.341300
21.700000,-0.323099,-0.332264
21.800000,-0.333977,-0.326062
21.900000,-0.345277,-0.316127
22.000000,-0.358003,-0.307002
22.100000,-0.368938,-0.299811
22.200000,-0.380474,-0.289159
22.300000,-0.391498,-0.279925
22.400000,-0.401730,-0.272581
22.500000,-0.412905,-0.263787
22.600000,-0.420749,-0.257792
22.700000,-0.429921,-0.248993
22.800000,-0.440343,-0.238992
22.900000,-0.452230,-0.227699
23.000000,-0.460342,-0.217690
23.100000,-0.466650,-0.205283
23.200000,-0.471755,-0.199407
23.300000,-0.473961,-0.195559
23.400000,-0.481846,-0.183643
23.500000,-0.489525,-0.168495
23.600000,-0.496739,-0.156332
23.700000,-0.496090,-0.149006
23.800000,-0.506027,-0.136731
23.900000,-0.512310,-0.124376
24.000000,-0.516410,-0.110794
24.100000,-0.519934,-0.095146
24.200000,-0.523042,-0.083119
24.300000,-0.523947,-0.069578
24.400000,-0.520975,-0.054149
24.500000,-0.520452,-0.041396
24.600000,-0.518032,-0.027625
24.700000,-0.514356,-0.012995
24.800000,-0.511266,-0.000143
24.900000,-0.507350,0.013421
25.000000,-0.501612,0.027973
25.100000,-0.498492,0.038559
25.200000,-0.497593,0.046560
25.300000,-0.494303,0.061626
25.400000,-0.490842,0.074492
25.500000,-0.486397,0.088270
25.600000,-0.481925,0.102180
25.700000,-0.476492,0.113908
25.800000,-0.471785,0.127218
25.900000,-0.463641,0.140564
26.000000,-0.460098,0.152840
26.100000,-0.452764,0.165439
26.200000,-0.445207,0.178646
26.300000,-0.437074,0.188491
26.400000,-0.425997,0.197900
26.500000,-0.413096,0.205831
26.600000,-0.405787,0.216735
26.700000,-0.396772,0.227529
26.800000,-0.385844,0.238111
