time_s,x_m,y_m
0.000000,-0.005934,-0.000277
0.100000,-0.005875,-0.000287
0.200000,-0.009434,-0.000757
0.300000,-0.023125,-0.000945
0.400000,-0.040802,0.000885
0.500000,-0.052505,0.005984
0.600000,-0.058431,0.020189
0.700000,-0.058242,0.035251
0.800000,-0.055875,0.047982
0.900000,-0.050142,0.060913
1.000000,-0.039481,0.073008
1.100000,-0.030482,0.081529
1.200000,-0.018264,0.089009
1.300000,-0.003405,0.095013
1.400000,0.007958,0.099089
1.500000,0.022295,0.099407
1.600000,0.038142,0.096900
1.700000,0.050095,0.092130
1.800000,0.058725,0.080353
1.900000,0.063574,0.064076
2.000000,0.067172,0.051891
2.100000,0.069743,0.038365
2.200000,0.072031,0.025625
2.300000,0.073320,0.009987
2.400000,0.074590,-0.004390
2.500000,0.073553,-0.018167
2.600000,0.070769,-0.032403
2.700000,0.065676,-0.045311
2.800000,0.058425,-0.056867
2.900000,0.052008,-0.068338
3.000000,0.045382,-0.077138
3.100000,0.034570,-0.089265
3.200000,0.024327,-0.098412
3.300000,0.014117,-0.106268
3.400000,0.003293,-0.115196
3.500000,-0.007720,-0.124942
3.600000,-0.019344,-0.133344
3.700000,-0.031434,-0.140300
3.800000,-0.045685,-0.143025
3.900000,-0.059407,-0.140183
4.000000,-0.073829,-0.135633
4.100000,-0.086587,-0.131457
4.200000,-0.100664,-0.127088
4.300000,-0.112915,-0.120832
4.400000,-0.125249,-0.114453
4.500000,-0.136809,-0.105996
4.600000,-0.147383,-0.095978
4.700000,-0.156325,-0.084911
4.800000,-0.165634,-0.074741
4.900000,-0.174563,-0.064456
5.000000,-0.183058,-0.051180
5.100000,-0.192569,-0.042490
5.200000,-0.201684,-0.030863
5.300000,-0.206168,-0.017881
5.400000,-0.208939,-0.004275
5.500000,-0.210287,0.009874
5.600000,-0.209711,0.024110
5.700000,-0.207346,0.038871
5.800000,-0.204820,0.052771
5.900000,-0.201440,0.067283
6.000000,-0.197950,0.080325
6.100000,-0.194522,0.093733
6.200000,-0.192014,0.108294
6.300000,-0.187504,0.121677
6.400000,-0.182647,0.134730
6.500000,-0.175579,0.147147
6.600000,-0.168807,0.160193
6.700000,-0.160075,0.171898
6.800000,-0.150933,0.182615
6.900000,-0.140867,0.192503
7.000000,-0.129741,0.201962
7.100000,-0.117710,0.209302
7.200000,-0.104412,0.214593
7.300000,-0.090554,0.217825
7.400000,-0.076134,0.220554
7.500000,-0.061598,0.222263
7.600000,-0.047264,0.222955
7.700000,-0.033277,0.222907
7.800000,-0.018312,0.223867
7.900000,-0.004154,0.224938
8.000000,0.008379,0.225102
8.100000,0.026392,0.226900
8.200000,0.038434,0.221729
8.300000,0.052964,0.219453
8.400000,0.066897,0.215061
8.500000,0.080836,0.209129
8.600000,0.092852,0.204067
8.700000,0.109009,0.201445
8.800000,0.120797,0.192694
8.900000,0.131957,0.187074
9.000000,0.144140,0.179720
9.100000,0.158987,0.173918
9.200000,0.169689,0.164749
9.300000,0.180782,0.155290
9.400000,0.191860,0.145032
9.500000,0.199721,0.134622
9.600000,0.207525,0.122072
9.700000,0.212769,0.108138
9.800000,0.212926,0.093575
9.900000,0.221467,0.084111
10.000000,0.229707,0.070701
10.100000,0.236337,0.058624
10.200000,0.242983,0.044014
10.300000,0.247905,0.030218
10.400000,0.247997,0.015148
10.500000,0.248032,0.005416
10.600000,0.244568,-0.013550
10.700000,0.242418,-0.025673
10.800000,0.238771,-0.039507
10.900000,0.234659,-0.054663
11.000000,0.229682,-0.066640
11.100000,0.224463,-0.079972
11.200000,0.218562,-0.094613
11.300000,0.213435,-0.106473
11.400000,0.206651,-0.118806
11.500000,0.197637,-0.132048
11.600000,0.190075,-0.142720
11.700000,0.181803,-0.154316
11.800000,0.172781,-0.167276
11.900000,0.165483,-0.176889
12.000000,0.155836,-0.186903
12.100000,0.145343,-0.196959
12.200000,0.136076,-0.205041
12.300000,0.125539,-0.213940
12.400000,0.112754,-0.221755
12.500000,0.102130,-0.228034
12.600000,0.090551,-0.233787
12.700000,0.077205,-0.240568
12.800000,0.065722,-0.246210
12.900000,0.052471,-0.251838
13.000000,0.037956,-0.256649
13.100000,0.024783,-0.258661
13.200000,0.010564,-0.259410
13.300000,-0.005319,-0.260220
13.400000,-0.018514,-0.259666
13.500000,-0.031750,-0.258214
13.600000,-0.048142,-0.257165
