0.05,0.95,855,289,273,1347
0.15,0.95,1293,1113,562,2960
0.25,0.95,612,860,430,1904
0.35,0.95,354,692,638,1671
0.45,0.95,359,756,970,2065
0.55,0.95,366,761,985,2093
0.65,0.95,182,421,670,1256
0.75,0.95,369,426,600,1374
0.85,0.95,834,392,485,1655
0.95,0.95,867,316,385,1496
0.05,0.85,910,373,337,1556
0.15,0.85,1151,971,496,2608
0.25,0.85,639,867,456,1963
0.35,0.85,302,554,351,1200
0.45,0.85,340,649,616,1593
0.55,0.85,337,649,819,1787
0.65,0.85,185,377,575,1120
0.75,0.85,346,382,522,1229
0.85,0.85,778,518,633,1885
0.95,0.85,890,360,426,1606
0.05,0.75,917,440,388,1688
0.15,0.75,1180,1033,554,2758
0.25,0.75,687,912,503,2105
0.35,0.75,343,614,409,1360
0.45,0.75,377,702,673,1741
0.55,0.75,391,725,897,1994
0.65,0.75,256,483,699,1420
0.75,0.75,428,460,603,1469
0.85,0.75,827,563,678,2023
0.95,0.75,914,417,477,1742
0.05,0.65,970,534,470,1921
0.15,0.65,1240,1140,657,3031
0.25,0.65,759,980,568,2309
0.35,0.65,405,697,480,1576
0.45,0.65,432,760,736,1916
0.55,0.65,488,876,1051,2397
0.65,0.65,337,576,781,1677
0.75,0.65,552,597,754,1879
0.85,0.65,879,623,736,2193
0.95,0.65,946,493,541,1918
0.05,0.55,1058,679,594,2284
0.15,0.55,1238,1171,728,3131
0.25,0.55,818,1044,647,2510
0.35,0.55,474,753,536,1775
0.45,0.55,534,917,890,2328
0.55,0.55,549,910,1053,2495
0.65,0.55,406,631,797,1816
0.75,0.55,645,710,849,2179
0.85,0.55,982,748,857,2543
0.95,0.55,993,588,625,2149
0.05,0.45,1106,821,707,2595
0.15,0.45,1217,1191,793,3195
0.25,0.45,900,1144,748,2795
0.35,0.45,587,912,681,2175
0.45,0.45,618,1000,965,2573
0.55,0.45,606,920,1021,2531
0.65,0.45,507,706,836,2030
0.75,0.45,679,732,832,2217
0.85,0.45,952,772,843,2528
0.95,0.45,1041,698,719,2408
0.05,0.35,1125,938,806,2838
0.15,0.35,1226,1263,916,3401
0.25,0.35,1012,1254,906,3175
0.35,0.35,701,1018,813,2529
0.45,0.35,737,1094,1151,2970
0.55,0.35,721,1056,1129,2894
0.65,0.35,616,819,911,2329
0.75,0.35,802,868,941,2587
0.85,0.35,1016,895,934,2812
0.95,0.35,1102,862,844,2768
0.05,0.25,,,,
0.15,0.25,,,,
0.25,0.25,,,,
0.35,0.25,,,,
0.45,0.25,,,,
0.55,0.25,,,,
0.65,0.25,,,,
0.75,0.25,,,,
0.85,0.25,,,,
0.95,0.25,,,,
0.05,0.15,,,,
0.15,0.15,,,,
0.25,0.15,,,,
0.35,0.15,,,,
0.45,0.15,,,,
0.55,0.15,,,,
0.65,0.15,,,,
0.75,0.15,,,,
0.85,0.15,,,,
0.95,0.15,,,,
0.05,0.05,,,,
0.15,0.05,,,,
0.25,0.05,,,,
0.35,0.05,,,,
0.45,0.05,,,,
0.55,0.05,,,,
0.65,0.05,,,,
0.75,0.05,,,,
0.85,0.05,,,,
0.95,0.05,,,,
