0.0208,0.9792,762,223,235,1158
0.0625,0.9792,798,276,245,1265
0.1042,0.9792,969,559,401,1896
0.1458,0.9792,1064,852,469,2384
0.1875,0.9792,1000,1010,434,2471
0.2292,0.9792,712,882,413,2026
0.2708,0.9792,459,726,382,1577
0.3125,0.9792,305,543,306,1158
0.3542,0.9792,281,545,344,1171
0.3958,0.9792,308,601,440,1348
0.4375,0.9792,319,629,568,1510
0.4792,0.9792,338,686,709,1724
0.5208,0.9792,358,765,891,2002
0.5625,0.9792,353,782,990,2102
0.6042,0.9792,282,627,849,1734
0.6458,0.9792,240,530,765,1513
0.6875,0.9792,179,426,672,1254
0.7292,0.9792,248,377,570,1178
0.7708,0.9792,371,394,544,1288
0.8125,0.9792,456,446,594,1474
0.8542,0.9792,758,532,663,1914
0.8958,0.9792,854,415,532,1743
0.9375,0.9792,742,279,347,1311
0.9792,0.9792,717,227,260,1146
0.0208,0.9375,782,327,356,1461
0.0625,0.9375,798,311,273,1332
0.1042,0.9375,1045,736,444,2215
0.1458,0.9375,1093,893,481,2471
0.1875,0.9375,980,997,436,2440
0.2292,0.9375,675,817,393,1901
0.2708,0.9375,460,711,384,1565
0.3125,0.9375,333,582,338,1256
0.3542,0.9375,292,543,353,1189
0.3958,0.9375,314,604,527,1441
0.4375,0.9375,369,756,797,1913
0.4792,0.9375,388,850,1039,2261
0.5208,0.9375,313,664,873,1833
0.5625,0.9375,253,542,771,1547
0.6042,0.9375,245,534,764,1521
0.6458,0.9375,165,372,577,1094
0.6875,0.9375,256,351,513,1102
0.7292,0.9375,394,400,542,1313
0.7708,0.9375,553,464,594,1583
0.8125,0.9375,783,516,637,1893
0.8542,0.9375,766,443,549,1708
0.8958,0.9375,752,307,376,1381
0.9375,0.9375,777,308,356,1383
0.9792,0.9375,751,256,287,1235
0.0208,0.8958,749,246,253,1191
0.0625,0.8958,822,343,300,1416
0.1042,0.8958,1010,615,434,2028
0.1458,0.8958,1129,940,503,2577
0.1875,0.8958,935,949,424,2332
0.2292,0.8958,679,823,404,1922
0.2708,0.8958,482,733,402,1627
0.3125,0.8958,311,544,322,1179
0.3542,0.8958,283,531,341,1155
0.3958,0.8958,299,566,419,1281
0.4375,0.8958,329,641,582,1546
0.4792,0.8958,357,729,794,1867
0.5208,0.8958,384,840,1049,2253
0.5625,0.8958,353,747,977,2057
0.6042,0.8958,285,601,844,1710
0.6458,0.8958,183,414,633,1211
0.6875,0.8958,184,356,552,1074
0.7292,0.8958,266,368,523,1140
0.7708,0.8958,412,405,532,1327
0.8125,0.8958,626,530,668,1793
0.8542,0.8958,741,491,605,1797
0.8958,0.8958,744,371,466,1531
0.9375,0.8958,805,330,400,1477
0.9792,0.8958,845,300,336,1417
0.0208,0.8542,842,300,300,1381
0.0625,0.8542,867,395,338,1552
0.1042,0.8542,995,637,440,2046
0.1458,0.8542,1078,899,483,2464
0.1875,0.8542,925,941,436,2323
0.2292,0.8542,646,796,415,1866
0.2708,0.8542,422,679,383,1487
0.3125,0.8542,301,524,328,1153
0.3542,0.8542,344,649,451,1449
0.3958,0.8542,306,577,436,1316
0.4375,0.8542,317,617,571,1499
0.4792,0.8542,357,725,789,1849
0.5208,0.8542,361,778,972,2093
0.5625,0.8542,353,728,942,2004
0.6042,0.8542,309,627,864,1779
0.6458,0.8542,197,431,649,1257
0.6875,0.8542,193,367,563,1106
0.7292,0.8542,297,412,585,1275
0.7708,0.8542,461,461,604,1503
0.8125,0.8542,637,536,671,1812
0.8542,0.8542,688,453,554,1656
0.8958,0.8542,745,381,476,1553
0.9375,0.8542,824,352,418,1536
0.9792,0.8542,770,284,314,1312
0.0208,0.8125,803,299,295,1343
0.0625,0.8125,819,390,330,1497
0.1042,0.8125,1005,657,458,2095
0.1458,0.8125,1083,911,494,2493
0.1875,0.8125,944,961,449,2377
0.2292,0.8125,722,876,448,2063
0.2708,0.8125,526,788,441,1766
0.3125,0.8125,344,592,362,1300
0.3542,0.8125,297,547,364,1208
0.3958,0.8125,361,696,524,1581
0.4375,0.8125,337,652,606,1588
0.4792,0.8125,350,698,763,1798
0.5208,0.8125,347,720,888,1938
0.5625,0.8125,338,673,861,1853
0.6042,0.8125,305,584,791,1661
0.6458,0.8125,202,418,616,1218
0.6875,0.8125,235,442,668,1326
0.7292,0.8125,327,451,632,1390
0.7708,0.8125,452,442,572,1442
0.8125,0.8125,597,497,620,1684
0.8542,0.8125,813,553,674,1997
0.8958,0.8125,815,434,536,1734
0.9375,0.8125,799,354,419,1518
0.9792,0.8125,785,308,339,1376
0.0208,0.7708,799,326,317,1390
0.0625,0.7708,801,401,340,1502
0.1042,0.7708,1039,729,504,2254
0.1458,0.7708,963,945,490,2417
0.1875,0.7708,891,922,462,2290
0.2292,0.7708,689,822,437,1959
0.2708,0.7708,454,685,403,1543
0.3125,0.7708,290,522,354,1165
0.3542,0.7708,365,676,510,1551
0.3958,0.7708,361,687,569,1617
0.4375,0.7708,340,654,610,1598
0.4792,0.7708,373,729,824,1916
0.5208,0.7708,378,767,935,2063
0.5625,0.7708,374,731,921,2007
0.6042,0.7708,314,572,753,1621
0.6458,0.7708,248,469,661,1360
0.6875,0.7708,260,470,683,1395
0.7292,0.7708,309,415,563,1269
0.7708,0.7708,467,458,580,1482
0.8125,0.7708,639,542,669,1820
0.8542,0.7708,811,549,666,1982
0.8958,0.7708,790,436,532,1709
0.9375,0.7708,787,369,431,1536
0.9792,0.7708,816,339,372,1471
0.0208,0.7292,770,313,304,1338
0.0625,0.7292,897,459,386,1699
0.1042,0.7292,998,691,479,2146
0.1458,0.7292,1085,932,514,2536
0.1875,0.7292,978,993,488,2494
0.2292,0.7292,756,925,488,2185
0.2708,0.7292,470,752,436,1664
0.3125,0.7292,357,609,382,1350
0.3542,0.7292,311,558,387,1256
0.3958,0.7292,370,691,533,1594
0.4375,0.7292,374,716,675,1759
0.4792,0.7292,379,754,825,1946
0.5208,0.7292,387,779,950,2098
0.5625,0.7292,383,749,941,2055
0.6042,0.7292,324,592,781,1676
0.6458,0.7292,256,482,678,1397
0.6875,0.7292,270,489,710,1451
0.7292,0.7292,373,453,614,1420
0.7708,0.7292,650,557,691,1868
0.8125,0.7292,827,566,685,2036
0.8542,0.7292,870,529,645,1993
0.8958,0.7292,816,453,552,1772
0.9375,0.7292,824,379,434,1580
0.9792,0.7292,788,326,358,1417
0.0208,0.6875,811,374,359,1497
0.0625,0.6875,946,567,469,1947
0.1042,0.6875,1072,823,572,2454
0.1458,0.6875,1172,1066,631,2881
0.1875,0.6875,1100,1173,606,2909
0.2292,0.6875,797,971,530,2318
