Field,Primitive,NumRobots,SuccessfulTrials,FailedTrials,SuccessRate,AvgX,AvgY,StdX,StdY,SystematicBias,Precision,RMSE
vortex_rbf,critical_point_plane_fitting,3,1000,0,100.00,0.014963,-0.023359,0.007093,0.009913,0.027740,0.012189,0.030300
vortex_rbf,four_planar_center_finder,4,1000,0,100.00,0.007231,-0.027020,0.016472,0.015675,0.027970,0.022738,0.036047
