x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.181910,-0.016313,0.674845,0.996032,0.401381,-0.004679,0.166399,0.448369,0.731905,0.326524,0.164656,-0.012564,0.537409,0.469144,0.372225
-0.181840,-0.016319,0.674532,0.996032,0.401381,-0.004651,0.166976,0.439423,0.731922,0.324528,0.164746,-0.012532,0.538006,0.469347,0.372362
-0.181740,-0.016367,0.676899,0.996039,0.401190,-0.004225,0.167252,0.444040,0.731328,0.324374,0.164663,-0.012533,0.538097,0.469347,0.372362
-0.181749,-0.016312,0.678562,0.996032,0.401381,-0.004638,0.167358,0.446156,0.731958,0.320577,0.164650,-0.012572,0.537332,0.469249,0.371229
-0.181902,-0.016325,0.674455,0.996032,0.401381,-0.004274,0.167245,0.443527,0.729988,0.322934,0.164657,-0.012570,0.537528,0.469249,0.371229
-0.181899,-0.016326,0.674725,0.996032,0.401381,-0.004182,0.167283,0.444412,0.730431,0.321432,0.164658,-0.012541,0.537391,0.468728,0.371948
-0.181796,-0.016284,0.677503,0.996032,0.401381,-0.004260,0.167248,0.444325,0.731209,0.323150,0.164615,-0.012571,0.537526,0.468329,0.372248
-0.181759,-0.016356,0.676387,0.995301,0.401843,-0.004716,0.166953,0.439906,0.731818,0.323258,0.164639,-0.012549,0.537524,0.468329,0.372248
-0.181747,-0.016372,0.676049,0.995301,0.401843,-0.004540,0.167314,0.446258,0.730599,0.321132,0.164650,-0.012565,0.537376,0.468135,0.371930
-0.181901,-0.016289,0.675708,0.996032,0.401381,-0.003882,0.167839,0.434976,0.730101,0.322247,0.164642,-0.012557,0.537307,0.469220,0.371035
-0.181929,-0.016231,0.675518,0.996032,0.401381,-0.003741,0.168256,0.433576,0.730548,0.326263,0.164635,-0.012570,0.537233,0.468463,0.371434
-0.181884,-0.016309,0.674690,0.996032,0.401381,-0.003955,0.168524,0.435358,0.730989,0.326665,0.164655,-0.012554,0.537475,0.468860,0.371333
-0.181683,-0.016404,0.676668,0.996032,0.401381,-0.003651,0.168614,0.439254,0.731034,0.325146,0.164683,-0.012552,0.537826,0.468860,0.371333
-0.181949,-0.016276,0.675690,0.996037,0.401571,-0.003695,0.168565,0.439606,0.729989,0.324632,0.164651,-0.012582,0.537160,0.468597,0.370619
