time_s,x_m,y_m
17.400000,-0.247177,-0.146620
17.500000,-0.255452,-0.135454
17.600000,-0.263535,-0.123913
17.700000,-0.269445,-0.110177
17.800000,-0.273069,-0.098597
17.900000,-0.276567,-0.085149
18.000000,-0.280237,-0.070767
18.100000,-0.283168,-0.057545
18.200000,-0.283796,-0.043917
18.300000,-0.283543,-0.029327
18.400000,-0.281793,-0.015996
18.500000,-0.280608,-0.001635
18.600000,-0.279787,0.011981
18.700000,-0.279172,0.025766
18.800000,-0.278120,0.038688
18.900000,-0.276023,0.051850
19.000000,-0.273276,0.063963
19.100000,-0.270577,0.076648
19.200000,-0.268367,0.089744
19.300000,-0.266900,0.103848
19.400000,-0.264002,0.116883
19.500000,-0.262003,0.130848
19.600000,-0.259311,0.142347
19.700000,-0.256340,0.149068
19.800000,-0.252746,0.162446
19.900000,-0.246802,0.175218
20.000000,-0.239358,0.188257
20.100000,-0.231035,0.199636
20.200000,-0.220972,0.210124
20.300000,-0.210340,0.220441
20.400000,-0.200611,0.228885
20.500000,-0.195635,0.234419
20.600000,-0.185713,0.243916
20.700000,-0.173993,0.253248
20.800000,-0.161647,0.260211
20.900000,-0.148005,0.265077
21.000000,-0.134166,0.269425
21.100000,-0.120620,0.277235
21.200000,-0.107890,0.283340
21.300000,-0.095324,0.288910
21.400000,-0.082191,0.294641
21.500000,-0.068975,0.298673
21.600000,-0.054724,0.302038
21.700000,-0.042543,0.304749
21.800000,-0.036352,0.306070
21.900000,-0.024458,0.307814
22.000000,-0.010039,0.310059
22.100000,0.004896,0.310544
22.200000,0.019735,0.311195
22.300000,0.033685,0.309993
22.400000,0.048473,0.309030
22.500000,0.062310,0.307531
22.600000,0.076374,0.304642
22.700000,0.090299,0.301261
22.800000,0.103873,0.296868
22.900000,0.116709,0.291428
23.000000,0.130125,0.285649
23.100000,0.144193,0.282334
23.200000,0.157575,0.279195
23.300000,0.171906,0.277238
23.400000,0.184858,0.273213
23.500000,0.197283,0.267004
23.600000,0.209794,0.259524
23.700000,0.224022,0.254558
23.800000,0.235809,0.247288
23.900000,0.246750,0.238963
24.000000,0.257668,0.230395
24.100000,0.268294,0.220541
24.200000,0.278460,0.211036
24.300000,0.288069,0.201016
24.400000,0.296964,0.190869
24.500000,0.305310,0.179778
24.600000,0.313609,0.168767
24.700000,0.321011,0.157988
24.800000,0.328724,0.147623
24.900000,0.335514,0.136322
25.000000,0.342825,0.125090
25.100000,0.349061,0.113585
25.200000,0.355684,0.101582
25.300000,0.361369,0.089632
25.400000,0.366669,0.077217
25.500000,0.371179,0.064544
25.600000,0.375544,0.051800
25.700000,0.379274,0.038694
25.800000,0.380074,0.025425
25.900000,0.381268,0.012124
26.000000,0.380605,-0.001235
26.100000,0.378238,-0.014625
26.200000,0.374149,-0.027998
26.300000,0.372525,-0.041598
26.400000,0.370770,-0.055141
26.500000,0.368772,-0.068884
26.600000,0.365642,-0.081801
26.700000,0.362037,-0.094175
26.800000,0.357500,-0.106723
26.900000,0.353115,-0.119083
27.000000,0.348472,-0.131997
27.100000,0.343759,-0.144795
27.200000,0.338678,-0.157654
27.300000,0.333732,-0.169731
27.400000,0.328511,-0.182213
27.500000,0.323111,-0.195083
27.600000,0.316067,-0.206211
27.700000,0.308998,-0.218012
27.800000,0.300534,-0.229535
27.900000,0.292390,-0.241589
28.000000,0.283140,-0.251318
28.100000,0.273725,-0.260521
28.200000,0.263425,-0.268682
28.300000,0.252457,-0.276495
28.400000,0.241443,-0.285186
28.500000,0.230840,-0.294087
28.600000,0.218809,-0.301114
28.700000,0.206679,-0.307633
28.800000,0.194076,-0.311906
28.900000,0.181755,-0.315870
29.000000,0.167375,-0.318817
29.100000,0.153575,-0.322597
29.200000,0.140272,-0.324198
29.300000,0.126831,-0.325703
29.400000,0.112988,-0.329100
29.500000,0.099136,-0.332884
29.600000,0.085868,-0.334989
29.700000,0.072381,-0.336941
29.800000,0.058984,-0.339124
29.900000,0.045972,-0.339727
30.000000,0.032172,-0.340150
30.100000,0.019146,-0.340189
30.200000,0.005886,-0.340085
30.300000,-0.007966,-0.339263
30.400000,-0.021145,-0.338930
30.500000,-0.034048,-0.338692
30.600000,-0.047772,-0.337569
30.700000,-0.059812,-0.335632
30.800000,-0.072526,-0.332696
30.900000,-0.084870,-0.328295
31.000000,-0.097208,-0.322837
31.100000,-0.108867,-0.319382
31.200000,-0.118722,-0.315671
31.300000,-0.129565,-0.311483
31.400000,-0.138674,-0.306953
31.500000,-0.148210,-0.302086
31.600000,-0.157347,-0.296991
31.700000,-0.166165,-0.290032
31.800000,-0.174600,-0.283702
31.900000,-0.183070,-0.276831
32.000000,-0.191273,-0.268042
32.100000,-0.197791,-0.262079
32.200000,-0.206604,-0.253378
32.300000,-0.212643,-0.248154
32.400000,-0.221197,-0.239615
32.500000,-0.232562,-0.231980
32.600000,-0.241871,-0.222646
32.700000,-0.250968,-0.212823
32.800000,-0.259586,-0.203617
32.900000,-0.265934,-0.195291
33.000000,-0.270289,-0.189208
33.100000,-0.278028,-0.181481
33.200000,-0.284204,-0.172471
33.300000,-0.289901,-0.161600
33.400000,-0.295913,-0.149550
33.500000,-0.301672,-0.136915
33.600000,-0.306384,-0.123974
33.700000,-0.309788,-0.111089
33.800000,-0.312886,-0.097454
33.900000,-0.315745,-0.084022
34.000000,-0.317677,-0.070213
34.100000,-0.319153,-0.056425
34.200000,-0.320659,-0.042279
34.300000,-0.320542,-0.027866
34.400000,-0.318767,-0.013813
34.500000,-0.317702,-0.000602
34.600000,-0.315716,0.013479
34.700000,-0.314090,0.027087
34.800000,-0.313985,0.040009
34.900000,-0.311646,0.053046
35.000000,-0.309195,0.066663
35.100000,-0.306269,0.077841
35.200000,-0.304537,0.089213
35.300000,-0.301653,0.102174
35.400000,-0.299926,0.112127
35.500000,-0.299829,0.117768
35.600000,-0.297592,0.128162
35.700000,-0.293400,0.139433
35.800000,-0.289717,0.149639
35.900000,-0.284646,0.161303
36.000000,-0.280304,0.174398
36.100000,-0.274967,0.184714
36.200000,-0.271375,0.190643
36.300000,-0.266471,0.198999
36.400000,-0.261902,0.202206
36.500000,-0.255203,0.211233
36.600000,-0.245655,0.221124
36.700000,-0.240489,0.224247
36.800000,-0.237829,0.226245
36.900000,-0.230328,0.232511
37.000000,-0.221654,0.245469
37.100000,-0.213718,0.253209
37.200000,-0.204792,0.259339
37.300000,-0.197389,0.261011
37.400000,-0.186771,0.268127
37.500000,-0.174675,0.276905
37.600000,-0.161074,0.285675
37.700000,-0.149478,0.292178
37.800000,-0.136965,0.299895
37.900000,-0.123610,0.307272
38.000000,-0.111957,0.312564
38.100000,-0.098923,0.318153
38.200000,-0.084895,0.324366
38.300000,-0.072293,0.328096
38.400000,-0.058147,0.331349
38.500000,-0.042309,0.333940
38.600000,-0.029842,0.335750
38.700000,-0.015380,0.336778
38.800000,-0.001390,0.338161
38.900000,0.012842,0.337811
39.000000,0.027122,0.336815
39.100000,0.041286,0.336159
39.200000,0.055608,0.335133
39.300000,0.069076,0.333380
39.400000,0.084553,0.330030
39.500000,0.097213,0.326145
39.600000,0.110292,0.320124
39.700000,0.123205,0.314368
39.800000,0.137073,0.310032
39.900000,0.149247,0.302390
40.000000,0.163411,0.297345
40.100000,0.176027,0.292980
40.200000,0.190079,0.289630
40.300000,0.205588,0.286708
40.400000,0.217208,0.282647
40.500000,0.229962,0.276296
40.600000,0.242513,0.269559
40.700000,0.254497,0.261940
40.800000,0.266523,0.253480
40.900000,0.277595,0.244742
41.000000,0.287073,0.234444
41.100000,0.296148,0.224039
41.200000,0.303831,0.212621
41.300000,0.311640,0.201623
41.400000,0.318752,0.189800
41.500000,0.326595,0.178329
41.600000,0.336832,0.165291
41.700000,0.343369,0.156575
41.800000,0.351950,0.146155
41.900000,0.359985,0.135356
42.000000,0.366337,0.123410
42.100000,0.372789,0.111490
42.200000,0.378345,0.098960
42.300000,0.384380,0.086944
42.400000,0.389339,0.074108
42.500000,0.393820,0.061480
42.600000,0.397813,0.048993
42.700000,0.400490,0.036892
42.800000,0.401572,0.024237
42.900000,0.401643,0.011442
43.000000,0.400445,-0.002242
43.100000,0.398650,-0.015937
43.200000,0.396406,-0.029115
43.300000,0.394154,-0.042083
43.400000,0.390037,-0.055286
43.500000,0.386935,-0.069200
43.600000,0.383457,-0.083524
43.700000,0.379581,-0.094653
43.800000,0.375850,-0.107115
43.900000,0.370301,-0.119375
44.000000,0.365645,-0.132167
44.100000,0.360068,-0.144432
44.200000,0.353964,-0.156981
44.300000,0.347762,-0.169072
44.400000,0.341391,-0.181303
44.500000,0.334866,-0.193131
44.600000,0.328609,-0.205245
44.700000,0.322111,-0.217028
44.800000,0.314275,-0.227865
44.900000,0.306118,-0.239003
45.000000,0.298430,-0.250146
45.100000,0.288969,-0.259595
45.200000,0.278859,-0.269576
45.300000,0.267946,-0.277652
45.400000,0.255999,-0.284914
45.500000,0.244367,-0.292517
45.600000,0.232694,-0.299843
45.700000,0.221475,-0.308146
45.800000,0.209689,-0.314233
45.900000,0.197822,-0.320279
46.000000,0.184340,-0.324260
46.100000,0.170888,-0.328114
46.200000,0.157182,-0.332357
46.300000,0.144756,-0.336122
46.400000,0.131428,-0.339541
46.500000,0.117784,-0.342406
46.600000,0.104199,-0.345455
46.700000,0.090667,-0.348476
46.800000,0.077266,-0.349468
46.900000,0.064399,-0.351960
47.000000,0.050722,-0.352683
47.100000,0.037896,-0.352682
47.200000,0.024540,-0.353438
47.300000,0.011112,-0.353387
47.400000,-0.001841,-0.352710
47.500000,-0.015272,-0.352180
47.600000,-0.028774,-0.351083
47.700000,-0.039899,-0.350123
47.800000,-0.052576,-0.348802
47.900000,-0.065770,-0.345778
48.000000,-0.079037,-0.342666
48.100000,-0.090409,-0.340305
48.200000,-0.103596,-0.335881
48.300000,-0.114351,-0.330132
48.400000,-0.127285,-0.323953
48.500000,-0.138189,-0.318727
48.600000,-0.149179,-0.311966
48.700000,-0.160885,-0.305923
48.800000,-0.171641,-0.299415
48.900000,-0.182859,-0.292301
49.000000,-0.193815,-0.285107
49.100000,-0.204404,-0.276138
49.200000,-0.214513,-0.267061
49.300000,-0.224657,-0.257776
49.400000,-0.233833,-0.248989
49.500000,-0.243303,-0.241697
49.600000,-0.247673,-0.236106
49.700000,-0.254558,-0.226131
49.800000,-0.263642,-0.216583
49.900000,-0.271648,-0.206785
50.000000,-0.274708,-0.201717
50.100000,-0.276854,-0.197824
50.200000,-0.282226,-0.190045
50.300000,-0.289337,-0.179713
50.400000,-0.296884,-0.168093
50.500000,-0.302962,-0.156131
50.600000,-0.309030,-0.143268
50.700000,-0.314286,-0.129245
50.800000,-0.319408,-0.117302
50.900000,-0.323649,-0.104611
51.000000,-0.326289,-0.091097
51.100000,-0.328663,-0.077718
51.200000,-0.329872,-0.063593
51.300000,-0.332218,-0.049473
51.400000,-0.333199,-0.035290
51.500000,-0.332216,-0.021631
51.600000,-0.329635,-0.007658
51.700000,-0.327360,0.004052
51.800000,-0.325648,0.010839
51.900000,-0.322400,0.024590
52.000000,-0.320936,0.039147
52.100000,-0.318475,0.053389
52.200000,-0.316085,0.066672
52.300000,-0.312224,0.079513
52.400000,-0.307114,0.091277
52.500000,-0.304613,0.102366
52.600000,-0.300754,0.114251
52.700000,-0.297629,0.126938
52.800000,-0.295483,0.140240
52.900000,-0.291982,0.153943
53.000000,-0.287711,0.167061
53.100000,-0.284559,0.180694
53.200000,-0.279073,0.193924
53.300000,-0.271764,0.205605
53.400000,-0.263183,0.216271
53.500000,-0.253385,0.226948
53.600000,-0.242298,0.236507
53.700000,-0.232378,0.246310
53.800000,-0.221619,0.255178
53.900000,-0.210161,0.261607
54.000000,-0.197232,0.267582
54.100000,-0.183108,0.274254
54.200000,-0.171237,0.283285
54.300000,-0.160196,0.292722
54.400000,-0.148937,0.300059
54.500000,-0.138048,0.306754
54.600000,-0.125115,0.312703
54.700000,-0.111470,0.317528
54.800000,-0.098446,0.323234
54.900000,-0.085018,0.326528
55.000000,-0.070638,0.329363
55.100000,-0.056797,0.332155
55.200000,-0.042804,0.334324
55.300000,-0.029027,0.336792
55.400000,-0.015058,0.337419
55.500000,-0.001333,0.336545
55.600000,0.012983,0.336124
55.700000,0.026808,0.334387
55.800000,0.040440,0.332625
55.900000,0.053773,0.329620
56.000000,0.068451,0.326105
56.100000,0.082291,0.322750
56.200000,0.095589,0.318303
56.300000,0.108816,0.313722
56.400000,0.121485,0.308703
56.500000,0.133717,0.301757
56.600000,0.146440,0.294772
56.700000,0.159722,0.287934
56.800000,0.173129,0.283058
56.900000,0.186293,0.278957
57.000000,0.199089,0.275630
57.100000,0.212350,0.270467
57.200000,0.224490,0.263583
57.300000,0.236546,0.256218
57.400000,0.247550,0.247282
57.500000,0.257639,0.237285
57.600000,0.267798,0.228931
57.700000,0.279776,0.219592
57.800000,0.289055,0.209554
57.900000,0.296881,0.197986
58.000000,0.305829,0.186957
58.100000,0.313474,0.177025
58.200000,0.321780,0.164644
58.300000,0.328117,0.152333
58.400000,0.335054,0.140443
58.500000,0.341338,0.130168
58.600000,0.348650,0.116992
