# generated_by: experiments/mc_sweep_ow.py
# git_commit: 16a1a35
# date: 2026-07-03 10:36 UTC
# trials_per_cell: 1000  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0,0,95045,-0.5,0.25,1.41496,22,116,1,1,0,0.00073504,0.00535518,5.07522e-10,1.45069,0.525879,-0.525879
0,0,102964,-0.5,0.25,3.34222,22,115,1,1,0,0.000761898,0.00476705,5.07462e-10,1.43927,0.524699,-0.524684
0,0,110883,-0.5,0.25,2.4766,22,115,1,1,0,0.00079235,0.005052,5.07544e-10,1.4388,0.520838,-0.520787
0,0,118802,-0.5,0.25,1.99507,22,115,1,1,0,0.000763367,0.00492376,5.07304e-10,1.43925,0.523628,-0.523643
0,0,126721,-0.5,0.25,3.97412,22,116,1,1,0,0.000740709,0.00541262,5.0765e-10,1.4507,0.525473,-0.525359
0,0,134640,-0.5,0.25,1.73377,22,116,1,1,0,0.00080848,0.00542706,5.07295e-10,1.45096,0.526871,-0.526932
0,0,142559,-0.5,0.25,0.790296,22,115,1,1,0,0.000749749,0.00482426,5.07309e-10,1.43927,0.524335,-0.524333
0,0,150478,-0.5,0.25,5.24605,22,116,1,1,0,0.000744952,0.00542906,5.07475e-10,1.45071,0.525299,-0.525307
0,0,158397,-0.5,0.25,1.87848,22,115,1,1,0,0.000800851,0.00519734,5.07439e-10,1.43915,0.521384,-0.521429
0,0,166316,-0.5,0.25,2.92728,22,116,1,1,0,0.000813924,0.00548106,5.07465e-10,1.45088,0.525869,-0.52593
0,0,174235,-0.5,0.25,3.39387,22,115,1,1,0,0.00077716,0.00471758,5.076e-10,1.43925,0.52495,-0.524917
0,0,182154,-0.5,0.25,0.681082,22,115,1,1,0,0.000783603,0.00505528,5.07455e-10,1.43921,0.522609,-0.522641
0,0,190073,-0.5,0.25,4.0477,22,116,1,1,0,0.000765815,0.00547711,5.07426e-10,1.45074,0.525063,-0.525092
