# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 0d6d40e
# date: 2026-07-03 05:56 UTC
# trials_per_cell: 5  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0.001,0.02,1027919,0,0.35,2.64247,0,182,0,1,0,0,0,0.274527,0.878088,1.21044e-09,2.4701,0.961491,-0.522088
0.001,0.02,1035838,0,0.35,3.50269,0,246,0,1,0,0,0,0.375283,0.982273,2.30916e-09,3.38876,-1.00101,-0.0786082
0.001,0.02,1043757,0,0.35,3.48651,0,241,0,1,0,0,0,0.448041,0.96894,5.24775e-09,3.24819,-1.00102,0.0776895
0.001,0.02,1051676,0,0.35,2.02707,0,91,1,1,1,0,0,0.0155094,0.046811,3.70037e-10,1.23512,-0.0329683,-0.454488
0.001,0.05,1050000,0,0.35,5.91546,0,500,0,0,0,0,1,0.38243,0.908442,0.323882,6.65289,0.0477215,-0.272055
0.001,0.05,1057919,0,0.35,2.22496,0,228,0,1,0,0,0,0.347573,0.955444,1.59533e-09,2.93353,-1.00088,-0.372236
0.001,0.05,1065838,0,0.35,3.91898,0,129,0,1,0,0,0,0.0350093,0.134412,5.12093e-10,1.63686,0.176581,-0.521671
0.001,0.05,1073757,0,0.35,0.0677982,0,277,0,1,0,0,0,0.460189,0.981243,2.20984e-08,3.52931,1.00197,0.103539
0.001,0.05,1081676,0,0.35,5.50906,0,164,0,1,0,0,0,0.245947,0.750287,9.58668e-10,2.11234,-0.802342,-0.52315
0.005,0,5000000,0,0.35,5.84748,0,85,1,1,1,0,0,0.0131236,0.0286475,3.05081e-10,1.2723,0.00168993,-0.441384
0.005,0,5007919,0,0.35,1.50798,0,112,0,1,0,0,0,0.0232499,0.105949,4.44985e-10,1.68872,-0.156733,-0.524297
0.005,0,5015838,0,0.35,3.95686,0,79,1,1,1,0,0,0.0115679,0.0301279,2.56891e-10,1.15386,0.00313925,-0.445839
0.005,0,5023757,0,0.35,4.53273,0,83,1,1,1,0,0,0.0156501,0.0308742,3.10698e-10,1.26617,0.0407916,-0.458322
0.005,0,5031676,0,0.35,1.90697,0,83,1,1,1,0,0,0.0099201,0.0280834,2.93059e-10,1.25615,-0.0118906,-0.446113
0.005,0.005,5005000,0,0.35,5.7606,0,93,1,1,1,0,0,0.0236889,0.0549846,3.70019e-10,1.37512,-0.053083,-0.475476
0.005,0.005,5012919,0,0.35,3.50553,0,78,1,1,1,0,0,0.00920567,0.0287853,2.45887e-10,1.14005,0.0102628,-0.449792
0.005,0.005,5020838,0,0.35,3.12658,0,77,1,1,1,0,0,0.0117433,0.0258029,2.56888e-10,1.14016,0.0167377,-0.450503
0.005,0.005,5028757,0,0.35,2.44682,0,75,1,1,1,0,0,0.0122146,0.0273386,2.44236e-10,1.09842,0.0093331,-0.444651
0.005,0.005,5036676,0,0.35,1.89895,0,177,0,1,0,0,0,0.192519,0.668778,1.07949e-09,2.63325,0.745334,-0.522752
0.005,0.01,5010000,0,0.35,1.67679,0,132,0,1,0,0,0,0.087586,0.293202,5.62973e-10,1.92955,0.341114,-0.524483
0.005,0.01,5017919,0,0.35,2.46606,0,194,0,1,0,0,0,0.309736,0.929077,1.1827e-09,2.74795,-0.985945,-0.52551
0.005,0.01,5025838,0,0.35,0.30045,0,154,0,1,0,0,0,0.243791,0.759745,8.76411e-10,2.22991,0.836592,-0.520729
