# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: ad76bbf
# date: 2026-07-03 05:50 UTC
# trials_per_cell: 1000  steps: 500  controller: separatrix_logic_c_step
# start_box: (-0.8, 0.8, -0.4, 0.4)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,63352,-0.373826,0.124044,0.949248,28,52,1,1,1,27,0,0.00917682,0.0330321,1.63774e-10,0.778268,-0.00619653,-0.449746
0,0,71271,0.276799,0.10925,3.84848,20,49,1,1,1,19,0,0.00749923,0.034275,1.23587e-10,0.7059,0.00271743,-0.446743
0,0,79190,-0.741684,-0.249238,4.77486,-1,57,0,0,0,-1,0,0.949066,0.994857,1.27063e-10,0.967041,-0.992019,-0.522565
0,0,87109,0.023041,0.201508,5.45304,0,56,1,1,1,0,0,0.00298966,0.00871261,1.63774e-10,0.679367,0.00506646,-0.442272
0,0,95028,0.634502,0.187307,4.35811,50,142,1,1,1,49,0,0.00278477,0.0181116,7.38819e-10,1.91962,0.00112688,-0.442805
0,0,102947,0.577561,0.156793,1.41783,48,138,1,1,1,47,0,0.00418802,0.0175504,6.44774e-10,1.88026,0.00480275,-0.442155
0,0,110866,0.438265,0.287857,0.631122,34,47,0,1,0,33,0,0.0124011,0.0414461,1.23587e-10,0.722755,-0.00703381,0.521262
0,0,118785,0.68258,-0.272955,5.86693,-1,28,0,0,0,-1,0,0.837766,0.9855,5.40498e-11,0.47125,1.00181,-0.487305
0,0,380112,0.513659,0.393763,0.937859,41,61,0,1,0,38,0,0.0171507,0.0326708,2.08071e-10,0.864805,0.0248674,0.527711
0,0,388031,-0.271206,0.397764,6.26183,20,104,1,1,1,18,0,0.00172544,0.00446182,4.35353e-10,1.36596,-0.000748085,-0.451411
0,0,395950,0.694997,-0.120364,6.09104,-1,30,0,0,0,-1,0,0.852625,0.996669,5.405e-11,0.489208,1.00403,0.213286
0,0,403869,-0.657445,-0.253354,0.680667,-1,31,0,0,0,-1,0,0.827133,0.988705,8.71269e-11,0.519596,-1.00891,-0.487289
0,0,411788,-0.11885,-0.0405102,4.3273,8,36,1,1,1,5,0,0.00604177,0.0256121,8.71267e-11,0.486391,0.00180853,-0.445011
0,0,419707,-0.525336,0.324149,2.80972,-1,51,0,0,0,39,0,0.239826,0.494488,1.63774e-10,0.723206,-0.0228176,0.520272
0,0,427626,-0.775588,0.0573603,0.321247,-1,22,0,0,0,-1,0,0.886862,0.993263,5.405e-11,0.363554,-1.00113,0.296047
0,0,435545,-0.0436486,-0.323671,4.89169,0,12,1,1,1,0,0,0.0128638,0.0367805,2.4138e-11,0.189782,-0.00590444,-0.440332
0,0,443464,0.719636,-0.0262443,5.77706,-1,27,0,0,0,-1,0,0.862017,0.994224,5.405e-11,0.422955,1.00262,0.229021
0,0,451383,0.360156,0.342193,2.19143,28,132,1,1,1,26,0,0.0108644,0.0489156,5.72324e-10,1.8729,-0.0063616,-0.452189
0,0,459302,0.576665,0.344255,0.39931,-1,52,0,0,0,44,0,0.273692,0.53472,1.63774e-10,0.708355,-0.00447751,0.522294
0,0,467221,-0.578775,-0.0845727,3.20517,-1,37,0,0,0,-1,0,0.79834,0.99104,8.71271e-11,0.61043,-1.00343,0.199039
0,0,475140,0.671959,0.226535,3.82694,54,137,1,1,1,52,0,0.00214992,0.00614045,6.75122e-10,1.81088,0.00192721,-0.444731
0,0,483059,0.191678,0.364091,1.86775,14,29,0,1,0,13,0,0.0118823,0.0407125,5.09168e-11,0.492083,0.00281494,0.524391
0,0,490978,-0.021035,-0.368773,5.9742,0,9,1,1,1,0,0,0.0072731,0.0153867,8.08801e-13,0.138573,-0.00615553,-0.450712
0,0,498897,0.12568,-0.179234,1.67659,8,24,1,1,1,7,0,0.0110146,0.0378112,5.405e-11,0.368097,0.00592385,-0.441751
0,0,253408,-0.375338,0.141257,0.563199,32,116,1,1,1,30,0,0.00217314,0.00577791,5.07405e-10,1.59816,0.00181184,-0.446666
0,0,261327,0.568121,-0.194745,0.999292,-1,38,0,0,0,-1,0,0.77959,0.979792,8.71268e-11,0.637969,1.00236,-0.511144
0,0,269246,-0.10657,-0.271021,3.1401,6,17,1,1,1,4,0,0.0154586,0.0437785,2.4138e-11,0.281204,-0.00332064,-0.449277
0,0,277165,-0.19605,-0.385694,4.03833,-1,70,0,0,0,-1,0,0.71626,0.981167,2.08068e-10,0.90575,-1.00114,-0.513756
0,0,285084,0.358739,-0.187607,3.65667,-1,56,0,0,0,-1,0,0.713884,0.978463,1.63773e-10,0.822296,1.00612,-0.511919
0,0,293003,0.373713,0.140816,3.99224,28,66,1,1,1,26,0,0.00638741,0.0222072,2.08068e-10,0.942485,0.00587122,-0.443555
0,0,300922,0.193252,0.132414,5.72809,14,50,1,1,1,12,0,0.00555114,0.0262525,1.23587e-10,0.682554,-0.0020225,-0.441737
0,0,308841,-0.0315787,0.140306,5.44383,0,51,1,1,1,0,0,0.00423656,0.0162898,1.63774e-10,0.623375,0.00523398,-0.444049
0,0,316760,0.314766,-0.392498,4.56745,-1,61,0,0,0,-1,0,0.723999,0.98825,2.08069e-10,0.793662,1.00229,-0.471477
0,0,324679,-0.786667,0.313281,0.337466,64,80,0,1,0,62,0,0.0149417,0.031602,2.48292e-10,1.0994,-0.0168873,0.520442
0,0,332598,0.778529,0.306667,5.20849,63,145,1,1,1,61,0,0.00306933,0.0064617,7.71627e-10,1.86371,0.0052063,-0.440864
0,0,340517,0.653082,-0.196253,3.0902,-1,30,0,0,0,-1,0,0.821958,0.989069,5.40498e-11,0.509113,1.00791,-0.494203
0,0,348436,-0.599737,0.353131,2.73927,48,64,0,1,0,46,0,0.0147097,0.0319443,2.08068e-10,0.893937,-0.0213573,0.522731
0,0,356355,-0.0220516,0.273947,2.21432,0,62,1,1,1,0,0,0.00279458,0.00630304,2.08066e-10,0.753334,-0.00630871,-0.441568
0,0,364274,0.522811,-0.143538,0.155856,-1,44,0,0,0,-1,0,0.75851,0.985084,1.23587e-10,0.733989,1.00375,-0.495525
0,0,372193,0.190631,-0.212692,4.19823,-1,21,1,0,1,13,0,0.0905087,0.181336,5.405e-11,0.355792,-0.00244523,-0.446354
0,0,760224,0.306188,0.218866,1.24207,21,82,1,1,1,19,0,0.00285013,0.0114662,3.10697e-10,1.10897,-0.000506617,-0.448464
0,0,768143,-0.459509,0.0159403,3.65305,-1,42,1,0,1,34,0,0.220604,0.439063,1.23587e-10,0.70961,0.00647647,-0.444393
0,0,776062,-0.0568372,-0.120169,3.25724,1,29,1,1,1,0,0,0.00858172,0.0380531,5.405e-11,0.374427,-0.00306719,-0.440633
0,0,783981,0.209136,-0.209276,0.808475,-1,23,1,0,1,13,0,0.0949773,0.198554,5.40499e-11,0.387875,-0.0120063,-0.454059
0,0,791900,0.221196,0.0286726,5.29496,16,42,1,1,1,15,0,0.00876341,0.0320699,1.23587e-10,0.602828,0.00628123,-0.447539
0,0,799819,-0.425883,-0.37917,4.55733,-1,51,0,0,0,-1,0,0.715938,0.979694,1.63773e-10,0.668432,-1.00037,-0.491602
0,0,807738,-0.298898,-0.228266,1.59462,-1,61,0,0,0,-1,0,0.71444,0.97902,2.08067e-10,0.862841,-1.01159,-0.494055
0,0,815657,-0.153226,0.0646073,3.27858,11,45,1,1,1,9,0,0.00590542,0.0228434,1.23587e-10,0.605819,-0.00367051,-0.448112
0,0,823576,-0.271203,0.0993803,5.66621,21,48,1,1,1,19,0,0.00554662,0.0257117,1.23586e-10,0.696131,-0.000596785,-0.451741
0,0,831495,-0.625664,0.122472,5.56052,-1,33,0,0,0,-1,0,0.813976,0.990471,8.71269e-11,0.559207,-1.00261,0.473203
0,0,839414,-0.309599,-0.357561,3.3037,-1,61,0,0,0,-1,0,0.717428,0.982021,2.08067e-10,0.802534,-1.00775,-0.480031
0,0,847333,-0.75948,0.103371,4.90922,-1,23,0,0,0,-1,0,0.877529,0.993419,5.40499e-11,0.387646,-1.00561,0.351896
