Frame,Time,Quat_X,Quat_Y,Quat_Z,Quat_W,Marker1_X,Marker1_Y,Marker1_Z,Marker2_X,Marker2_Y,Marker2_Z,Marker3_X,Marker3_Y,Marker3_Z,Roll_deg,Pitch_deg,Yaw_deg
29,0.29,-0.010461,0.82324,-0.011968,-0.56747,-0.124752,0.148374,-0.434537,0.911944,-0.084515,0.148165,-0.566324,-0.114365,0.149036,-178.73844184409901,-69.16013897524262,-179.4136108785467
30,0.3,-0.015203,0.823628,-0.012754,-0.566783,-0.124991,0.147618,-0.434501,0.907632,-0.084515,0.148103,-0.566303,-0.114439,0.149024,-179.39440336427322,-69.07111263699097,-178.30181310982357
31,0.31,-0.016538,0.823591,-0.013624,-0.566779,-0.125033,0.147561,-0.434489,0.915934,-0.084569,0.148219,-0.566265,-0.114468,0.148952,-179.40734517073435,-69.07340623575405,-178.10714983692694
32,0.32,-0.016643,0.823645,-0.014199,-0.566684,-0.124982,0.147641,-0.434498,0.905527,-0.084437,0.148231,-0.566275,-0.11448,0.148963,-179.27413689598237,-69.06165416693425,-178.18427120164296
33,0.33,-0.016262,0.823766,-0.013455,-0.566537,-0.125032,0.147619,-0.434495,0.914893,-0.084454,0.148248,-0.566232,-0.114464,0.148998,-179.40073207708585,-69.03920878648981,-178.1503067245877
34,0.34,-0.015499,0.823696,-0.012731,-0.566677,-0.125013,0.147597,-0.434458,0.91423,-0.084495,0.14816,-0.566267,-0.114432,0.149022,-179.45386274189718,-69.05656873457744,-178.2198023109451
35,0.35,-0.016041,0.823917,-0.01174,-0.566362,-0.125231,0.147197,-0.434335,0.828056,-0.084682,0.147955,-0.566198,-0.114414,0.148954,-179.81196299527664,-69.01067873745909,-177.89853827115454
36,0.36,-0.01534,0.823558,-0.013155,-0.566872,-0.124979,0.147621,-0.434479,0.923918,-0.08457,0.148069,-0.566258,-0.114369,0.148989,-179.3136738400807,-69.08443633600666,-178.33825445693543
37,0.37,-0.014702,0.823499,-0.01321,-0.566973,-0.125,0.147744,-0.434454,0.901248,-0.084637,0.148046,-0.566107,-0.114435,0.149031,-179.18325044265998,-69.09796830607404,-178.51677277028577
38,0.38,-0.016651,0.823676,-0.013913,-0.566646,-0.125009,0.14761,-0.434522,0.90483,-0.084474,0.148249,-0.566328,-0.11446,0.14897,-179.3509657263228,-69.05576090864862,-178.13033298233006
39,0.39,-0.017315,0.823716,-0.014363,-0.566557,-0.125031,0.147475,-0.434471,0.9139,-0.084501,0.148198,-0.56623,-0.114383,0.148825,-179.35240273298697,-69.04498754482412,-178.03703562257724
40,0.4,-0.017481,0.823582,-0.014499,-0.566742,-0.124998,0.147564,-0.434448,0.902196,-0.084473,0.148273,-0.566208,-0.114513,0.148955,-179.34751736580813,-69.07102251792377,-178.01712861260066
