config_name,robot_type,series,analytical_avg_radius,analytical_std_radius,analytical_radius_error,analytical_est_center_x,analytical_est_center_y,analytical_center_error,analytical_std_x_est,analytical_std_y_est,analytical_rmse,nn_avg_radius,nn_std_radius,nn_radius_error,nn_est_center_x,nn_est_center_y,nn_center_error,nn_std_x_est,nn_std_y_est,nn_rmse,rbf_avg_radius,rbf_std_radius,rbf_radius_error,rbf_est_center_x,rbf_est_center_y,rbf_center_error,rbf_std_x_est,rbf_std_y_est,rbf_rmse,real_avg_radius,real_std_radius,real_radius_error,real_est_center_x,real_est_center_y,real_center_error,real_std_x_est,real_std_y_est,real_rmse,nn_vs_analytical_error,rbf_vs_analytical_error,analytical_vs_real_error,nn_vs_real_error,rbf_vs_real_error,std_x_across_modes,std_y_across_modes,desired_radius
orbit130,4-robot-square,1XX,0.362561,0.000014,0.062561,-0.011498,0.021947,0.024777,0.183105,0.181769,0.362561,0.389925,0.022665,0.089925,0.029416,0.013479,0.032358,0.201394,0.207981,0.390583,0.333835,0.033022,0.033835,-0.002740,0.007434,0.007923,0.171295,0.171905,0.335464,0.409930,0.036543,0.109930,0.019224,-0.060332,0.063321,0.262416,0.251333,0.411555,0.027364,-0.028727,-0.047368,-0.020005,-0.076095,0.017590,0.005952,0.300000
orbit140,4-robot-square,1XX,0.450352,0.000015,0.050352,0.007812,0.039540,0.040304,0.251534,0.261471,0.450352,0.461297,0.035619,0.061297,0.040410,0.064950,0.076495,0.252385,0.269784,0.462670,0.439269,0.063700,0.039269,0.065300,0.052486,0.083778,0.246190,0.255664,0.443863,0.454189,0.041009,0.054189,0.023888,-0.085761,0.089025,0.294848,0.276944,0.456036,0.010946,-0.011083,-0.003837,0.007109,-0.014920,0.023539,0.010374,0.400000
orbit150,4-robot-square,1XX,0.541843,0.000015,0.041843,-0.003396,0.010857,0.011376,0.337274,0.320691,0.541843,0.518898,0.050590,0.018898,0.056285,0.032396,0.064942,0.298366,0.319732,0.521359,0.516731,0.086513,0.016731,0.097840,0.045844,0.108047,0.301776,0.320983,0.523923,0.462791,0.043785,-0.037209,0.070782,-0.064478,0.095747,0.309979,0.274778,0.464858,-0.022944,-0.025112,0.079052,0.056107,0.053940,0.041550,0.014410,0.500000
orbit160,4-robot-square,1XX,0.635663,0.000014,0.035663,0.080735,-0.003103,0.080795,0.414507,0.390080,0.635663,0.573020,0.062950,-0.026980,0.052406,0.083150,0.098287,0.350886,0.347979,0.576467,0.601121,0.088560,0.001121,0.134425,0.064843,0.149247,0.349382,0.394431,0.607609,0.498062,0.044063,-0.101938,0.082925,0.011725,0.083750,0.340991,0.302260,0.500008,-0.062643,-0.034542,0.137601,0.074958,0.103059,0.034013,0.037106,0.600000
orbit201,4-robot-advanced,2XX,0.060392,0.000854,0.050392,0.012214,0.059128,0.060377,0.000974,0.000944,0.060398,0.047138,0.006227,0.037138,0.007008,-0.041096,0.041689,0.003983,0.012882,0.047547,0.108794,0.031460,0.098794,0.006817,-0.005101,0.008515,0.047501,0.052458,0.113251,0.121473,0.006998,0.111473,-0.002032,-0.004878,0.005285,0.015539,0.014482,0.121674,-0.013254,0.048402,-0.061081,-0.074335,-0.012679,0.002500,0.041454,0.010000
orbit210,4-robot-advanced,2XX,0.111168,0.002629,0.011168,-0.091547,0.063067,0.111168,0.001763,0.001349,0.111199,0.114546,0.002796,0.014546,-0.067569,0.092392,0.114463,0.001735,0.004422,0.114580,0.131163,0.025610,0.031163,0.013815,0.021785,0.025796,0.059433,0.072857,0.133640,0.125738,0.009309,0.025738,-0.009741,-0.005223,0.011052,0.017984,0.017462,0.126082,0.003378,0.019995,-0.014570,-0.011192,0.005425,0.045092,0.028963,0.100000
orbit220,4-robot-advanced,2XX,0.202693,0.002256,0.002693,-0.011907,0.000474,0.011917,0.081770,0.082877,0.202705,0.225764,0.012412,0.025764,0.015133,0.003019,0.015431,0.099065,0.097757,0.226105,0.235076,0.034661,0.035076,0.026588,0.002110,0.026671,0.112774,0.103617,0.237617,0.329084,0.044781,0.129084,0.024271,0.005088,0.024799,0.201779,0.199844,0.332117,0.023072,0.032383,-0.126391,-0.103319,-0.094008,0.016139,0.001053,0.200000
orbit230,4-robot-advanced,2XX,0.347326,0.000373,0.047326,0.007009,0.002789,0.007544,0.179831,0.185976,0.347326,0.387031,0.026390,0.087031,0.012617,-0.013035,0.018141,0.213673,0.210548,0.387930,0.369877,0.033652,0.069877,0.025408,-0.011503,0.027891,0.208455,0.194354,0.371405,0.438714,0.038969,0.138714,0.002265,-0.016273,0.016430,0.286099,0.286720,0.440441,0.039705,0.022551,-0.091388,-0.051683,-0.068837,0.007700,0.007126,0.300000
orbit233,4-robot-advanced,2XX,0.379235,0.000300,0.049235,-0.008741,0.004607,0.009881,0.204677,0.205755,0.379235,0.424584,0.025871,0.094584,0.022818,0.017265,0.028613,0.234028,0.244121,0.425372,0.395971,0.031513,0.065971,0.023917,0.006434,0.024767,0.227136,0.214180,0.397223,0.479745,0.087133,0.149745,0.158260,0.018523,0.159340,0.311983,0.284267,0.487594,0.045350,0.016737,-0.100511,-0.055161,-0.083774,0.015143,0.005586,0.330000
orbit240,4-robot-advanced,2XX,0.449845,0.000216,0.049845,0.022806,0.033498,0.040525,0.254980,0.258434,0.449845,0.488110,0.025964,0.088110,0.065856,-0.011789,0.066903,0.280833,0.290905,0.488800,0.462861,0.046252,0.062861,0.086443,0.000141,0.086443,0.280251,0.253341,0.465166,0.510268,0.054555,0.110268,0.036011,-0.008870,0.037087,0.353515,0.321484,0.513176,0.038265,0.013016,-0.060423,-0.022158,-0.047408,0.026514,0.019166,0.400000
orbit250,4-robot-advanced,2XX,0.541836,0.000042,0.041836,-0.000782,0.011352,0.011379,0.338732,0.319147,0.541836,0.551656,0.029665,0.051656,0.036487,0.022572,0.042905,0.340769,0.332363,0.552453,0.543677,0.074554,0.043677,0.090717,0.039355,0.098886,0.361270,0.303961,0.548765,0.592154,0.057448,0.092154,0.118845,0.020751,0.120643,0.378995,0.393656,0.594934,0.009820,0.001842,-0.050318,-0.040498,-0.048476,0.037568,0.011507,0.500000
