# generated_by: experiments/basin_map.py
# git_commit: 148df0a
# date: 2026-07-17T07:57:15.270577+00:00
# mode: subsample_random_heading_strict  max_steps: 500  x_exit: 1.0  y_exit: 0.52
# grid: 200x100 over [-1.0,1.0]x[-0.5,0.5]  subsample: 20x10x10
# controller: separatrix_logic_c_step (Logic C), zero noise
# collapse_rms: 0.3  saddle_contact_d: 0.06
# core_park: final_D > 0.0 and final_gradD < 0.5
sigma_uv,sigma_p,seed,start_x,start_y,heading,steps,success_traverse,collapsed,final_x,final_y,final_D,final_gradD,dist_core,min_d_top,min_d_bot,outcome
0.0,0.0,2000032,-0.95,-0.15000000000000002,3.3787848960757167,9,0,0,-1.00298002009479,-0.06847356125974739,-0.04429957510303503,1.2776375879930664,0.5076194728397914,1.1510864433221337,1.0124228365658292,EXIT
0.0,0.0,2000033,-0.95,-0.15000000000000002,0.7989432657790282,9,0,0,-1.0029991607234898,-0.06860069515386992,-0.04446088374290861,1.2798732083475253,0.5076556028097488,1.1510864433221337,1.0124228365658292,EXIT
0.0,0.0,2000034,-0.95,-0.15000000000000002,4.053772165223369,9,0,0,-1.0023859170136926,-0.06931297432913526,-0.04540776046079421,1.2918183783611368,0.5071448491545982,1.1510864433221337,1.0124228365658292,EXIT
0.0,0.0,2000035,-0.95,-0.15000000000000002,4.96092087778492,9,0,0,-1.0025656429821739,-0.06857854659085084,-0.04445576122081948,1.2791381595351823,0.5072230698209609,1.1510864433221337,1.0124228365658292,EXIT
0.0,0.0,2000036,-0.95,-0.15000000000000002,4.687635816964118,9,0,0,-1.0029430862504163,-0.06840508670389787,-0.04421432146689972,1.2764103711634043,0.5075736438134485,1.1510864433221337,1.0124228365658292,EXIT
0.0,0.0,2000037,-0.95,-0.15000000000000002,0.4633010654035696,9,0,0,-1.002635312828638,-0.06932542623158477,-0.045411798539521195,1.2922144343577189,0.5073936070000623,1.1510864433221337,1.0124228365658292,EXIT
0.0,0.0,2000038,-0.95,-0.15000000000000002,4.086451992084576,9,0,0,-1.002417978230343,-0.06934386352745316,-0.045446166180224186,1.2923785325840922,0.5071808319110449,1.151086443322134,1.0124228365658294,EXIT
0.0,0.0,2000039,-0.95,-0.15000000000000002,5.175576533922202,9,0,0,-1.0023470728404917,-0.06907939732647751,-0.04510845481544202,1.287721232054093,0.5070744962294985,1.151086443322134,1.0124228365658294,EXIT
0.0,0.0,2000040,-0.95,-0.04999999999999999,4.3893784461969485,9,0,0,-1.0003614199929685,0.031005687019733736,-0.009211890454245596,0.5924475111120706,0.5013211577870472,1.0977249200050074,1.0511898020814319,EXIT
0.0,0.0,2000041,-0.95,-0.04999999999999999,1.9029879514810528,9,0,0,-1.0003604476335253,0.031020680283056396,-0.009220781433098586,0.5927301040005079,0.501321114816886,1.0977249200050074,1.0511898020814319,EXIT
