# generated_by: experiments/basin_map.py
# git_commit: 148df0a
# date: 2026-07-17T07:58:19.125757+00:00
# mode: subsample_random_heading_relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# grid: 200x100 over [-1.0,1.0]x[-0.5,0.5]  subsample: 20x10x10
# controller: separatrix_logic_c_step (Logic C), zero noise
# collapse_rms: 0.3  saddle_contact_d: 0.06
# core_park: final_D > 0.0 and final_gradD < 0.5
sigma_uv,sigma_p,seed,start_x,start_y,heading,steps,success_traverse,collapsed,final_x,final_y,final_D,final_gradD,dist_core,min_d_top,min_d_bot,outcome
0.0,0.0,2000160,-0.85,0.15000000000000002,6.005669083520856,40,0,0,-1.1029150575579973,0.5024607804323127,-0.8757060664331716,1.8443867771241433,0.7848397304563601,0.9192388155425117,1.0700467279516348,EXIT
0.0,0.0,2000161,-0.85,0.15000000000000002,4.270868800449864,42,0,0,-1.106713518532635,0.5009708790908912,-0.8686416555413229,1.901632022986946,0.7868119948674845,0.9192388155425117,1.0700467279516348,EXIT
0.0,0.0,2000162,-0.85,0.15000000000000002,2.2849653908064136,40,0,0,-1.1062362781429347,0.4988503292174334,-0.8695437854991157,1.8944711182152532,0.7850949470585957,0.9192388155425117,1.0700467279516348,EXIT
0.0,0.0,2000163,-0.85,0.15000000000000002,3.751450015304401,55,0,0,-1.1085200114607459,0.4978448774365318,-0.8651464388609672,1.9290775329077496,0.7862226951303184,0.9192388155425117,1.0700467279516348,EXIT
0.0,0.0,2000164,-0.85,0.15000000000000002,4.1716104198656305,43,0,0,-1.1054744318465934,0.5082141240866774,-0.8703467792669808,1.8894227756277362,0.7904940755888964,0.9192388155425117,1.0700467279516348,EXIT
0.0,0.0,2000165,-0.85,0.15000000000000002,3.4591091420169646,48,0,0,-1.1000321677937355,0.5005779731861697,-0.8810124243903583,1.7992732491272605,0.7814198037075993,0.9192388155425119,1.070046727951635,EXIT
0.0,0.0,2000166,-0.85,0.15000000000000002,1.411487213638557,194,1,0,0.004694281792609483,-0.4449249361644061,-0.945007455984002,1.0418785660158187,0.6657972313774215,0.011393293810695248,0.06723576149259496,TRAVERSE
0.0,0.0,2000167,-0.85,0.15000000000000002,2.7269961822922593,125,0,0,0.0022159579460458594,0.6006670335747993,-0.8798230213620296,1.8096005084633657,0.7801216813722857,0.005222905002691365,0.9939656509705561,EXIT
0.0,0.0,2000168,-0.85,0.15000000000000002,3.4532201027284555,48,0,0,-1.1023701327791948,0.49976971409859927,-0.8767662126870921,1.8354119508919495,0.7827001622553943,0.9192388155425117,1.0700467279516348,EXIT
0.0,0.0,2000169,-0.85,0.15000000000000002,5.485780958665338,66,0,0,-1.1066915345219632,0.5036641055301583,-0.8685634502378581,1.9025138763941114,0.7885126183264977,0.9192388155425117,1.0700467279516348,EXIT
0.0,0.0,2000170,-0.85,0.25,1.9522593539186497,40,0,0,-1.1058188543762741,0.5095139663685458,-0.8694759717814642,1.896863162453796,0.7915939402511801,0.8860022573334675,1.1335784048754634,EXIT
0.0,0.0,2000171,-0.85,0.25,5.812760846345706,35,0,0,-1.105102510056535,0.5011978901666487,-0.8716807181873721,1.8773145697512703,0.7857151982647524,0.8860022573334675,1.1335784048754634,EXIT
0.0,0.0,2000172,-0.85,0.25,1.5576092069829355,47,0,0,-1.1024348201768737,0.5032230895233901,-0.8765480940240614,1.8374469669873077,0.7849593558847541,0.8860022573334675,1.1335784048754634,EXIT
0.0,0.0,2000173,-0.85,0.25,4.139483696516171,156,0,0,0.005261966520243096,0.6029188835358422,-0.8754910592522605,1.8466113220600733,0.7799210869668313,0.007327102328602512,0.9227143464877972,EXIT
0.0,0.0,2000174,-0.85,0.25,6.087091144546205,32,0,0,-1.1056284061089519,0.49490296655594596,-0.8704554722327627,1.8876938508354635,0.7821219294917803,0.8860022573334675,1.1335784048754634,EXIT
0.0,0.0,2000175,-0.85,0.25,0.219282215733775,40,0,0,-1.1036009754190712,0.49317640669826374,-0.8740484260657727,1.8589218330286013,0.7794594958371253,0.8860022573334675,1.1335784048754634,EXIT
0.0,0.0,2000176,-0.85,0.25,6.05935908743076,32,0,0,-1.102230629973954,0.4991962345456571,-0.8770164062204372,1.8333247141931204,0.7822267013234643,0.8860022573334675,1.1335784048754634,EXIT
0.0,0.0,2000177,-0.85,0.25,1.8867697363460463,70,0,0,-1.1065599795590266,0.4821985291879263,-0.8658991064615029,1.9296970680302368,0.7748744610281373,0.8860022573334675,1.1335784048754634,EXIT
0.0,0.0,2000178,-0.85,0.25,2.161290055886058,35,0,0,-1.1109827987084688,0.5015486847490007,-0.860373138118686,1.965391609649722,0.790475213710769,0.8860022573334675,1.1335784048754634,EXIT
