# generated_by: experiments/basin_map.py
# git_commit: 148df0a
# date: 2026-07-17T07:57:12.043206+00:00
# mode: grid_heading0_strict  max_steps: 500  x_exit: 1.0  y_exit: 0.52
# grid: 200x100 over [-1.0,1.0]x[-0.5,0.5]  subsample: 20x10x10
# controller: separatrix_logic_c_step (Logic C), zero noise
# collapse_rms: 0.3  saddle_contact_d: 0.06
# core_park: final_D > 0.0 and final_gradD < 0.5
sigma_uv,sigma_p,seed,start_x,start_y,heading,steps,success_traverse,collapsed,final_x,final_y,final_D,final_gradD,dist_core,min_d_top,min_d_bot,outcome
0.0,0.0,1000064,-0.995,0.14500000000000002,0.0,6,0,0,-1.000098893535662,0.19229568141103595,-0.31430229583943536,2.861252488760774,0.5357952336526783,1.0488538050230323,1.18576979216035,EXIT
0.0,0.0,1000065,-0.995,0.15500000000000003,0.0,6,0,0,-1.0002027777614975,0.20229574087297583,-0.34323673338545174,2.923760133521165,0.539561289989992,1.0459650074766116,1.1912388509446794,EXIT
0.0,0.0,1000066,-0.995,0.16500000000000004,0.0,6,0,0,-1.0003130603768031,0.21229580192498498,-0.37273848254758357,2.9747304356982927,0.5434911829078509,1.0431725654446289,1.1967664768032233,EXIT
0.0,0.0,1000067,-0.995,0.17500000000000004,0.0,6,0,0,-1.0004293246397875,0.2222958622984675,-0.40269106596468923,3.0139624382958634,0.5475810071162559,1.0404775071026084,1.2023518619771836,EXIT
0.0,0.0,1000068,-0.995,0.18500000000000005,0.0,6,0,0,-1.0005509304199818,0.23229595219974586,-0.43297632822803184,3.0413016014235135,0.5518266424817635,1.0378807794024574,1.2079942052841148,EXIT
0.0,0.0,1000069,-0.995,0.19499999999999995,0.0,5,0,0,-1.0000188048202014,0.23170769972796976,-0.43119057391974047,3.040006809022038,0.5510964192290218,1.0371049518286368,1.2136927123452625,EXIT
0.0,0.0,1000070,-0.995,0.20499999999999996,0.0,5,0,0,-1.0001719953169432,0.24170784282070845,-0.4616810164381281,3.0560460772758367,0.5555130117111322,1.0346109566974837,1.2194465957966343,EXIT
0.0,0.0,1000071,-0.995,0.21499999999999997,0.0,5,0,0,-1.000334171443862,0.25170803708542544,-0.49227121095280896,3.060027367965104,0.5600814396566037,1.0322201898657188,1.2252550754842846,EXIT
0.0,0.0,1000072,-0.995,0.22499999999999998,0.0,5,0,0,-1.0005046740515313,0.26170841357339597,-0.5228407470472719,3.0519351529519088,0.5647975057332789,1.0299340287342398,1.2311173786442948,EXIT
0.0,0.0,1000073,-0.995,0.235,0.0,5,0,0,-1.0006823568925343,0.2717086671765429,-0.5532679699399781,3.0318021011226373,0.5696564072511748,1.0277538350407613,1.2370327400679417,EXIT
0.0,0.0,1000074,-0.995,0.245,0.0,5,0,0,-1.0008653999674924,0.2817089454520078,-0.583433189956575,2.999708122841537,0.5746530073290128,1.0256806761146555,1.2430004022525496,EXIT
0.0,0.0,1000075,-0.995,0.255,0.0,4,0,0,-1.0001746804174332,0.2817256814281078,-0.5834902983339219,2.9996001464643993,0.574059291804264,1.0244220914665938,1.2490196155385231,EXIT
