Time(s),Radius(m)
0.000000,0.196404
1.000000,0.196404
2.000000,0.195777
3.000000,0.195328
4.000000,0.195848
5.000000,0.197643
6.000000,0.200743
7.000000,0.205258
8.000000,0.209636
9.000000,0.213172
10.000000,0.218512
11.000000,0.222372
12.000000,0.227173
13.000000,0.231468
14.000000,0.235989
15.000000,0.240302
16.000000,0.245880
17.000000,0.248763
18.000000,0.252249
19.000000,0.255300
20.000000,0.257980
21.000000,0.260052
22.000000,0.261545
23.000000,0.258653
24.000000,0.257785
25.000000,0.256407
26.000000,0.253448
27.000000,0.250724
28.000000,0.247141
29.000000,0.244719
30.000000,0.243006
31.000000,0.244418
32.000000,0.247821
33.000000,0.253547
34.000000,0.259019
35.000000,0.265204
36.000000,0.272021
37.000000,0.279739
38.000000,0.287993
39.000000,0.297200
40.000000,0.306898
41.000000,0.317479
42.000000,0.327775
43.000000,0.339007
44.000000,0.350811
45.000000,0.363381
46.000000,0.375867
47.000000,0.387965
48.000000,0.400686
49.000000,0.412634
50.000000,0.425186
51.000000,0.437886
52.000000,0.450574
53.000000,0.463556
54.000000,0.476732
55.000000,0.490550
56.000000,0.504205
57.000000,0.517460
58.000000,0.530889
59.000000,0.543734
60.000000,0.556622
61.000000,0.569900
62.000000,0.583437
63.000000,0.597052
64.000000,0.610187
65.000000,0.623622
66.000000,0.637491
67.000000,0.650845
68.000000,0.663870
69.000000,0.676866
70.000000,0.690224
71.000000,0.700751
72.000000,0.699247
73.000000,0.686190
74.000000,0.667870
75.000000,0.650075
76.000000,0.652506
77.000000,0.668844
78.000000,0.682590
79.000000,0.691454
80.000000,0.687698
81.000000,0.670184
82.000000,0.666062
83.000000,0.680395
84.000000,0.679007
85.000000,0.667680
86.000000,0.663777
87.000000,0.670693
88.000000,0.663134
89.000000,0.654786
90.000000,0.648782
91.000000,0.636729
92.000000,0.634514
93.000000,0.635835
94.000000,0.633648
95.000000,0.626376
96.000000,0.616614
97.000000,0.607497
98.000000,0.602026
99.000000,0.599770
100.000000,0.592950
101.000000,0.587233
102.000000,0.581549
103.000000,0.576750
104.000000,0.572319
105.000000,0.567859
106.000000,0.563312
107.000000,0.557630
108.000000,0.550781
109.000000,0.543392
110.000000,0.537300
111.000000,0.528920
112.000000,0.521621
113.000000,0.514287
114.000000,0.506352
115.000000,0.499710
116.000000,0.492419
117.000000,0.483987
118.000000,0.475111
119.000000,0.467559
120.000000,0.459155
121.000000,0.452812
122.000000,0.448973
123.000000,0.444709
124.000000,0.446962
125.000000,0.445871
126.000000,0.447206
127.000000,0.446264
128.000000,0.440853
129.000000,0.439421
130.000000,0.437352
131.000000,0.433763
132.000000,0.430319
133.000000,0.426740
134.000000,0.422583
135.000000,0.416507
136.000000,0.410769
137.000000,0.407180
138.000000,0.401891
139.000000,0.395914
140.000000,0.391908
141.000000,0.386937
142.000000,0.380117
143.000000,0.375265
144.000000,0.370034
145.000000,0.364482
146.000000,0.358922
147.000000,0.355020
148.000000,0.351433
149.000000,0.346965
150.000000,0.344155
151.000000,0.339342
152.000000,0.335741
153.000000,0.332484
154.000000,0.329462
155.000000,0.327016
156.000000,0.324997
157.000000,0.323333
158.000000,0.322189
159.000000,0.321660
160.000000,0.320468
161.000000,0.320267
162.000000,0.320819
163.000000,0.322283
164.000000,0.324101
165.000000,0.326171
166.000000,0.328474
167.000000,0.332087
168.000000,0.334352
169.000000,0.337077
170.000000,0.340858
171.000000,0.343537
172.000000,0.347937
173.000000,0.350124
174.000000,0.352528
175.000000,0.354135
176.000000,0.354685
177.000000,0.354028
178.000000,0.352394
179.000000,0.349919
180.000000,0.344881
181.000000,0.338923
182.000000,0.333293
183.000000,0.326182
184.000000,0.316211
185.000000,0.302662
186.000000,0.288922
187.000000,0.274688
188.000000,0.260594
189.000000,0.250341
190.000000,0.238911
191.000000,0.228581
192.000000,0.219226
193.000000,0.213530
194.000000,0.207009
195.000000,0.200567
196.000000,0.195117
197.000000,0.192276
198.000000,0.191533
199.000000,0.192896
200.000000,0.193647
201.000000,0.196154
202.000000,0.199879
203.000000,0.204354
204.000000,0.208807
205.000000,0.212628
206.000000,0.217710
207.000000,0.222107
208.000000,0.226612
209.000000,0.229921
210.000000,0.233155
211.000000,0.235428
212.000000,0.238518
213.000000,0.242239
214.000000,0.244851
215.000000,0.246951
216.000000,0.247789
217.000000,0.249395
218.000000,0.244882
219.000000,0.239695
220.000000,0.235506
221.000000,0.231345
222.000000,0.228421
223.000000,0.228373
224.000000,0.231549
225.000000,0.234417
226.000000,0.237619
227.000000,0.242250
228.000000,0.247585
229.000000,0.254292
230.000000,0.261979
231.000000,0.270863
232.000000,0.279804
233.000000,0.289365
234.000000,0.300158
235.000000,0.311181
236.000000,0.322296
237.000000,0.333786
238.000000,0.346097
239.000000,0.358185
240.000000,0.370361
241.000000,0.383435
242.000000,0.396155
243.000000,0.409022
244.000000,0.421799
245.000000,0.434821
246.000000,0.447905
247.000000,0.461149
248.000000,0.474310
249.000000,0.485624
250.000000,0.493117
251.000000,0.505916
252.000000,0.519707
253.000000,0.533764
254.000000,0.547033
255.000000,0.561091
256.000000,0.574448
257.000000,0.587955
258.000000,0.601291
259.000000,0.614722
260.000000,0.628158
261.000000,0.641725
262.000000,0.655346
263.000000,0.669120
264.000000,0.682848
265.000000,0.696216
266.000000,0.704065
267.000000,0.696190
268.000000,0.711268
269.000000,0.719173
270.000000,0.708332
271.000000,0.696247
272.000000,0.686588
273.000000,0.681957
274.000000,0.695858
275.000000,0.709157
276.000000,0.719133
277.000000,0.706638
278.000000,0.695067
279.000000,0.685459
280.000000,0.676886
281.000000,0.668008
282.000000,0.663650
283.000000,0.674404
284.000000,0.667258
285.000000,0.655135
286.000000,0.637525
287.000000,0.640367
288.000000,0.633145
289.000000,0.640696
290.000000,0.644830
291.000000,0.647123
292.000000,0.648892
293.000000,0.637032
294.000000,0.624083
295.000000,0.616312
296.000000,0.605209
297.000000,0.597491
298.000000,0.592390
299.000000,0.586393
300.000000,0.580107
301.000000,0.574895
302.000000,0.569717
303.000000,0.564869
304.000000,0.559108
305.000000,0.553398
306.000000,0.547942
307.000000,0.540783
308.000000,0.534478
309.000000,0.529322
310.000000,0.523452
311.000000,0.516673
312.000000,0.509586
313.000000,0.503172
314.000000,0.495354
315.000000,0.486066
316.000000,0.476738
317.000000,0.470009
318.000000,0.464495
319.000000,0.458244
320.000000,0.454201
321.000000,0.450938
322.000000,0.450057
323.000000,0.452185
324.000000,0.450156
325.000000,0.442007
326.000000,0.434383
327.000000,0.427801
328.000000,0.426373
329.000000,0.425149
330.000000,0.421977
331.000000,0.417305
332.000000,0.412794
333.000000,0.408604
334.000000,0.402796
335.000000,0.398032
336.000000,0.393748
337.000000,0.388902
338.000000,0.383302
339.000000,0.376920
340.000000,0.370313
341.000000,0.364358
342.000000,0.358776
343.000000,0.353528
344.000000,0.349328
345.000000,0.344528
346.000000,0.340210
347.000000,0.336627
348.000000,0.332621
349.000000,0.329281
350.000000,0.326337
351.000000,0.323562
352.000000,0.321475
353.000000,0.319435
354.000000,0.317657
355.000000,0.316417
356.000000,0.316163
357.000000,0.315957
358.000000,0.315200
359.000000,0.315655
360.000000,0.315734
361.000000,0.317493
362.000000,0.319381
363.000000,0.321935
364.000000,0.325423
365.000000,0.328237
366.000000,0.329272
367.000000,0.330369
368.000000,0.332282
369.000000,0.338465
370.000000,0.340915
371.000000,0.344073
372.000000,0.347941
373.000000,0.349968
374.000000,0.347719
