x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.555256,-0.233217,0.034558,0.066320,0.638970,-0.309332,-0.035707,0.318133,0.021628,0.157406,-0.147777,-0.225867,0.020415,0.464826,0.457156
-0.551026,-0.212515,0.041861,0.058990,0.629307,-0.303013,-0.015343,0.326949,0.976249,0.154870,-0.143863,-0.204521,0.023594,0.458936,0.500458
-0.546433,-0.193153,0.051928,0.057256,0.614114,-0.297467,0.004126,0.324770,0.976249,0.149203,-0.139146,-0.184878,0.031297,0.439176,0.500458
-0.544235,-0.172714,0.048902,0.054161,0.620226,-0.292372,0.024149,0.336903,0.980543,0.147446,-0.136064,-0.163812,0.034038,0.421152,0.466569
-0.541687,-0.151559,0.047533,0.043338,0.601272,-0.286972,0.045807,0.346768,0.940326,0.141023,-0.132301,-0.141996,0.033804,0.397444,0.476548
-0.537086,-0.129501,0.048970,0.038702,0.597212,-0.280915,0.068236,0.347009,0.940326,0.131735,-0.127338,-0.119981,0.044396,0.377410,0.476548
-0.532528,-0.106637,0.048030,0.033819,0.586822,-0.274742,0.091434,0.352681,0.922675,0.113988,-0.123103,-0.097801,0.045822,0.363828,0.462610
-0.526389,-0.082539,0.052380,0.027110,0.585610,-0.268376,0.114866,0.356026,0.913830,0.103002,-0.118513,-0.073258,0.051150,0.371775,0.444559
-0.520777,-0.059645,0.051090,0.023187,0.582118,-0.262277,0.137237,0.356467,0.909038,0.077346,-0.111525,-0.050803,0.054749,0.352151,0.440069
-0.514075,-0.038295,0.055729,0.009642,0.587538,-0.256305,0.159392,0.354782,0.900283,0.047727,-0.103866,-0.030109,0.065232,0.333345,0.448905
-0.505904,-0.016611,0.065119,0.009965,0.587281,-0.249000,0.182490,0.353455,0.892511,0.016154,-0.096256,-0.009438,0.067077,0.344981,0.455160
-0.498411,0.007905,0.067440,0.994137,0.580115,-0.241725,0.207316,0.359015,0.890648,0.971744,-0.089242,0.012130,0.077281,0.375108,0.455359
-0.487982,0.028697,0.051503,0.984059,0.558021,-0.233090,0.225379,0.364776,0.879173,0.954329,-0.083311,0.026207,0.016732,0.343287,0.456640
-0.466075,0.033536,0.009533,0.974119,0.541443,-0.209187,0.222291,0.377134,0.870463,0.929045,-0.070832,0.028704,-0.076202,0.313022,0.460208
-0.435615,0.036349,0.017732,0.973984,0.528506,-0.180684,0.221303,0.373267,0.860175,0.911806,-0.042558,0.033306,-0.076123,0.301152,0.409783
-0.404163,0.042270,0.020106,0.970016,0.513080,-0.155400,0.223631,0.368192,0.837620,0.875907,-0.010074,0.040829,-0.073946,0.305280,0.406975
-0.374351,0.044073,0.023159,0.964689,0.504442,-0.130072,0.218388,0.376717,0.827982,0.793551,0.022237,0.041000,-0.071815,0.296178,0.374350
-0.343711,0.045044,0.035148,0.961525,0.491938,-0.104150,0.214454,0.381233,0.817621,0.710029,0.053266,0.039901,-0.065273,0.307138,0.417086
-0.314318,0.045472,0.054375,0.953794,0.477038,-0.078436,0.209928,0.379244,0.806328,0.622862,0.082454,0.038594,-0.062723,0.316699,0.379157
-0.290787,0.048331,0.060170,0.946758,0.474527,-0.059785,0.211626,0.380852,0.799559,0.573108,0.104476,0.039629,-0.070512,0.328461,0.376261
-0.271969,0.048921,0.066781,0.946758,0.474527,-0.044469,0.211474,0.381134,0.783136,0.563623,0.124099,0.039084,-0.068826,0.337943,0.365915
-0.254613,0.051147,0.076748,0.928298,0.464161,-0.029460,0.211745,0.376183,0.767744,0.552557,0.141635,0.039993,-0.074571,0.359757,0.384082
-0.240858,0.051309,0.078420,0.939416,0.442043,-0.018681,0.212777,0.385341,0.753937,0.547234,0.154807,0.039943,-0.074032,0.356002,0.384465
-0.231662,0.049891,0.096322,0.925679,0.453961,-0.012924,0.214107,0.390376,0.748929,0.544358,0.163039,0.039367,-0.070520,0.358970,0.387768
-0.224860,0.048485,0.100279,0.923457,0.453371,-0.007717,0.212775,0.398090,0.748831,0.543039,0.170920,0.039019,-0.059582,0.368614,0.395847
-0.217890,0.045397,0.105168,0.933909,0.431082,-0.004041,0.210704,0.393144,0.741057,0.539735,0.177800,0.037913,-0.054925,0.372318,0.393876
-0.214138,0.043023,0.102970,0.938013,0.427166,-0.001985,0.210046,0.403772,0.736983,0.532141,0.182098,0.035418,-0.047144,0.364473,0.401348
-0.211317,0.041485,0.114048,0.935609,0.427096,-0.000904,0.209476,0.410350,0.734369,0.530604,0.184668,0.032611,-0.045524,0.375498,0.402983
-0.209738,0.039803,0.110075,0.934807,0.428033,-0.000460,0.209465,0.412277,0.734018,0.528691,0.187355,0.030183,-0.034042,0.378134,0.404535
-0.206819,0.037690,0.119757,0.939005,0.428023,-0.000475,0.209590,0.411502,0.734018,0.525681,0.189634,0.026799,-0.032771,0.382764,0.404535
-0.205237,0.036547,0.120799,0.940756,0.425693,-0.000383,0.209472,0.410622,0.734208,0.522764,0.191775,0.024590,-0.025580,0.388760,0.405891
-0.203378,0.035182,0.125261,0.944313,0.423613,0.000197,0.209245,0.412032,0.734181,0.522784,0.194090,0.021959,-0.023867,0.390438,0.405473
-0.202297,0.034743,0.129123,0.948056,0.426363,0.000204,0.209426,0.412652,0.732837,0.522088,0.195273,0.020613,-0.021056,0.380650,0.404780
-0.201270,0.034127,0.131105,0.951085,0.425703,0.000338,0.209293,0.413676,0.732837,0.520983,0.196893,0.019801,-0.013650,0.378313,0.404780
-0.201123,0.034062,0.131908,0.952461,0.426532,0.000263,0.209436,0.412817,0.733249,0.520699,0.197818,0.019319,-0.009085,0.379296,0.406299
-0.200972,0.033987,0.131521,0.953143,0.425134,0.000286,0.209313,0.412885,0.733249,0.519118,0.198687,0.018747,-0.005547,0.384600,0.406299
-0.201188,0.034069,0.130350,0.952630,0.426257,0.000287,0.209366,0.413647,0.732782,0.519666,0.199399,0.018802,0.000005,0.386722,0.402247
-0.201011,0.034009,0.132195,0.953226,0.424994,0.000280,0.209327,0.412751,0.733552,0.520257,0.200250,0.018280,0.002400,0.390613,0.402206
-0.201096,0.034041,0.132147,0.952473,0.424688,0.000218,0.209477,0.416032,0.733552,0.519059,0.200104,0.018154,0.004277,0.396112,0.402206
-0.201227,0.034003,0.130567,0.951871,0.425947,0.000261,0.209238,0.412272,0.733552,0.519638,0.200766,0.016244,-0.004936,0.396021,0.402206
-0.201099,0.033863,0.134119,0.953143,0.425134,0.000495,0.207819,0.408702,0.733047,0.519591,0.202283,0.014228,-0.004190,0.394321,0.404953
-0.201165,0.034009,0.132306,0.953226,0.424994,0.000436,0.207824,0.407654,0.733047,0.518643,0.202998,0.013687,-0.001089,0.393630,0.404953
-0.201015,0.033805,0.133935,0.952630,0.426257,0.000570,0.207736,0.409383,0.733862,0.517489,0.203109,0.013083,-0.005812,0.393853,0.407464
-0.201323,0.034030,0.130827,0.953226,0.424994,0.000403,0.207897,0.408514,0.733862,0.518201,0.202945,0.013765,0.000663,0.394131,0.407464
-0.201008,0.033816,0.133597,0.953226,0.424994,0.000552,0.207516,0.409380,0.733047,0.519078,0.203058,0.013493,-0.002222,0.394486,0.404953
