Time(s),Radius(m)
0.000000,0.469698
1.000000,0.469698
2.000000,0.468571
3.000000,0.464064
4.000000,0.460699
5.000000,0.457512
6.000000,0.451640
7.000000,0.446603
8.000000,0.440665
9.000000,0.436801
10.000000,0.431489
11.000000,0.427365
12.000000,0.423554
13.000000,0.420315
14.000000,0.416965
15.000000,0.413647
16.000000,0.409433
17.000000,0.406919
18.000000,0.403552
19.000000,0.401524
20.000000,0.399048
21.000000,0.397659
22.000000,0.396094
23.000000,0.394506
24.000000,0.392974
25.000000,0.392066
26.000000,0.391291
27.000000,0.391101
28.000000,0.391671
29.000000,0.392132
30.000000,0.394240
31.000000,0.396300
32.000000,0.398089
33.000000,0.399447
34.000000,0.401603
35.000000,0.403282
36.000000,0.405330
37.000000,0.408236
38.000000,0.410886
39.000000,0.413079
40.000000,0.416306
41.000000,0.419711
42.000000,0.424208
43.000000,0.428543
44.000000,0.432628
45.000000,0.436560
46.000000,0.440184
47.000000,0.444237
48.000000,0.449121
49.000000,0.452747
50.000000,0.456179
51.000000,0.459644
52.000000,0.458115
53.000000,0.455267
54.000000,0.447665
55.000000,0.439855
56.000000,0.432832
57.000000,0.425907
58.000000,0.418043
59.000000,0.409283
60.000000,0.400141
61.000000,0.391755
62.000000,0.382950
63.000000,0.373416
64.000000,0.362297
65.000000,0.354499
66.000000,0.345326
67.000000,0.334979
68.000000,0.322326
69.000000,0.307150
70.000000,0.296649
71.000000,0.288203
72.000000,0.280916
73.000000,0.272210
74.000000,0.262618
75.000000,0.252020
76.000000,0.244196
77.000000,0.238980
78.000000,0.234438
79.000000,0.231395
80.000000,0.230474
81.000000,0.229120
82.000000,0.229791
83.000000,0.231203
84.000000,0.233935
85.000000,0.236438
86.000000,0.241017
87.000000,0.245670
88.000000,0.250264
89.000000,0.255595
90.000000,0.260754
91.000000,0.265696
92.000000,0.271000
93.000000,0.276178
94.000000,0.281155
95.000000,0.285010
96.000000,0.288586
97.000000,0.294145
98.000000,0.298535
99.000000,0.301821
100.000000,0.304818
101.000000,0.307858
102.000000,0.310572
103.000000,0.313314
104.000000,0.315825
105.000000,0.317395
106.000000,0.317792
107.000000,0.317736
108.000000,0.318724
109.000000,0.321440
110.000000,0.323305
111.000000,0.327092
112.000000,0.330897
113.000000,0.335081
114.000000,0.339067
115.000000,0.343278
116.000000,0.348926
117.000000,0.354256
118.000000,0.360717
119.000000,0.366972
120.000000,0.374665
121.000000,0.383231
122.000000,0.391798
123.000000,0.401122
124.000000,0.410293
125.000000,0.420773
126.000000,0.431639
127.000000,0.442144
128.000000,0.453209
129.000000,0.464652
130.000000,0.476455
131.000000,0.488544
132.000000,0.500761
133.000000,0.512650
134.000000,0.524760
135.000000,0.537569
136.000000,0.549966
137.000000,0.562418
138.000000,0.575074
139.000000,0.587641
140.000000,0.600423
141.000000,0.613244
142.000000,0.626610
143.000000,0.639879
144.000000,0.652676
145.000000,0.666545
146.000000,0.679127
147.000000,0.692029
148.000000,0.704140
149.000000,0.714828
150.000000,0.720528
151.000000,0.717980
152.000000,0.717712
153.000000,0.723855
154.000000,0.727716
155.000000,0.716059
156.000000,0.709316
157.000000,0.724173
158.000000,0.738224
159.000000,0.742430
160.000000,0.727795
161.000000,0.723523
162.000000,0.746142
163.000000,0.760205
164.000000,0.745340
165.000000,0.729318
166.000000,0.716379
167.000000,0.710469
168.000000,0.724785
169.000000,0.739800
170.000000,0.745057
171.000000,0.731523
172.000000,0.723556
173.000000,0.713154
174.000000,0.703054
175.000000,0.690681
176.000000,0.671683
177.000000,0.668984
178.000000,0.684654
179.000000,0.697669
180.000000,0.709955
181.000000,0.713015
182.000000,0.703800
183.000000,0.707606
184.000000,0.695544
185.000000,0.686183
186.000000,0.681942
187.000000,0.676310
188.000000,0.680474
189.000000,0.694008
190.000000,0.700485
191.000000,0.688122
192.000000,0.680622
193.000000,0.673185
194.000000,0.668196
195.000000,0.676019
196.000000,0.670047
197.000000,0.683170
198.000000,0.694995
199.000000,0.700107
200.000000,0.690078
201.000000,0.681261
202.000000,0.674276
203.000000,0.666382
204.000000,0.657798
205.000000,0.655728
206.000000,0.671280
207.000000,0.678295
208.000000,0.670421
209.000000,0.663284
210.000000,0.656602
211.000000,0.651428
212.000000,0.643628
213.000000,0.636048
214.000000,0.628005
215.000000,0.621433
216.000000,0.615847
217.000000,0.609771
218.000000,0.604984
219.000000,0.601342
220.000000,0.597655
221.000000,0.593733
222.000000,0.587693
223.000000,0.580457
224.000000,0.570836
225.000000,0.562559
226.000000,0.555060
227.000000,0.548216
228.000000,0.541825
229.000000,0.532760
230.000000,0.524901
231.000000,0.516994
232.000000,0.508053
233.000000,0.500148
234.000000,0.491979
235.000000,0.484417
236.000000,0.475860
237.000000,0.468310
238.000000,0.461819
239.000000,0.457447
240.000000,0.454259
241.000000,0.452425
242.000000,0.453717
243.000000,0.450204
244.000000,0.445455
245.000000,0.445587
246.000000,0.443920
247.000000,0.439507
