Trial,Start_X,Start_Y,Final_Dist_mm,Steps,Path_Length_m,Efficiency,Success
1,2.0,0.0,1998.6518014863814,42,0.0013481985136185592,1483.4610628905148,False
2,1.9960534568565431,0.12558103905862675,1998.6514959320414,46,0.12561532099523592,15.921624720250898,False
3,1.9842294026289558,0.2506664671286085,1998.6521989170476,46,0.2510958227487837,7.965086707161032,False
4,1.9645745014573774,0.37476262917144926,1998.6514139077544,79,0.3764115926818522,5.313332636092388,False
5,1.9371663222572622,0.4973797743297096,1998.6514245140138,81,0.5013030721464192,3.9896025201613874,False
6,1.902113032590307,0.6180339887498948,1998.6514440713217,82,0.6256999789361548,3.196420117194979,False
7,1.8595529717765027,0.736249105369356,1998.6514569031742,83,0.7494796042822891,2.668518247291365,False
8,1.809654104932039,0.8515585831301454,1998.6514972526186,83,0.8725196560402052,2.292211970417594,False
9,1.7526133600877272,0.9635073482034306,1998.6514979875958,84,0.9946992276033185,2.0106580406409953,False
10,1.6886558510040302,1.0716535899579933,1998.6515505651203,84,1.1158946342430136,1.7922839116049112,False
11,1.618033988749895,1.1755705045849463,1998.6515649847754,85,1.2359846563593637,1.6181430648913315,False
12,1.5410264855515783,1.2748479794973795,1998.6515839510005,86,1.3548528249638045,1.4761750967699616,False
13,1.457937254842823,1.3690942118573775,1998.651603673047,87,1.4723910593657292,1.3583347897137816,False
14,1.3690942118573772,1.457937254842823,1998.6515575540357,89,1.5885008703708832,1.2590487278316946,False
15,1.2748479794973793,1.5410264855515785,1998.6515737866516,90,1.703113536180448,1.1743198310110174,False
16,1.175570504584946,1.618033988749895,1998.6515879089252,91,1.8162418718399256,1.1011749211430304,False
17,1.071653589957993,1.6886558510040302,1998.6515989775526,92,1.9281283832154283,1.0372753274160693,False
18,0.9635073482034303,1.7526133600877274,1998.6516064820262,93,2.039741353624548,0.9805164740353334,False
19,0.8515585831301453,1.8096541049320392,1998.6516117712245,94,2.154590432309329,0.92825066426029,False
20,0.7362491053693557,1.859552971776503,1998.6516297382564,95,2.2864711572314453,0.8747103560325176,False
21,0.6180339887498949,1.902113032590307,6.322282757965238,43,2.0882458843600453,0.9577416217980054,True
22,0.4973797743297095,1.9371663222572622,6.361585081206962,42,2.015351167837525,0.9923828819103535,True
23,0.37476262917144904,1.9645745014573774,7.70432614127782,41,1.9958724363887135,1.0020680498092127,True
24,0.2506664671286085,1.9842294026289558,7.622376236370107,41,1.9926915267862229,1.0036676390276844,True
25,0.1255810390586266,1.9960534568565431,7.619827410552087,41,1.9923852097390689,1.0038219467920706,True
26,-3.216245299353273e-16,2.0,7.620514520885411,41,1.9923794854791146,1.0038248308499587,True
27,-0.1255810390586268,1.9960534568565431,7.619827408729078,41,1.9923852097408121,1.0038219467911922,True
28,-0.25066646712860874,1.9842294026289555,7.622376247456112,41,1.9926915267746454,1.0036676390335155,True
29,-0.37476262917144965,1.9645745014573772,7.704326138753492,41,1.995872436390636,1.0020680498082473,True
30,-0.4973797743297097,1.9371663222572622,6.361585073312166,42,2.015351167818816,0.9923828819195663,True
31,-0.6180339887498951,1.902113032590307,6.322282755229788,43,2.0882458844422906,0.9577416217602849,True
32,-0.736249105369356,1.8595529717765027,1998.651629738266,95,2.2864711572575973,0.8747103560225128,False
33,-0.8515585831301454,1.809654104932039,1998.6516117712217,94,2.1545904323144067,0.9282506642581023,False
34,-0.9635073482034309,1.752613360087727,1998.6516064820266,93,2.0397413536352933,0.9805164740301681,False
35,-1.0716535899579938,1.68865585100403,1998.6515989775535,92,1.9281283832146558,1.037275327416485,False
36,-1.175570504584946,1.618033988749895,1998.6515879089252,91,1.8162418718399256,1.1011749211430304,False
37,-1.2748479794973795,1.5410264855515785,1998.6515737866516,90,1.7031135361784828,1.1743198310123724,False
38,-1.3690942118573775,1.4579372548428229,1998.651557554032,89,1.5885008703708752,1.2590487278317009,False
39,-1.4579372548428233,1.369094211857377,1998.651603673047,87,1.4723910593656493,1.3583347897138554,False
40,-1.5410264855515787,1.274847979497379,1998.6515839509875,86,1.354852824963801,1.4761750967699654,False
41,-1.6180339887498947,1.1755705045849465,1998.6515649847754,85,1.2359846563593258,1.6181430648913813,False
42,-1.6886558510040302,1.0716535899579933,1998.6515505651203,84,1.1158946342430136,1.7922839116049112,False
43,-1.7526133600877272,0.9635073482034304,1998.651497987596,84,0.9946992276032752,2.0106580406410828,False
44,-1.8096541049320392,0.851558583130145,1998.6514972526188,83,0.8725196560401575,2.292211970417719,False
45,-1.859552971776503,0.7362491053693555,1998.65145690318,83,0.7494796042822737,2.66851824729142,False
46,-1.9021130325903073,0.6180339887498942,1998.6514440713217,82,0.6256999789361504,3.1964201171950015,False
47,-1.9371663222572622,0.49737977432970965,1998.6514245140131,81,0.5013030721464282,3.989602520161316,False
48,-1.9645745014573774,0.37476262917144915,1998.6514139077544,79,0.3764115926818515,5.313332636092398,False
49,-1.9842294026289558,0.2506664671286082,1998.6521989170474,46,0.2510958227487836,7.965086707161036,False
50,-1.9960534568565431,0.12558103905862628,1998.6514959320414,46,0.12561532099523542,15.92162472025096,False
51,-2.0,-6.432490598706546e-16,1998.6518014863814,42,0.0013481985136185592,1483.4610628905148,False
52,-1.9960534568565431,-0.1255810390586267,1998.6514959320414,46,0.1256153209952359,15.921624720250902,False
53,-1.9842294026289558,-0.25066646712860857,1998.6521989170474,46,0.25109582274878384,7.965086707161029,False
54,-1.9645745014573772,-0.37476262917144954,1998.6514139077537,79,0.3764115926818563,5.31333263609233,False
55,-1.9371663222572622,-0.49737977432971003,1998.6514245140136,81,0.5013030721464187,3.989602520161392,False
56,-1.902113032590307,-0.6180339887498955,1998.6514440713217,82,0.6256999789361534,3.1964201171949864,False
57,-1.8595529717765025,-0.7362491053693566,1998.651456903174,83,0.7494796042822895,2.6685182472913636,False
58,-1.809654104932039,-0.8515585831301453,1998.651497252629,83,0.8725196560401782,2.2922119704176644,False
59,-1.752613360087727,-0.9635073482034308,1998.6514979875958,84,0.994699227603266,2.0106580406411014,False
60,-1.68865585100403,-1.0716535899579935,1998.651550565122,84,1.1158946342430636,1.7922839116048308,False
61,-1.6180339887498945,-1.1755705045849467,1998.6515649847754,85,1.2359846563592762,1.618143064891446,False
62,-1.541026485551578,-1.27484797949738,1998.6515839509998,86,1.3548528249638803,1.476175096769879,False
63,-1.457937254842823,-1.3690942118573775,1998.651603673047,87,1.4723910593657292,1.3583347897137816,False
