sigma_uv,success_baseline,success_margin_gate,delta
0.001,0.909,0.9913333333333333,0.08233333333333326
0.002,0.446,0.8406666666666667,0.39466666666666667
0.003,0.06,0.5,0.44
0.005,0.0,0.099,0.099
0.007,0.0003333333333333333,0.025666666666666667,0.025333333333333333
0.01,0.0,0.013,0.013
