Time(s),Radius(m),X_center(m),Y_center(m)
0.000000,0.540182,-0.008470,-0.540116
1.000000,0.540182,-0.008470,-0.540116
2.000000,0.540902,-0.013280,-0.540739
3.000000,0.544243,-0.031396,-0.543337
4.000000,0.546585,-0.045579,-0.544681
5.000000,0.548327,-0.057668,-0.545286
6.000000,0.550201,-0.072800,-0.545363
7.000000,0.552583,-0.086412,-0.545785
8.000000,0.553732,-0.099069,-0.544797
9.000000,0.554768,-0.110450,-0.543663
10.000000,0.557192,-0.125273,-0.542927
11.000000,0.558542,-0.136998,-0.541480
12.000000,0.559972,-0.150631,-0.539331
13.000000,0.562320,-0.164812,-0.537625
14.000000,0.564382,-0.177165,-0.535854
15.000000,0.565438,-0.189005,-0.532914
16.000000,0.566960,-0.198096,-0.531226
17.000000,0.568606,-0.208747,-0.528902
18.000000,0.568885,-0.216122,-0.526233
19.000000,0.569633,-0.229474,-0.521367
20.000000,0.571022,-0.242405,-0.517016
21.000000,0.571591,-0.255263,-0.511426
22.000000,0.572543,-0.268002,-0.505945
23.000000,0.573117,-0.280912,-0.499551
24.000000,0.574352,-0.293617,-0.493628
25.000000,0.575657,-0.305684,-0.487789
26.000000,0.576913,-0.318051,-0.481323
27.000000,0.578717,-0.330075,-0.475357
28.000000,0.580332,-0.342395,-0.468563
29.000000,0.581627,-0.352535,-0.462611
30.000000,0.582069,-0.359082,-0.458110
31.000000,0.583654,-0.371450,-0.450196
32.000000,0.584408,-0.381318,-0.442865
33.000000,0.584299,-0.387885,-0.436978
34.000000,0.585442,-0.399158,-0.428270
35.000000,0.585644,-0.408814,-0.419344
36.000000,0.586626,-0.413877,-0.415735
37.000000,0.587439,-0.423764,-0.406828
38.000000,0.588155,-0.434096,-0.396846
39.000000,0.588671,-0.443908,-0.386626
40.000000,0.588909,-0.453014,-0.376288
41.000000,0.589876,-0.462600,-0.365999
42.000000,0.589634,-0.469765,-0.356354
43.000000,0.589922,-0.474649,-0.350309
44.000000,0.590077,-0.483233,-0.338641
45.000000,0.590859,-0.492000,-0.327185
46.000000,0.591113,-0.499736,-0.315719
47.000000,0.590722,-0.506537,-0.303928
48.000000,0.591107,-0.513789,-0.292280
49.000000,0.590962,-0.520111,-0.280573
50.000000,0.591172,-0.526668,-0.268525
51.000000,0.591110,-0.532871,-0.255850
52.000000,0.591619,-0.538668,-0.244643
53.000000,0.591649,-0.544710,-0.230954
54.000000,0.591857,-0.550178,-0.218171
55.000000,0.592421,-0.555821,-0.205003
56.000000,0.592504,-0.560396,-0.192399
57.000000,0.593563,-0.565691,-0.179752
58.000000,0.593911,-0.570026,-0.166734
59.000000,0.594255,-0.573629,-0.155206
60.000000,0.594194,-0.575679,-0.147175
61.000000,0.595069,-0.579567,-0.134940
62.000000,0.596558,-0.584116,-0.121205
63.000000,0.596814,-0.586881,-0.108433
64.000000,0.597652,-0.589978,-0.095471
65.000000,0.598310,-0.592638,-0.082189
66.000000,0.599420,-0.595438,-0.068976
67.000000,0.600203,-0.597639,-0.055420
68.000000,0.600080,-0.598623,-0.041801
69.000000,0.600962,-0.600300,-0.028191
70.000000,0.601739,-0.601554,-0.014909
71.000000,0.602487,-0.602486,-0.000787
72.000000,0.602191,-0.602067,0.012225
73.000000,0.602386,-0.601819,0.026125
74.000000,0.602811,-0.601503,0.039689
75.000000,0.603066,-0.600699,0.053379
76.000000,0.603207,-0.599477,0.066971
77.000000,0.603410,-0.598026,0.080431
78.000000,0.603782,-0.596414,0.094039
79.000000,0.603887,-0.594207,0.107694
80.000000,0.604311,-0.591961,0.121549
81.000000,0.604592,-0.589352,0.134892
82.000000,0.605387,-0.586855,0.148645
83.000000,0.605554,-0.583914,0.160439
84.000000,0.605867,-0.580421,0.173744
85.000000,0.605707,-0.575798,0.187983
86.000000,0.606104,-0.571857,0.200850
