Time(s),Radius(m),X_center(m),Y_center(m)
152.000000,0.529394,-0.412290,-0.332076
153.000000,0.529475,-0.421327,-0.320668
154.000000,0.529825,-0.429683,-0.309979
155.000000,0.529834,-0.437552,-0.298785
156.000000,0.530194,-0.445812,-0.286981
157.000000,0.529531,-0.452300,-0.275367
158.000000,0.529331,-0.458855,-0.263900
159.000000,0.529069,-0.465442,-0.251549
160.000000,0.528706,-0.471519,-0.239166
161.000000,0.527875,-0.476964,-0.226180
162.000000,0.527062,-0.482019,-0.213194
163.000000,0.526735,-0.487084,-0.200497
164.000000,0.526309,-0.492041,-0.186806
165.000000,0.526267,-0.496730,-0.173831
166.000000,0.526543,-0.501377,-0.160837
167.000000,0.527093,-0.506148,-0.147111
168.000000,0.527911,-0.510647,-0.133902
169.000000,0.528707,-0.514666,-0.121036
170.000000,0.529162,-0.518131,-0.107482
171.000000,0.529654,-0.521310,-0.093641
172.000000,0.530417,-0.524373,-0.079845
173.000000,0.530753,-0.526547,-0.066683
174.000000,0.530963,-0.528306,-0.053054
175.000000,0.531463,-0.530003,-0.039375
176.000000,0.531758,-0.531134,-0.025742
177.000000,0.532542,-0.532405,-0.012090
178.000000,0.532668,-0.532665,0.001635
179.000000,0.532558,-0.532327,0.015671
180.000000,0.531624,-0.530808,0.029460
181.000000,0.531701,-0.529937,0.043279
182.000000,0.531440,-0.528326,0.057445
183.000000,0.530987,-0.526231,0.070908
184.000000,0.531024,-0.524324,0.084090
185.000000,0.530643,-0.521650,0.097279
186.000000,0.530304,-0.518601,0.110793
187.000000,0.530013,-0.515253,0.124206
188.000000,0.529551,-0.511432,0.137338
189.000000,0.530008,-0.507968,0.151252
190.000000,0.529227,-0.503129,0.164144
191.000000,0.529137,-0.498593,0.177175
192.000000,0.528372,-0.493168,0.189635
193.000000,0.528172,-0.488077,0.201858
194.000000,0.527709,-0.482959,0.212667
195.000000,0.527711,-0.477207,0.225282
196.000000,0.527021,-0.470288,0.237868
197.000000,0.527077,-0.464039,0.249955
198.000000,0.526841,-0.456888,0.262326
199.000000,0.526297,-0.449350,0.273995
200.000000,0.526074,-0.441650,0.285830
201.000000,0.524914,-0.433141,0.296518
202.000000,0.524155,-0.424381,0.307635
203.000000,0.523278,-0.415477,0.318117
204.000000,0.522647,-0.406589,0.328397
205.000000,0.521449,-0.396655,0.338489
206.000000,0.521222,-0.387178,0.348950
207.000000,0.520653,-0.377421,0.358654
208.000000,0.520434,-0.367519,0.368485
209.000000,0.520603,-0.357778,0.378183
210.000000,0.520311,-0.347201,0.387525
211.000000,0.520864,-0.336937,0.397206
212.000000,0.521095,-0.326264,0.406314
213.000000,0.521700,-0.315716,0.415324
214.000000,0.522304,-0.304920,0.424057
215.000000,0.522854,-0.293988,0.432373
216.000000,0.524709,-0.283694,0.441403
217.000000,0.526230,-0.272878,0.449951
218.000000,0.526995,-0.261763,0.457388
219.000000,0.527831,-0.250023,0.464859
220.000000,0.528214,-0.237683,0.471716
221.000000,0.528873,-0.225946,0.478179
222.000000,0.529181,-0.213219,0.484324
223.000000,0.529424,-0.200655,0.489926
224.000000,0.529178,-0.187369,0.494896
225.000000,0.528909,-0.174091,0.499437
226.000000,0.528775,-0.160863,0.503712
227.000000,0.529382,-0.147877,0.508309
228.000000,0.529680,-0.134477,0.512324
229.000000,0.529968,-0.120713,0.516037
230.000000,0.529641,-0.106756,0.518771
231.000000,0.530229,-0.094651,0.521712
232.000000,0.530223,-0.079748,0.524192
233.000000,0.530773,-0.066565,0.526583
234.000000,0.530677,-0.053872,0.527936
235.000000,0.530105,-0.039142,0.528658
236.000000,0.530010,-0.024807,0.529429
237.000000,0.530367,-0.010604,0.530261
238.000000,0.530005,0.003557,0.529993
239.000000,0.529559,0.015986,0.529318
240.000000,0.529088,0.030243,0.528223
241.000000,0.528603,0.045685,0.526625
242.000000,0.528713,0.057989,0.525523
243.000000,0.528666,0.072246,0.523706
244.000000,0.528828,0.086915,0.521637
245.000000,0.529107,0.099675,0.519634
246.000000,0.529515,0.114484,0.516991
247.000000,0.529901,0.128468,0.514093
248.000000,0.530230,0.140947,0.511154
249.000000,0.530729,0.154614,0.507708
250.000000,0.531180,0.169763,0.503322
251.000000,0.531662,0.181721,0.499641
252.000000,0.532223,0.194594,0.495373
253.000000,0.533372,0.209475,0.490516
254.000000,0.533668,0.220398,0.486031
255.000000,0.534021,0.233492,0.480270
256.000000,0.534483,0.246107,0.474450
257.000000,0.534980,0.258622,0.468314
258.000000,0.534876,0.270793,0.461262
259.000000,0.534542,0.282768,0.453627
260.000000,0.534831,0.294768,0.446269
261.000000,0.534392,0.305747,0.438285
262.000000,0.534624,0.317750,0.429951
263.000000,0.534755,0.328008,0.422343
264.000000,0.535004,0.339281,0.413664
265.000000,0.534442,0.350422,0.403525
266.000000,0.534809,0.360222,0.395299
267.000000,0.534722,0.370281,0.385771
268.000000,0.534896,0.380476,0.375968
269.000000,0.534452,0.389412,0.366056
270.000000,0.534485,0.398764,0.355896
271.000000,0.534153,0.407475,0.345375
272.000000,0.534175,0.416407,0.334585
273.000000,0.534279,0.425038,0.323723
274.000000,0.534173,0.433161,0.312590
275.000000,0.533879,0.440812,0.301184
276.000000,0.533856,0.448482,0.289597
277.000000,0.533622,0.455577,0.277852
278.000000,0.532752,0.461835,0.265580
279.000000,0.532250,0.468115,0.253296
280.000000,0.531904,0.474191,0.240968
281.000000,0.531444,0.479754,0.228623
282.000000,0.530799,0.485148,0.215358
283.000000,0.530649,0.490454,0.202591
284.000000,0.530834,0.495810,0.189624
285.000000,0.530581,0.500297,0.176688
286.000000,0.531012,0.505226,0.163464
287.000000,0.531016,0.509199,0.150647
288.000000,0.530534,0.512417,0.137458
289.000000,0.530478,0.515749,0.124134
290.000000,0.530023,0.518338,0.110683
291.000000,0.529730,0.520780,0.096963
292.000000,0.529318,0.522769,0.083002
293.000000,0.529443,0.524897,0.069236
294.000000,0.529495,0.526580,0.055482
295.000000,0.530133,0.528497,0.041605
296.000000,0.529828,0.529086,0.028019
297.000000,0.530219,0.530039,0.013816
298.000000,0.530282,0.530282,-0.000337
299.000000,0.530485,0.530293,-0.014261
300.000000,0.530586,0.529819,-0.028510
301.000000,0.530337,0.528630,-0.042509
302.000000,0.530328,0.527335,-0.056261
303.000000,0.530323,0.525631,-0.070388
304.000000,0.530074,0.523401,-0.083843
305.000000,0.529697,0.520628,-0.097595
306.000000,0.529224,0.517425,-0.111129
307.000000,0.528918,0.514073,-0.124433
308.000000,0.528195,0.509999,-0.137443
309.000000,0.527909,0.505920,-0.150773
310.000000,0.527616,0.501388,-0.164284
311.000000,0.527508,0.496680,-0.177688
312.000000,0.527401,0.491637,-0.190905
313.000000,0.527985,0.487053,-0.203831
314.000000,0.528178,0.481743,-0.216555
315.000000,0.528064,0.475701,-0.229260
316.000000,0.527931,0.469380,-0.241648
317.000000,0.528693,0.463270,-0.254750
318.000000,0.528986,0.456795,-0.266767
319.000000,0.529661,0.450013,-0.279338
320.000000,0.530214,0.443171,-0.291078
321.000000,0.530866,0.436300,-0.302425
322.000000,0.531568,0.428793,-0.314167
323.000000,0.532355,0.421125,-0.325661
324.000000,0.533296,0.413470,-0.336818
325.000000,0.534301,0.405473,-0.347951
326.000000,0.535059,0.396915,-0.358812
327.000000,0.535377,0.387543,-0.369376
328.000000,0.535741,0.378061,-0.379590
329.000000,0.536053,0.368470,-0.389337
330.000000,0.536802,0.358720,-0.399345
331.000000,0.537467,0.348624,-0.409063
332.000000,0.538447,0.338574,-0.418679
333.000000,0.538824,0.328182,-0.427350
334.000000,0.539717,0.317404,-0.436520
335.000000,0.540196,0.306549,-0.444791
336.000000,0.541683,0.296220,-0.453512
337.000000,0.542382,0.285139,-0.461383
338.000000,0.543517,0.274226,-0.469266
339.000000,0.543586,0.261760,-0.476411
340.000000,0.543928,0.249450,-0.483356
341.000000,0.543647,0.236912,-0.489310
342.000000,0.543852,0.224449,-0.495377
343.000000,0.543973,0.212266,-0.500850
