Time(s),Radius(m)
318.000000,0.493419
319.000000,0.500921
320.000000,0.508506
321.000000,0.515698
322.000000,0.522202
323.000000,0.530459
324.000000,0.539842
325.000000,0.549308
326.000000,0.558283
327.000000,0.566908
328.000000,0.576391
329.000000,0.584973
330.000000,0.593168
331.000000,0.602259
332.000000,0.610921
333.000000,0.619076
334.000000,0.627228
335.000000,0.635025
336.000000,0.644820
337.000000,0.652707
338.000000,0.660154
339.000000,0.666397
340.000000,0.671586
341.000000,0.674028
342.000000,0.675415
343.000000,0.675887
344.000000,0.673366
345.000000,0.671951
346.000000,0.671223
347.000000,0.668984
348.000000,0.665814
349.000000,0.663573
350.000000,0.659406
351.000000,0.656149
352.000000,0.655454
353.000000,0.655199
354.000000,0.654912
355.000000,0.655367
356.000000,0.656100
357.000000,0.656984
358.000000,0.658020
359.000000,0.661242
360.000000,0.663511
361.000000,0.664295
362.000000,0.664425
363.000000,0.662301
364.000000,0.661477
365.000000,0.657353
366.000000,0.661119
367.000000,0.665242
368.000000,0.665883
369.000000,0.668104
370.000000,0.671357
371.000000,0.673909
372.000000,0.677231
373.000000,0.678067
374.000000,0.676047
375.000000,0.676662
376.000000,0.674607
377.000000,0.669578
378.000000,0.664840
379.000000,0.659979
380.000000,0.654504
381.000000,0.649488
382.000000,0.644901
383.000000,0.640821
384.000000,0.636835
385.000000,0.631340
386.000000,0.626286
387.000000,0.620078
388.000000,0.615549
389.000000,0.609654
390.000000,0.604492
391.000000,0.597796
392.000000,0.590903
393.000000,0.583741
394.000000,0.577866
395.000000,0.572447
396.000000,0.565870
397.000000,0.560992
398.000000,0.557059
399.000000,0.550327
400.000000,0.544129
401.000000,0.536944
402.000000,0.530979
403.000000,0.524832
404.000000,0.521048
405.000000,0.518303
406.000000,0.516667
407.000000,0.516351
408.000000,0.515079
409.000000,0.511640
410.000000,0.508449
411.000000,0.506828
412.000000,0.505183
413.000000,0.504591
414.000000,0.502259
415.000000,0.501498
416.000000,0.502265
417.000000,0.500682
418.000000,0.496670
419.000000,0.491646
420.000000,0.485595
421.000000,0.475600
422.000000,0.474713
423.000000,0.470626
424.000000,0.468297
425.000000,0.468079
426.000000,0.468551
427.000000,0.464453
428.000000,0.458561
429.000000,0.455323
430.000000,0.457068
431.000000,0.457673
432.000000,0.459033
433.000000,0.459705
434.000000,0.460099
435.000000,0.460811
436.000000,0.461448
437.000000,0.462383
438.000000,0.464580
439.000000,0.461591
440.000000,0.447198
441.000000,0.453560
442.000000,0.457415
443.000000,0.457989
444.000000,0.462320
445.000000,0.465508
446.000000,0.468982
447.000000,0.471695
448.000000,0.474675
449.000000,0.476075
450.000000,0.480289
451.000000,0.482481
452.000000,0.484864
453.000000,0.485636
454.000000,0.489553
455.000000,0.493972
456.000000,0.498432
457.000000,0.503358
458.000000,0.508035
459.000000,0.513348
460.000000,0.518958
461.000000,0.524060
462.000000,0.529211
463.000000,0.534213
464.000000,0.538839
465.000000,0.539450
466.000000,0.542736
467.000000,0.544588
468.000000,0.549071
469.000000,0.552622
470.000000,0.555642
471.000000,0.551950
472.000000,0.549907
473.000000,0.544833
474.000000,0.526851
475.000000,0.495046
476.000000,0.476980
477.000000,0.473485
478.000000,0.470432
479.000000,0.469777
480.000000,0.471478
481.000000,0.472957
482.000000,0.477398
483.000000,0.485501
484.000000,0.489571
485.000000,0.496302
486.000000,0.503844
487.000000,0.507948
488.000000,0.513134
489.000000,0.518021
490.000000,0.523238
491.000000,0.529178
492.000000,0.533752
493.000000,0.537247
494.000000,0.540251
495.000000,0.541239
496.000000,0.541796
497.000000,0.540083
498.000000,0.538782
499.000000,0.537804
500.000000,0.536645
501.000000,0.535598
502.000000,0.531237
503.000000,0.524668
504.000000,0.522992
505.000000,0.520116
506.000000,0.519397
507.000000,0.518867
508.000000,0.517186
509.000000,0.514311
510.000000,0.510304
511.000000,0.511942
512.000000,0.511656
513.000000,0.511087
514.000000,0.506544
515.000000,0.498844
516.000000,0.491723
517.000000,0.483496
518.000000,0.478127
519.000000,0.472508
520.000000,0.467753
521.000000,0.465152
522.000000,0.462114
523.000000,0.456747
524.000000,0.454547
525.000000,0.451411
526.000000,0.448019
527.000000,0.445483
528.000000,0.444456
529.000000,0.444978
530.000000,0.446226
531.000000,0.447016
532.000000,0.450850
533.000000,0.455046
534.000000,0.459676
535.000000,0.464919
536.000000,0.470550
537.000000,0.474955
538.000000,0.478835
539.000000,0.482544
540.000000,0.486492
541.000000,0.489179
542.000000,0.490793
543.000000,0.492528
544.000000,0.494082
545.000000,0.493662
546.000000,0.492232
547.000000,0.491659
548.000000,0.490061
549.000000,0.489078
550.000000,0.488618
551.000000,0.486237
552.000000,0.484241
553.000000,0.480326
554.000000,0.475682
555.000000,0.469887
556.000000,0.462321
557.000000,0.454779
558.000000,0.448106
559.000000,0.442035
560.000000,0.436047
561.000000,0.430594
562.000000,0.425458
563.000000,0.422105
564.000000,0.418339
565.000000,0.414065
566.000000,0.408752
567.000000,0.402733
568.000000,0.403602
569.000000,0.405953
570.000000,0.410019
571.000000,0.413161
572.000000,0.417848
573.000000,0.421639
574.000000,0.425000
575.000000,0.431487
576.000000,0.436214
577.000000,0.438162
578.000000,0.439394
579.000000,0.438673
580.000000,0.436223
581.000000,0.437138
582.000000,0.436226
583.000000,0.436363
584.000000,0.436736
585.000000,0.438578
586.000000,0.439809
587.000000,0.441595
588.000000,0.442759
589.000000,0.444194
590.000000,0.443771
591.000000,0.441831
592.000000,0.441506
593.000000,0.442061
594.000000,0.442201
595.000000,0.444154
596.000000,0.446181
597.000000,0.448512
598.000000,0.451204
599.000000,0.454482
600.000000,0.456851
