Time(s),radii001_radius,radii001_x,radii001_y,radii01_radius,radii01_x,radii01_y,radii02_radius,radii02_x,radii02_y,radii03_radius,radii03_x,radii03_y,radii04_radius,radii04_x,radii04_y,radii05_radius,radii05_x,radii05_y
26.000000,0.134689,-0.121896,0.057292,0.251638,-0.223448,0.115728,0.292599,0.169361,0.238602,0.376974,0.063468,0.371592,0.473191,0.286812,0.376363,0.576913,-0.318051,-0.481323
27.000000,0.135881,-0.116082,0.070632,0.251575,-0.215843,0.129235,0.293968,0.181187,0.231492,0.377947,0.076944,0.370032,0.474468,0.298624,0.368705,0.578717,-0.330075,-0.475357
28.000000,0.137477,-0.109363,0.083306,0.251839,-0.208264,0.141594,0.295384,0.193045,0.223575,0.378796,0.090980,0.367708,0.475723,0.311111,0.359892,0.580332,-0.342395,-0.468563
29.000000,0.138994,-0.101305,0.095166,0.251668,-0.200561,0.152026,0.296826,0.204114,0.215506,0.379879,0.105186,0.365026,0.476200,0.320893,0.351844,0.581627,-0.352535,-0.462611
30.000000,0.139797,-0.091476,0.105713,0.251889,-0.191707,0.163391,0.297748,0.214816,0.206176,0.381001,0.118862,0.361985,0.477041,0.331161,0.343367,0.582069,-0.359082,-0.458110
31.000000,0.141498,-0.081510,0.115662,0.251818,-0.181078,0.174994,0.298428,0.224608,0.196495,0.381800,0.132574,0.358044,0.478040,0.342057,0.333945,0.583654,-0.371450,-0.450196
32.000000,0.142644,-0.070339,0.124096,0.251568,-0.170691,0.184800,0.299589,0.234463,0.186497,0.382447,0.145769,0.353577,0.478918,0.352141,0.324590,0.584408,-0.381318,-0.442865
33.000000,0.143671,-0.059549,0.130749,0.251442,-0.161110,0.193046,0.300844,0.243875,0.176161,0.383129,0.158585,0.348767,0.479972,0.362111,0.315039,0.584299,-0.387885,-0.436978
34.000000,0.144677,-0.045020,0.137494,0.250965,-0.148326,0.202442,0.301785,0.252646,0.165058,0.384646,0.171692,0.344201,0.480488,0.372000,0.304114,0.585442,-0.399158,-0.428270
35.000000,0.146449,-0.033283,0.142617,0.250362,-0.135863,0.210292,0.302146,0.260478,0.153111,0.385682,0.184721,0.338568,0.481037,0.380214,0.294676,0.585644,-0.408814,-0.419344
36.000000,0.147597,-0.019613,0.146288,0.250180,-0.123696,0.217461,0.302546,0.267603,0.141147,0.386857,0.197430,0.332686,0.481370,0.388647,0.284025,0.586626,-0.413877,-0.415735
37.000000,0.148627,-0.004693,0.148553,0.249621,-0.110638,0.223763,0.302730,0.273843,0.129054,0.387513,0.209514,0.325991,0.482135,0.397367,0.273044,0.587439,-0.423764,-0.406828
38.000000,0.149197,0.007760,0.148995,0.249930,-0.098625,0.229648,0.303886,0.280696,0.116432,0.388139,0.222010,0.318376,0.482995,0.405746,0.262019,0.588155,-0.434096,-0.396846
39.000000,0.150194,0.022210,0.148543,0.250414,-0.085458,0.235381,0.304243,0.286198,0.103220,0.389327,0.233993,0.311164,0.483369,0.413261,0.250719,0.588671,-0.443908,-0.386626
40.000000,0.150665,0.035884,0.146330,0.250977,-0.070717,0.240808,0.305455,0.291716,0.090581,0.390296,0.245959,0.303043,0.484635,0.421376,0.239403,0.588909,-0.453014,-0.376288
41.000000,0.150919,0.049577,0.142544,0.251611,-0.058387,0.244743,0.306401,0.296466,0.077393,0.391415,0.257471,0.294812,0.486045,0.429469,0.227587,0.589876,-0.462600,-0.365999
42.000000,0.151106,0.063007,0.137343,0.251369,-0.044041,0.247481,0.307373,0.300572,0.064298,0.392881,0.268696,0.286632,0.486701,0.436228,0.215831,0.589634,-0.469765,-0.356354
43.000000,0.151512,0.076735,0.130643,0.252235,-0.030177,0.250423,0.308469,0.304139,0.051503,0.394891,0.280178,0.278279,0.487696,0.443073,0.203797,0.589922,-0.474649,-0.350309
44.000000,0.152478,0.089525,0.123430,0.252842,-0.016167,0.252324,0.309802,0.307507,0.037639,0.395646,0.290327,0.268786,0.487930,0.448748,0.191574,0.590077,-0.483233,-0.338641
45.000000,0.152936,0.099358,0.116265,0.253607,-0.002040,0.253599,0.310920,0.309975,0.024228,0.397362,0.300715,0.259745,0.489039,0.455218,0.178704,0.590859,-0.492000,-0.327185
46.000000,0.153914,0.111160,0.106456,0.253790,0.013110,0.253451,0.312175,0.312001,0.010429,0.398695,0.310638,0.249923,0.489768,0.460825,0.165871,0.591113,-0.499736,-0.315719
47.000000,0.154921,0.120347,0.097556,0.254163,0.025491,0.252881,0.313226,0.313205,-0.003604,0.400081,0.320209,0.239855,0.490704,0.466292,0.152848,0.590722,-0.506537,-0.303928
48.000000,0.155146,0.128763,0.086548,0.254317,0.039361,0.251252,0.314578,0.314085,-0.017613,0.401879,0.329672,0.229833,0.490674,0.470347,0.139763,0.591107,-0.513789,-0.292280
49.000000,0.156123,0.136900,0.075051,0.253892,0.052688,0.248365,0.315201,0.313631,-0.031425,0.403427,0.338635,0.219271,0.490831,0.474186,0.126737,0.590962,-0.520111,-0.280573
50.000000,0.156751,0.143368,0.063377,0.253548,0.066344,0.244714,0.315532,0.312214,-0.045638,0.404504,0.346743,0.208308,0.490874,0.477719,0.112879,0.591172,-0.526668,-0.268525
51.000000,0.157221,0.149066,0.049975,0.253880,0.081473,0.240452,0.316502,0.310831,-0.059643,0.405432,0.354558,0.196630,0.490844,0.480708,0.099235,0.591110,-0.532871,-0.255850
52.000000,0.157666,0.153597,0.035586,0.254408,0.093766,0.236498,0.317562,0.308970,-0.073371,0.405957,0.361496,0.184720,0.491559,0.484058,0.085545,0.591619,-0.538668,-0.244643
53.000000,0.158422,0.156706,0.023257,0.254037,0.106901,0.230450,0.318188,0.306070,-0.086977,0.407119,0.368676,0.172697,0.491896,0.486646,0.071674,0.591649,-0.544710,-0.230954
