Time(s),Radius(m),X_center(m),Y_center(m)
0.000000,0.341576,-0.241423,0.241638
1.000000,0.341576,-0.241423,0.241638
2.000000,0.341978,-0.237264,0.246281
3.000000,0.343713,-0.225862,0.259085
4.000000,0.345291,-0.216720,0.268809
5.000000,0.346118,-0.206483,0.277781
6.000000,0.347493,-0.193792,0.288437
7.000000,0.348864,-0.183798,0.296520
8.000000,0.349679,-0.173794,0.303432
9.000000,0.350959,-0.162701,0.310967
10.000000,0.353254,-0.149893,0.319875
11.000000,0.354481,-0.138799,0.326177
12.000000,0.356281,-0.126280,0.333150
13.000000,0.358011,-0.112388,0.339913
14.000000,0.359923,-0.101010,0.345459
15.000000,0.361724,-0.087863,0.350891
16.000000,0.363362,-0.073552,0.355840
17.000000,0.365295,-0.061628,0.360058
18.000000,0.366464,-0.048208,0.363280
19.000000,0.368449,-0.035118,0.366772
20.000000,0.369641,-0.021283,0.369028
21.000000,0.371266,-0.007272,0.371195
22.000000,0.372311,0.006944,0.372246
23.000000,0.373441,0.020692,0.372868
24.000000,0.374749,0.035130,0.373099
25.000000,0.376147,0.049297,0.372902
26.000000,0.376974,0.063468,0.371592
27.000000,0.377947,0.076944,0.370032
28.000000,0.378796,0.090980,0.367708
29.000000,0.379879,0.105186,0.365026
30.000000,0.381001,0.118862,0.361985
31.000000,0.381800,0.132574,0.358044
32.000000,0.382447,0.145769,0.353577
33.000000,0.383129,0.158585,0.348767
34.000000,0.384646,0.171692,0.344201
35.000000,0.385682,0.184721,0.338568
36.000000,0.386857,0.197430,0.332686
37.000000,0.387513,0.209514,0.325991
38.000000,0.388139,0.222010,0.318376
39.000000,0.389327,0.233993,0.311164
40.000000,0.390296,0.245959,0.303043
41.000000,0.391415,0.257471,0.294812
42.000000,0.392881,0.268696,0.286632
43.000000,0.394891,0.280178,0.278279
44.000000,0.395646,0.290327,0.268786
45.000000,0.397362,0.300715,0.259745
46.000000,0.398695,0.310638,0.249923
47.000000,0.400081,0.320209,0.239855
48.000000,0.401879,0.329672,0.229833
49.000000,0.403427,0.338635,0.219271
50.000000,0.404504,0.346743,0.208308
51.000000,0.405432,0.354558,0.196630
52.000000,0.405957,0.361496,0.184720
53.000000,0.407119,0.368676,0.172697
54.000000,0.407726,0.374890,0.160306
55.000000,0.408086,0.380566,0.147323
56.000000,0.408453,0.385621,0.134647
57.000000,0.408935,0.390501,0.121395
58.000000,0.409250,0.394728,0.108053
59.000000,0.409835,0.398800,0.094465
60.000000,0.410042,0.401945,0.081087
61.000000,0.410624,0.405022,0.067595
62.000000,0.410765,0.407222,0.053828
63.000000,0.410204,0.408234,0.040158
64.000000,0.410655,0.409795,0.026549
65.000000,0.410887,0.410685,0.012885
66.000000,0.411576,0.411574,-0.001360
67.000000,0.412113,0.411836,-0.015094
68.000000,0.412358,0.411302,-0.029492
69.000000,0.412660,0.410354,-0.043565
70.000000,0.413043,0.408996,-0.057679
71.000000,0.413661,0.407373,-0.071852
72.000000,0.414826,0.405964,-0.085285
73.000000,0.415608,0.403517,-0.099519
74.000000,0.416125,0.400655,-0.112408
75.000000,0.417460,0.397984,-0.126023
76.000000,0.418131,0.394222,-0.139364
77.000000,0.418743,0.390021,-0.152412
78.000000,0.419110,0.385132,-0.165307
79.000000,0.419684,0.379859,-0.178444
80.000000,0.420084,0.374095,-0.191111
81.000000,0.420712,0.368121,-0.203679
82.000000,0.421258,0.361636,-0.216050
83.000000,0.421699,0.354656,-0.228143
84.000000,0.422240,0.347634,-0.239661
85.000000,0.422131,0.339600,-0.250733
86.000000,0.421897,0.330625,-0.262078
87.000000,0.421816,0.321848,-0.272658
88.000000,0.422129,0.312838,-0.283418
89.000000,0.422100,0.303351,-0.293507
90.000000,0.422288,0.293495,-0.303624
91.000000,0.422388,0.283279,-0.313313
92.000000,0.422525,0.273505,-0.322060
93.000000,0.422845,0.263711,-0.330537
94.000000,0.423333,0.253085,-0.339351
95.000000,0.423314,0.241809,-0.347453
96.000000,0.423075,0.230370,-0.354855
97.000000,0.422763,0.218105,-0.362159
98.000000,0.422762,0.205760,-0.369311
99.000000,0.422630,0.192966,-0.376005
100.000000,0.423021,0.180950,-0.382367
101.000000,0.423025,0.167820,-0.388313
102.000000,0.422770,0.154924,-0.393361
103.000000,0.422625,0.141755,-0.398142
104.000000,0.422190,0.128143,-0.402274
105.000000,0.422383,0.114804,-0.406482
106.000000,0.422861,0.100920,-0.410642
107.000000,0.423497,0.087410,-0.414378
108.000000,0.424411,0.073821,-0.417942
109.000000,0.424971,0.059933,-0.420724
110.000000,0.425541,0.046534,-0.422989
111.000000,0.426079,0.032400,-0.424845
112.000000,0.426541,0.018700,-0.426131
113.000000,0.426954,0.004719,-0.426928
114.000000,0.427961,-0.009396,-0.427858
115.000000,0.428523,-0.023412,-0.427883
116.000000,0.428764,-0.037490,-0.427122
117.000000,0.428862,-0.051775,-0.425725
118.000000,0.428911,-0.066367,-0.423745
119.000000,0.428863,-0.080311,-0.421276
120.000000,0.429054,-0.093803,-0.418674
121.000000,0.428649,-0.107419,-0.414971
122.000000,0.429098,-0.121290,-0.411599
123.000000,0.428765,-0.134936,-0.406978
124.000000,0.429148,-0.148261,-0.402724
125.000000,0.428648,-0.161348,-0.397122
126.000000,0.428652,-0.174290,-0.391619
127.000000,0.428027,-0.186607,-0.385208
128.000000,0.427537,-0.198622,-0.378599
129.000000,0.427264,-0.210884,-0.371595
130.000000,0.426361,-0.222654,-0.363605
131.000000,0.426338,-0.234554,-0.356018
132.000000,0.426020,-0.245951,-0.347852
133.000000,0.425978,-0.257426,-0.339395
134.000000,0.425946,-0.268726,-0.330478
135.000000,0.426337,-0.279271,-0.322134
136.000000,0.426642,-0.290069,-0.312862
137.000000,0.426878,-0.299940,-0.303745
138.000000,0.427412,-0.310190,-0.294046
139.000000,0.428058,-0.319845,-0.284486
140.000000,0.428364,-0.329402,-0.273843
141.000000,0.429338,-0.338837,-0.263667
142.000000,0.430435,-0.348158,-0.253101
143.000000,0.431611,-0.357276,-0.242162
144.000000,0.432018,-0.364429,-0.232015
145.000000,0.431654,-0.372095,-0.218792
146.000000,0.431175,-0.378570,-0.206389
147.000000,0.430999,-0.384883,-0.193971
148.000000,0.431110,-0.391421,-0.180679
149.000000,0.431104,-0.396906,-0.168274
150.000000,0.431355,-0.402338,-0.155534
151.000000,0.431185,-0.406978,-0.142441
152.000000,0.431689,-0.411919,-0.129144
153.000000,0.431613,-0.415634,-0.116352
154.000000,0.431997,-0.419503,-0.103144
155.000000,0.431707,-0.422313,-0.089570
156.000000,0.431734,-0.424797,-0.077080
157.000000,0.432158,-0.427712,-0.061833
158.000000,0.432722,-0.430036,-0.048133
159.000000,0.432740,-0.431275,-0.035575
160.000000,0.433503,-0.432990,-0.021094
161.000000,0.434158,-0.434096,-0.007329
162.000000,0.433985,-0.433938,0.006335
163.000000,0.434334,-0.433851,0.020473
164.000000,0.433719,-0.432464,0.032969
165.000000,0.433413,-0.430665,0.048727
166.000000,0.433050,-0.428516,0.062498
167.000000,0.432494,-0.425998,0.074678
168.000000,0.432363,-0.423240,0.088350
169.000000,0.432453,-0.419917,0.103371
170.000000,0.432336,-0.416703,0.115210
171.000000,0.432064,-0.412432,0.128762
172.000000,0.432168,-0.408008,0.142472
173.000000,0.432424,-0.403453,0.155615
174.000000,0.432886,-0.398591,0.168866
175.000000,0.433368,-0.393370,0.181847
176.000000,0.433857,-0.387858,0.194417
177.000000,0.433518,-0.380462,0.207813
178.000000,0.433622,-0.374648,0.218327
179.000000,0.433902,-0.367661,0.230426
180.000000,0.434108,-0.359661,0.243092
181.000000,0.434520,-0.353135,0.253186
182.000000,0.434602,-0.344860,0.264482
183.000000,0.434698,-0.336424,0.275284
184.000000,0.435103,-0.326919,0.287121
185.000000,0.435026,-0.318580,0.296234
186.000000,0.434982,-0.307631,0.307527
187.000000,0.434769,-0.298769,0.315850
188.000000,0.434189,-0.288434,0.324540
189.000000,0.433452,-0.276366,0.333920
190.000000,0.432691,-0.265927,0.341327
191.000000,0.432451,-0.253731,0.350192
192.000000,0.431808,-0.243013,0.356935
193.000000,0.431460,-0.230944,0.364448
194.000000,0.431741,-0.219136,0.371994
195.000000,0.431154,-0.205761,0.378887
196.000000,0.430941,-0.194278,0.384664
197.000000,0.430920,-0.181725,0.390728
198.000000,0.431200,-0.168979,0.396710
199.000000,0.431284,-0.155824,0.402150
200.000000,0.431589,-0.142741,0.407302
201.000000,0.432152,-0.129401,0.412324
202.000000,0.433274,-0.116472,0.417326
203.000000,0.433407,-0.102954,0.421001
204.000000,0.434277,-0.089558,0.424943
205.000000,0.434807,-0.075948,0.428122
206.000000,0.435244,-0.062615,0.430717
207.000000,0.435277,-0.048432,0.432574
208.000000,0.435613,-0.033877,0.434294
209.000000,0.436089,-0.019997,0.435631
210.000000,0.436077,-0.006302,0.436031
211.000000,0.436080,0.008075,0.436006
212.000000,0.436144,0.022283,0.435574
213.000000,0.435964,0.035881,0.434485
214.000000,0.435821,0.050226,0.432917
215.000000,0.436058,0.064631,0.431242
216.000000,0.436517,0.078648,0.429373
217.000000,0.436789,0.092829,0.426811
218.000000,0.436401,0.107765,0.422886
219.000000,0.436092,0.119858,0.419297
220.000000,0.436374,0.136519,0.414469
221.000000,0.436180,0.146912,0.410694
222.000000,0.435787,0.160155,0.405291
223.000000,0.435410,0.172556,0.399758
224.000000,0.435600,0.186961,0.393437
225.000000,0.435602,0.198301,0.387848
226.000000,0.435181,0.210467,0.380902
227.000000,0.435328,0.222720,0.374040
228.000000,0.434865,0.233978,0.366554
229.000000,0.434209,0.245622,0.358060
230.000000,0.432805,0.255995,0.348979
231.000000,0.432220,0.266862,0.339998
232.000000,0.431492,0.277266,0.330618
233.000000,0.431477,0.288142,0.321165
234.000000,0.431422,0.298402,0.311579
235.000000,0.432105,0.308942,0.302109
236.000000,0.432382,0.319086,0.291784
237.000000,0.432869,0.328705,0.281654
238.000000,0.432919,0.337776,0.270788
239.000000,0.433499,0.346746,0.260171
240.000000,0.433745,0.355268,0.248836
241.000000,0.433998,0.363413,0.237246
242.000000,0.434125,0.370896,0.225611
243.000000,0.434921,0.378678,0.213913
244.000000,0.435332,0.385602,0.202052
245.000000,0.436242,0.392656,0.190074
246.000000,0.436856,0.398950,0.177994
247.000000,0.437841,0.405203,0.165879
248.000000,0.438539,0.410874,0.153295
249.000000,0.438797,0.415834,0.140089
250.000000,0.438871,0.420138,0.126854
251.000000,0.439474,0.424491,0.113775
252.000000,0.439548,0.427993,0.100122
253.000000,0.439470,0.430897,0.086383
254.000000,0.439340,0.433280,0.072716
255.000000,0.438810,0.434787,0.059283
256.000000,0.438977,0.436624,0.045392
257.000000,0.439045,0.437936,0.031191
258.000000,0.439251,0.438917,0.017115
259.000000,0.439476,0.439466,0.002987
260.000000,0.439736,0.439608,-0.010610
261.000000,0.440256,0.439534,-0.025213
262.000000,0.439856,0.438153,-0.038671
263.000000,0.439703,0.436566,-0.052432
264.000000,0.439613,0.434535,-0.066628
265.000000,0.439735,0.432334,-0.080336
266.000000,0.439676,0.429412,-0.094449
267.000000,0.439766,0.426348,-0.107803
268.000000,0.440350,0.423066,-0.122161
269.000000,0.440289,0.419049,-0.135100
270.000000,0.440305,0.414439,-0.148691
271.000000,0.441154,0.410290,-0.162110
272.000000,0.441402,0.405160,-0.175160
273.000000,0.441945,0.400028,-0.187866
274.000000,0.442531,0.394456,-0.200595
275.000000,0.443428,0.388768,-0.213278
276.000000,0.443830,0.382309,-0.225443
277.000000,0.444169,0.375380,-0.237436
278.000000,0.444523,0.368028,-0.249311
279.000000,0.445032,0.360673,-0.260708
280.000000,0.445523,0.352909,-0.271931
281.000000,0.446320,0.345000,-0.283156
282.000000,0.446649,0.336852,-0.293302
283.000000,0.446477,0.327492,-0.303465
284.000000,0.446254,0.317465,-0.313623
285.000000,0.446003,0.307513,-0.323040
286.000000,0.445344,0.296763,-0.332058
287.000000,0.445283,0.286084,-0.341224
288.000000,0.445198,0.274955,-0.350143
289.000000,0.445333,0.264078,-0.358586
290.000000,0.445034,0.252741,-0.366303
291.000000,0.444846,0.241075,-0.373860
292.000000,0.444380,0.229281,-0.380662
293.000000,0.443758,0.217168,-0.386987
294.000000,0.443340,0.204529,-0.393342
295.000000,0.443120,0.191431,-0.399637
296.000000,0.442849,0.178507,-0.405278
297.000000,0.442384,0.165303,-0.410340
298.000000,0.441978,0.151955,-0.415035
299.000000,0.441803,0.138609,-0.419497
300.000000,0.440956,0.125316,-0.422774
301.000000,0.440204,0.111767,-0.425779
302.000000,0.439533,0.098404,-0.428376
303.000000,0.439182,0.084641,-0.430948
304.000000,0.438796,0.070758,-0.433054
305.000000,0.438642,0.056862,-0.434941
306.000000,0.438898,0.042963,-0.436790
307.000000,0.438817,0.028581,-0.437885
308.000000,0.438308,0.014194,-0.438078
309.000000,0.437727,0.000165,-0.437727
310.000000,0.437506,-0.014141,-0.437277
311.000000,0.437679,-0.028205,-0.436769
312.000000,0.437829,-0.041977,-0.435812
313.000000,0.438063,-0.056214,-0.434441
314.000000,0.438321,-0.070402,-0.432630
315.000000,0.438037,-0.084471,-0.429815
316.000000,0.438121,-0.098876,-0.426818
317.000000,0.438129,-0.112074,-0.423552
318.000000,0.437786,-0.126135,-0.419221
319.000000,0.438117,-0.139492,-0.415317
320.000000,0.438148,-0.152698,-0.410679
321.000000,0.438168,-0.165658,-0.405646
322.000000,0.438833,-0.178861,-0.400729
323.000000,0.438892,-0.191545,-0.394889
324.000000,0.438816,-0.204329,-0.388341
325.000000,0.438394,-0.216070,-0.381448
326.000000,0.438194,-0.228569,-0.373858
327.000000,0.437660,-0.239894,-0.366056
328.000000,0.437200,-0.251176,-0.357847
329.000000,0.437419,-0.262501,-0.349898
330.000000,0.437244,-0.273629,-0.341042
331.000000,0.436627,-0.284389,-0.331311
332.000000,0.435899,-0.294614,-0.321264
333.000000,0.435703,-0.304715,-0.311426
334.000000,0.435833,-0.314714,-0.301506
335.000000,0.435407,-0.324128,-0.290723
336.000000,0.435552,-0.333102,-0.280622
337.000000,0.435383,-0.341765,-0.269732
338.000000,0.435203,-0.350012,-0.258638
339.000000,0.435157,-0.357886,-0.247546
340.000000,0.434860,-0.365393,-0.235778
341.000000,0.435102,-0.372902,-0.224183
342.000000,0.435127,-0.380052,-0.211886
343.000000,0.435013,-0.386664,-0.199318
344.000000,0.434782,-0.392624,-0.186766
345.000000,0.434509,-0.398193,-0.173899
346.000000,0.434635,-0.403419,-0.161744
347.000000,0.434654,-0.408378,-0.148832
348.000000,0.434134,-0.412483,-0.135390
349.000000,0.433519,-0.416015,-0.121942
350.000000,0.432574,-0.418857,-0.108068
351.000000,0.432401,-0.421969,-0.094407
352.000000,0.432484,-0.424889,-0.080694
353.000000,0.432964,-0.427718,-0.067194
354.000000,0.432799,-0.429467,-0.053603
355.000000,0.433128,-0.431327,-0.039462
356.000000,0.433171,-0.432398,-0.025870
357.000000,0.433335,-0.433176,-0.011717
358.000000,0.433357,-0.433349,0.002579
359.000000,0.433321,-0.433009,0.016429
360.000000,0.433162,-0.432065,0.030810
361.000000,0.433190,-0.430874,0.044733
362.000000,0.433525,-0.429519,0.058797
363.000000,0.433596,-0.427486,0.072537
364.000000,0.434050,-0.425340,0.086522
365.000000,0.434352,-0.422699,0.099935
366.000000,0.433766,-0.418817,0.112894
367.000000,0.434095,-0.415304,0.126338
368.000000,0.433710,-0.410615,0.139643
369.000000,0.432939,-0.405184,0.152520
370.000000,0.432716,-0.399842,0.165437
371.000000,0.432484,-0.394095,0.178135
