Time(s),Radius(m),X_center(m),Y_center(m)
0.000000,0.260429,-0.172364,-0.195228
1.000000,0.260389,-0.172279,-0.195250
2.000000,0.260044,-0.175810,-0.191608
3.000000,0.259704,-0.188502,-0.178641
4.000000,0.259370,-0.198207,-0.167293
5.000000,0.259414,-0.206081,-0.157564
6.000000,0.259213,-0.214697,-0.145246
7.000000,0.258150,-0.220753,-0.133826
8.000000,0.257570,-0.227388,-0.120982
9.000000,0.256748,-0.232213,-0.109529
10.000000,0.255913,-0.236854,-0.096909
11.000000,0.255665,-0.241188,-0.084814
12.000000,0.255236,-0.244855,-0.072050
13.000000,0.254822,-0.247921,-0.058901
14.000000,0.254918,-0.250816,-0.045545
15.000000,0.254382,-0.252448,-0.031311
16.000000,0.254025,-0.253362,-0.018342
17.000000,0.253811,-0.253798,-0.002516
18.000000,0.253942,-0.253758,0.009668
19.000000,0.253492,-0.252415,0.023339
20.000000,0.252830,-0.250238,0.036106
21.000000,0.252520,-0.247614,0.049535
22.000000,0.252677,-0.244551,0.063562
23.000000,0.252361,-0.240227,0.077312
24.000000,0.252049,-0.235726,0.089228
25.000000,0.251892,-0.229501,0.103823
26.000000,0.251638,-0.223448,0.115728
27.000000,0.251575,-0.215843,0.129235
28.000000,0.251839,-0.208264,0.141594
29.000000,0.251668,-0.200561,0.152026
30.000000,0.251889,-0.191707,0.163391
31.000000,0.251818,-0.181078,0.174994
32.000000,0.251568,-0.170691,0.184800
33.000000,0.251442,-0.161110,0.193046
34.000000,0.250965,-0.148326,0.202442
35.000000,0.250362,-0.135863,0.210292
36.000000,0.250180,-0.123696,0.217461
37.000000,0.249621,-0.110638,0.223763
38.000000,0.249930,-0.098625,0.229648
39.000000,0.250414,-0.085458,0.235381
40.000000,0.250977,-0.070717,0.240808
41.000000,0.251611,-0.058387,0.244743
42.000000,0.251369,-0.044041,0.247481
43.000000,0.252235,-0.030177,0.250423
44.000000,0.252842,-0.016167,0.252324
45.000000,0.253607,-0.002040,0.253599
46.000000,0.253790,0.013110,0.253451
47.000000,0.254163,0.025491,0.252881
48.000000,0.254317,0.039361,0.251252
49.000000,0.253892,0.052688,0.248365
50.000000,0.253548,0.066344,0.244714
51.000000,0.253880,0.081473,0.240452
52.000000,0.254408,0.093766,0.236498
53.000000,0.254037,0.106901,0.230450
54.000000,0.254608,0.119885,0.224617
55.000000,0.255433,0.134027,0.217446
56.000000,0.255087,0.145966,0.209197
57.000000,0.254839,0.155465,0.201924
58.000000,0.254618,0.166531,0.192608
59.000000,0.254825,0.178064,0.182288
60.000000,0.254454,0.186954,0.172613
61.000000,0.254312,0.197201,0.160581
62.000000,0.254291,0.205072,0.150365
63.000000,0.254380,0.213135,0.138863
64.000000,0.254656,0.221653,0.125377
65.000000,0.254750,0.227731,0.114175
66.000000,0.254205,0.233817,0.099748
67.000000,0.254228,0.238847,0.087087
68.000000,0.253826,0.242951,0.073501
69.000000,0.253957,0.246899,0.059454
70.000000,0.253805,0.249731,0.045295
71.000000,0.253599,0.251837,0.029841
72.000000,0.253515,0.252944,0.017012
73.000000,0.253275,0.253261,0.002686
74.000000,0.253435,0.253194,-0.011066
75.000000,0.253012,0.251736,-0.025378
76.000000,0.252354,0.249237,-0.039537
77.000000,0.252060,0.246277,-0.053683
78.000000,0.251704,0.242470,-0.067549
79.000000,0.252451,0.238813,-0.081853
80.000000,0.252879,0.234157,-0.095489
81.000000,0.253234,0.228776,-0.108576
82.000000,0.253369,0.222335,-0.121503
83.000000,0.253670,0.215335,-0.134087
84.000000,0.253956,0.207743,-0.146070
85.000000,0.254367,0.199551,-0.157740
86.000000,0.254825,0.189699,-0.170147
87.000000,0.254822,0.180843,-0.179527
88.000000,0.254180,0.170124,-0.188853
89.000000,0.254671,0.159535,-0.198509
90.000000,0.254140,0.147674,-0.206832
91.000000,0.254418,0.135888,-0.215088
92.000000,0.254010,0.123275,-0.222091
93.000000,0.254047,0.109438,-0.229267
94.000000,0.253322,0.097499,-0.233807
95.000000,0.253108,0.083922,-0.238790
96.000000,0.252655,0.070300,-0.242678
97.000000,0.252366,0.056889,-0.245870
98.000000,0.251512,0.043005,-0.247808
99.000000,0.251531,0.028607,-0.249899
100.000000,0.251428,0.014724,-0.250997
101.000000,0.252131,0.000873,-0.252130
