Time(s),Radius(m),X_center(m),Y_center(m)
0.000000,0.093899,0.077114,-0.053575
1.000000,0.093899,0.077114,-0.053575
2.000000,0.094362,0.074231,-0.058258
3.000000,0.097199,0.064668,-0.072565
4.000000,0.100227,0.054100,-0.084372
5.000000,0.101440,0.043990,-0.091406
6.000000,0.103776,0.030516,-0.099188
7.000000,0.105875,0.017890,-0.104352
8.000000,0.107606,0.006350,-0.107419
9.000000,0.109525,-0.007837,-0.109244
10.000000,0.111599,-0.022410,-0.109325
11.000000,0.112598,-0.034550,-0.107166
12.000000,0.113949,-0.048087,-0.103305
13.000000,0.115921,-0.061122,-0.098498
14.000000,0.117495,-0.073379,-0.091764
15.000000,0.119278,-0.085224,-0.083451
16.000000,0.121988,-0.096472,-0.074661
17.000000,0.123762,-0.105795,-0.064221
18.000000,0.124724,-0.112191,-0.054493
19.000000,0.125880,-0.119253,-0.040305
20.000000,0.127264,-0.124281,-0.027392
21.000000,0.128298,-0.127438,-0.014828
22.000000,0.129802,-0.129799,0.000912
23.000000,0.131125,-0.130230,0.015294
24.000000,0.132572,-0.129479,0.028469
25.000000,0.133502,-0.126140,0.043720
26.000000,0.134689,-0.121896,0.057292
27.000000,0.135881,-0.116082,0.070632
28.000000,0.137477,-0.109363,0.083306
29.000000,0.138994,-0.101305,0.095166
30.000000,0.139797,-0.091476,0.105713
31.000000,0.141498,-0.081510,0.115662
32.000000,0.142644,-0.070339,0.124096
33.000000,0.143671,-0.059549,0.130749
34.000000,0.144677,-0.045020,0.137494
35.000000,0.146449,-0.033283,0.142617
36.000000,0.147597,-0.019613,0.146288
37.000000,0.148627,-0.004693,0.148553
38.000000,0.149197,0.007760,0.148995
39.000000,0.150194,0.022210,0.148543
40.000000,0.150665,0.035884,0.146330
41.000000,0.150919,0.049577,0.142544
42.000000,0.151106,0.063007,0.137343
43.000000,0.151512,0.076735,0.130643
44.000000,0.152478,0.089525,0.123430
45.000000,0.152936,0.099358,0.116265
46.000000,0.153914,0.111160,0.106456
47.000000,0.154921,0.120347,0.097556
48.000000,0.155146,0.128763,0.086548
49.000000,0.156123,0.136900,0.075051
50.000000,0.156751,0.143368,0.063377
51.000000,0.157221,0.149066,0.049975
52.000000,0.157666,0.153597,0.035586
53.000000,0.158422,0.156706,0.023257
54.000000,0.158407,0.158178,0.008517
55.000000,0.158213,0.158115,-0.005577
56.000000,0.158874,0.157532,-0.020611
57.000000,0.159333,0.155830,-0.033230
58.000000,0.159940,0.152950,-0.046767
59.000000,0.160073,0.148255,-0.060363
60.000000,0.161120,0.143605,-0.073056
61.000000,0.160798,0.135814,-0.086085
62.000000,0.161319,0.128827,-0.097095
63.000000,0.161729,0.119606,-0.108861
64.000000,0.162453,0.110163,-0.119396
65.000000,0.162980,0.099642,-0.128972
66.000000,0.163710,0.088631,-0.137643
67.000000,0.164273,0.077054,-0.145081
68.000000,0.165017,0.064695,-0.151806
69.000000,0.166005,0.052044,-0.157636
70.000000,0.166982,0.038767,-0.162419
71.000000,0.167949,0.025232,-0.166043
72.000000,0.168224,0.011430,-0.167835
73.000000,0.168835,-0.002395,-0.168818
74.000000,0.169274,-0.016166,-0.168500
75.000000,0.169397,-0.030204,-0.166683
76.000000,0.169442,-0.043764,-0.163693
77.000000,0.169595,-0.057456,-0.159566
78.000000,0.169681,-0.070581,-0.154305
79.000000,0.169872,-0.083098,-0.148160
80.000000,0.170002,-0.094533,-0.141294
81.000000,0.170315,-0.105798,-0.133468
82.000000,0.170172,-0.115898,-0.124604
83.000000,0.170518,-0.125728,-0.115190
84.000000,0.170656,-0.134659,-0.104835
85.000000,0.171391,-0.143432,-0.093820
86.000000,0.171359,-0.150862,-0.081268
87.000000,0.171060,-0.156609,-0.068812
88.000000,0.170521,-0.161193,-0.055626
89.000000,0.170329,-0.165042,-0.042110
90.000000,0.170028,-0.167615,-0.028544
91.000000,0.170279,-0.169696,-0.014088
92.000000,0.170843,-0.170843,0.000185
93.000000,0.170960,-0.170357,0.014345
94.000000,0.171310,-0.168815,0.029132
95.000000,0.171992,-0.166521,0.043035
