Time(s),Radius(m),X_center(m),Y_center(m)
0.000000,0.251157,-0.149844,0.201561
1.000000,0.251157,-0.149844,0.201561
2.000000,0.251352,-0.145704,0.204812
3.000000,0.253814,-0.132103,0.216727
4.000000,0.255733,-0.120888,0.225357
5.000000,0.257908,-0.108408,0.234018
6.000000,0.259697,-0.097421,0.240732
7.000000,0.262009,-0.085392,0.247704
8.000000,0.264225,-0.072722,0.254020
9.000000,0.265236,-0.060737,0.258188
10.000000,0.267071,-0.045859,0.263105
11.000000,0.268290,-0.033530,0.266186
12.000000,0.269594,-0.019773,0.268867
13.000000,0.271467,-0.004395,0.271431
14.000000,0.273032,0.008189,0.272909
15.000000,0.274288,0.022304,0.273380
16.000000,0.275442,0.037395,0.272892
17.000000,0.276436,0.049811,0.271911
18.000000,0.278125,0.064271,0.270597
19.000000,0.279413,0.077939,0.268323
20.000000,0.281494,0.091542,0.266194
21.000000,0.283689,0.105280,0.263431
22.000000,0.286491,0.118757,0.260718
23.000000,0.288545,0.131845,0.256662
24.000000,0.290026,0.144457,0.251490
25.000000,0.291544,0.156860,0.245749
26.000000,0.292599,0.169361,0.238602
27.000000,0.293968,0.181187,0.231492
28.000000,0.295384,0.193045,0.223575
29.000000,0.296826,0.204114,0.215506
30.000000,0.297748,0.214816,0.206176
31.000000,0.298428,0.224608,0.196495
32.000000,0.299589,0.234463,0.186497
33.000000,0.300844,0.243875,0.176161
34.000000,0.301785,0.252646,0.165058
35.000000,0.302146,0.260478,0.153111
36.000000,0.302546,0.267603,0.141147
37.000000,0.302730,0.273843,0.129054
38.000000,0.303886,0.280696,0.116432
39.000000,0.304243,0.286198,0.103220
40.000000,0.305455,0.291716,0.090581
41.000000,0.306401,0.296466,0.077393
42.000000,0.307373,0.300572,0.064298
43.000000,0.308469,0.304139,0.051503
44.000000,0.309802,0.307507,0.037639
45.000000,0.310920,0.309975,0.024228
46.000000,0.312175,0.312001,0.010429
47.000000,0.313226,0.313205,-0.003604
48.000000,0.314578,0.314085,-0.017613
49.000000,0.315201,0.313631,-0.031425
50.000000,0.315532,0.312214,-0.045638
51.000000,0.316502,0.310831,-0.059643
52.000000,0.317562,0.308970,-0.073371
53.000000,0.318188,0.306070,-0.086977
54.000000,0.318321,0.301853,-0.101060
55.000000,0.318769,0.297482,-0.114535
56.000000,0.318690,0.292027,-0.127605
57.000000,0.318864,0.286358,-0.140263
58.000000,0.318896,0.279917,-0.152779
59.000000,0.319151,0.273178,-0.165019
60.000000,0.319180,0.265513,-0.177141
61.000000,0.319522,0.257855,-0.188693
62.000000,0.319529,0.249171,-0.200031
63.000000,0.319809,0.240139,-0.211213
64.000000,0.320079,0.230801,-0.221769
65.000000,0.320242,0.220925,-0.231835
66.000000,0.320605,0.210246,-0.242041
67.000000,0.321086,0.200021,-0.251173
68.000000,0.321553,0.188965,-0.260170
