0.05,0.95,936,346,297,1535
0.15,0.95,1287,1144,597,3075
0.25,0.95,847,1125,592,2622
0.35,0.95,563,842,479,1917
0.45,0.95,657,1060,877,2634
0.55,0.95,574,959,1120,2679
0.65,0.95,165,393,636,1196
0.75,0.95,435,510,700,1650
0.85,0.95,966,672,802,2428
0.95,0.95,870,302,343,1467
0.05,0.85,1118,482,400,1960
0.15,0.85,1355,1232,665,3308
0.25,0.85,913,1175,621,2767
0.35,0.85,585,895,529,2045
0.45,0.85,610,959,815,2417
0.55,0.85,528,854,985,2387
0.65,0.85,236,502,763,1507
0.75,0.85,460,514,681,1659
0.85,0.85,942,669,791,2392
0.95,0.85,810,308,350,1426
0.05,0.75,948,472,390,1783
0.15,0.75,1168,1055,603,2863
0.25,0.75,846,1062,597,2551
0.35,0.75,592,884,545,2054
0.45,0.75,683,1082,925,2727
0.55,0.75,590,930,1051,2593
0.65,0.75,258,464,662,1387
0.75,0.75,533,587,752,1877
0.85,0.75,979,713,822,2506
0.95,0.75,1003,440,486,1887
0.05,0.65,1261,765,620,2633
0.15,0.65,1254,1191,707,3200
0.25,0.65,1029,1290,759,3142
0.35,0.65,665,993,647,2346
0.45,0.65,732,1139,999,2912
0.55,0.65,633,966,1062,2687
0.65,0.65,355,556,728,1645
0.75,0.65,634,707,864,2216
0.85,0.65,995,762,854,2609
0.95,0.65,985,500,531,1984
0.05,0.55,974,652,533,2152
0.15,0.55,1274,1228,774,3326
0.25,0.55,1076,1309,812,3259
0.35,0.55,746,1077,741,2609
0.45,0.55,826,1245,1109,3229
0.55,0.55,785,1183,1268,3277
0.65,0.55,503,727,887,2131
0.75,0.55,680,737,860,2287
0.85,0.55,995,801,871,2671
0.95,0.55,1043,644,652,2321
0.05,0.45,1283,993,801,3089
0.15,0.45,1391,1390,923,3764
0.25,0.45,1074,1281,856,3268
0.35,0.45,849,1176,846,2924
0.45,0.45,892,1299,1168,3411
0.55,0.45,808,1163,1202,3211
0.65,0.45,649,895,1025,2591
0.75,0.45,838,941,1046,2847
0.85,0.45,1057,901,948,2916
0.95,0.45,1068,752,735,2551
0.05,0.35,1245,1169,969,3418
0.15,0.35,1464,1558,1173,4269
0.25,0.35,1253,1460,1097,3879
0.35,0.35,1099,1383,1089,3632
0.45,0.35,1015,1334,1184,3589
0.55,0.35,1013,1345,1299,3711
0.65,0.35,972,1243,1261,3520
0.75,0.35,1075,1224,1223,3564
0.85,0.35,1287,1283,1246,3856
0.95,0.35,1245,1123,1025,3420
0.05,0.25,1389,1472,1109,4038
0.15,0.25,1209,1409,1057,3743
0.25,0.25,1026,1279,1010,3368
0.35,0.25,998,1307,1161,3520
0.45,0.25,1051,1412,1361,3886
0.55,0.25,933,1184,1201,3356
0.65,0.25,1077,1223,1220,3561
0.75,0.25,1146,1127,1095,3398
0.85,0.25,1227,1103,1008,3363
0.95,0.25,1232,1109,1013,3378
0.05,0.15,1448,1520,1285,4315
0.15,0.15,1395,1528,1228,4224
0.25,0.15,1343,1572,1272,4260
0.35,0.15,1289,1603,1339,4308
0.45,0.15,1235,1551,1358,4216
0.55,0.15,1213,1520,1393,4191
0.65,0.15,1129,1361,1300,3843
0.75,0.15,1169,1318,1250,3788
0.85,0.15,1261,1330,1242,3880
0.95,0.15,1350,1377,1221,4001
0.05,0.05,1517,1697,1460,4752
0.15,0.05,1558,1778,1513,4938
0.25,0.05,1470,1704,1455,4711
0.35,0.05,1404,1668,1440,4593
0.45,0.05,1353,1591,1397,4412
0.55,0.05,1394,1634,1454,4556
0.65,0.05,1408,1647,1483,4615
0.75,0.05,1378,1575,1423,4444
0.85,0.05,1475,1650,1475,4676
0.95,0.05,1449,1609,1415,4543
