# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:53:14.458518+00:00
# trials_per_cell: 1000
# variant: relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S1: (-0.45, 0.3)  seed_offset: 23
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path,min_dist_network
0.0,0.0,506839,-0.45,0.3,2.0780412335842704,35,48,0,1,0,34,0,0.011352877223637136,0.03796251016128811,1.235865566946333e-10,0.7236740107648859,-0.002839821193588568,0.6029046356782647,0.20710936325820176,0.00013307993858296951
0.0,0.0,514758,-0.45,0.3,3.371122675498998,35,48,0,1,0,34,0,0.011759522423722147,0.03752433800088441,1.235868067846987e-10,0.7244815745343951,-0.005263757986965506,0.6021420109161939,0.1834651228825101,1.6471323348437688e-05
0.0,0.0,522677,-0.45,0.3,2.9447155619734433,35,51,0,1,0,33,0,0.010759629161798597,0.039698843286901354,1.6377322974006856e-10,0.7705019051264477,0.002361158318909281,0.6085910948361621,0.13148513985000496,1.8149398615108225e-06
0.0,0.0,530596,-0.45,0.3,3.1943039119397434,35,49,0,1,0,34,0,0.011282794513201683,0.039279975115658936,1.2358689165213165e-10,0.7414777824985634,0.002510389310583438,0.608011990892066,0.23885735749279266,0.0006190411406517271
0.0,0.0,538515,-0.45,0.3,4.364124084645424,35,50,0,1,0,34,0,0.009366480542796094,0.03967694762296346,1.2358674740623884e-10,0.7446260632601918,0.0018226155916462653,0.6104364195801607,0.2221820538883643,0.0001887652409890197
0.0,0.0,546434,-0.45,0.3,0.8625602202085586,35,125,1,1,1,34,0,0.0048198663787627875,0.020904452092662024,5.868372309151194e-10,1.6780586441023033,-0.005589723466957994,-0.4410311638017852,0.057802216507571336,1.015361570206689e-05
0.0,0.0,554353,-0.45,0.3,2.8157682855897397,35,144,1,1,1,33,0,0.010685205483638247,0.053710783546198244,7.368508538928149e-10,2.002560706070589,0.006313957563200264,-0.44226600995813614,0.0337195339998338,1.289858754388353e-05
0.0,0.0,562272,-0.45,0.3,4.494742950942396,35,48,0,1,0,34,0,0.011648659501428377,0.03928649723907142,1.2358685069215192e-10,0.7283739943330579,-4.133702570072867e-05,0.6004543155001943,0.23595492575442434,0.0004615974682482769
0.0,0.0,570191,-0.45,0.3,4.681452025292076,35,101,0,1,0,34,0,0.019399687323849564,0.04813214659619258,3.3080103941945033e-10,1.6179019127216963,-0.00505249682763126,0.6090020484964346,0.1271577020813844,6.604576898239234e-05
0.0,0.0,578110,-0.45,0.3,0.8630563513798193,35,125,1,1,1,34,0,0.004825289664849713,0.020899161285977266,5.868154832959601e-10,1.6781218798542088,-0.0055970044477686885,-0.4410748097141743,0.056963959686305674,1.0310027650914608e-05
0.0,0.0,586029,-0.45,0.3,4.501694006176301,35,48,0,1,0,34,0,0.011599654427858942,0.03918777605173342,1.2358667185367216e-10,0.7276968202509713,-0.0002655929291898185,0.6008898984525798,0.2348688509661596,0.0004359902347801728
0.0,0.0,593948,-0.45,0.3,5.5147847542471045,35,51,0,1,0,33,0,0.010033801736688953,0.039692681300734875,1.6377332959742072e-10,0.7581577015159935,0.0027667815702727577,0.6084144070177279,0.17088235544700134,0.0010164438788638694
0.0,0.0,601867,-0.45,0.3,3.256440928950516,35,48,0,1,0,34,0,0.011546714635139673,0.03902592736197743,1.235863180258398e-10,0.72673351164248,-0.000697588804709999,0.6015045308346205,0.2328224272970335,0.0003949539836146376
0.0,0.0,609786,-0.45,0.3,2.2786973375437807,35,56,0,1,0,34,0,0.01380633655637805,0.03115943222438029,1.6377417053171977e-10,0.8650356941534013,-0.0038215881565294083,0.6075010221664566,0.1610716184294939,0.0007476663131926742
0.0,0.0,617705,-0.45,0.3,4.610635392266623,35,48,0,1,0,34,0,0.011387415230974375,0.03772528685059275,1.2358633891790757e-10,0.7235407506148726,-0.0033896517270725576,0.6029915766570056,0.1980594405949607,0.00012682623152798778
0.0,0.0,625624,-0.45,0.3,3.160126282234852,35,49,0,1,0,34,0,0.010388980892401577,0.03971772260485416,1.2358699426703688e-10,0.7325703759033516,-0.0013485173886634237,0.602835818402556,0.23561087550320275,0.0002412199547986299
0.0,0.0,886951,-0.45,0.3,5.290869046166737,35,52,0,1,0,33,0,0.03849602305272732,0.08071143772915909,1.6377419963195388e-10,0.7967231684964435,-0.08304709128413111,0.60251776476925,0.13392585327274448,0.0003010030563235233
0.0,0.0,894870,-0.45,0.3,2.1194846266774654,35,125,1,1,1,34,0,0.004823201550007177,0.02090141648034994,5.871446627952275e-10,1.6781105882382856,-0.0055939817823047674,-0.441080330483064,0.05685879020513642,1.0369353015645308e-05
0.0,0.0,902789,-0.45,0.3,3.4770974660679825,35,63,0,1,0,34,0,0.015596030612864398,0.0299712002039966,1.9332468968347607e-10,0.9834583859476806,-0.001524765714627822,0.605980442412993,0.1408619839965121,1.1603716481733972e-05
0.0,0.0,910708,-0.45,0.3,4.535455500423216,35,48,0,1,0,34,0,0.011527353192520882,0.0387095344899113,1.235868968737382e-10,0.7251783365675314,-0.0015400685951847924,0.6024105832513907,0.2281445571632584,0.00032048413997425723
0.0,0.0,918627,-0.45,0.3,1.7892086351924552,35,50,0,1,0,33,0,0.010416242680338072,0.04013389485845966,1.2358742058899865e-10,0.7454071230487096,0.003121978833826104,0.6062140739293093,0.19588820779281357,0.0009691205460995306
0.0,0.0,926546,-0.45,0.3,5.149241672195536,35,119,1,1,1,33,0,0.0031108910675362515,0.010423956112852122,5.073815930465641e-10,1.576720182432206,0.003876015967515548,-0.44267673839628935,0.02534625236966684,1.1643359929175423e-05
0.0,0.0,934465,-0.45,0.3,6.116462561282664,35,55,0,1,0,34,0,0.011252689788622884,0.03161713805282604,1.6377296943888957e-10,0.8410603778226635,-0.002877323508171293,0.6015487336989381,0.12427003475354709,0.00012709852220327278
0.0,0.0,942384,-0.45,0.3,0.011170457192651417,35,126,1,1,1,33,0,0.0017769020916477134,0.009902079425325705,5.60161640251086e-10,1.6833231502640058,0.00039139482128815645,-0.45092604597153274,0.09753182942322886,1.6382137507653383e-08
0.0,0.0,950303,-0.45,0.3,6.159754114751474,35,118,1,1,1,33,0,0.0027723131685468204,0.005337063110156236,5.072689092655862e-10,1.5575658280159193,-0.003963051617265789,-0.4489661899643059,0.09557008245490385,2.9477929946684447e-06
0.0,0.0,958222,-0.45,0.3,5.463850493965382,35,51,0,1,0,33,0,0.01070513828968341,0.03970873821798914,1.6377307901666453e-10,0.7705091441262931,0.0022622628222858953,0.60884947041347,0.13592424719304194,3.850684797747824e-05
0.0,0.0,966141,-0.45,0.3,5.518027611366659,35,51,0,1,0,33,0,0.009972044541094925,0.03968533298819116,1.6377351787656428e-10,0.757895139914707,0.00271929471071871,0.6084036049879812,0.17288279215140467,0.0010179758740442926
0.0,0.0,974060,-0.45,0.3,3.9005224922270267,35,119,1,1,1,33,0,0.003196516393852991,0.010418538022031463,5.074343962267272e-10,1.5761932648675552,0.004078861558510967,-0.4422632331801382,0.033282163168756755,8.672937330081685e-06
0.0,0.0,981979,-0.45,0.3,4.06885255421079,35,56,0,1,0,33,0,0.01691427618829222,0.03591522529561986,1.5060020870772443e-10,0.864233775471392,0.006459045061632573,0.6111919910396543,0.18642393895482276,0.0001519812388057762
0.0,0.0,989898,-0.45,0.3,4.190559250602327,35,51,0,1,0,33,0,0.010863986373614846,0.03967443724040079,1.637745083096682e-10,0.7704969974984341,0.002522291034379308,0.608101221463316,0.12309607846178568,0.00024139681793861056
