# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:55:06.849172+00:00
# trials_per_cell: 1000
# variant: relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path,min_dist_network
0.0,0.0,886957,-0.2,-0.3,3.386187041667776,-1,123,0,0,0,-1,0,0.9710721350698635,0.9959857913937299,5.349736442759115e-10,1.8152245678329018,-0.9626899578011736,-0.6071548365446438,0.028814940965783013,7.773418081019612e-05
0.0,0.0,894876,-0.2,-0.3,5.09576175908755,-1,17,1,0,1,11,0,0.1011567605840582,0.1884683774021007,2.4137993046511957e-11,0.28849956554769274,9.369207583140998e-05,-0.44390231276343367,1.279612351739143,0.012546416270917253
0.0,0.0,902795,-0.2,-0.3,3.4285859730768475,-1,84,0,0,0,-1,0,0.8161845853650385,0.9893055314004495,3.107036923250157e-10,1.1491929601952684,-0.9641988759901974,-0.6085458635680948,0.058228486703315104,4.744703206327472e-06
0.0,0.0,910714,-0.2,-0.3,4.004625914876574,-1,76,0,0,0,-1,0,0.7956245924001385,0.9974223402759421,2.568910848956473e-10,1.046964044783693,-0.9965932436662047,-0.6091303877159121,0.1524962497571448,0.00014959549615112255
0.0,0.0,918633,-0.2,-0.3,3.5883317658079408,-1,92,0,0,0,-1,0,0.8100828948141835,1.0049179218604263,3.7000330653715997e-10,1.2339411933532178,-1.0035765910686454,-0.6007023519782992,0.0718246144026785,1.4962522426553715e-05
0.0,0.0,926552,-0.2,-0.3,0.32913553305312426,-1,84,0,0,0,-1,0,0.8672348069267752,1.0253686559805215,3.1069887930660933e-10,1.1782706422525344,-0.9954942757924267,-0.6044699934817171,0.036218096978720804,3.415076534507566e-06
0.0,0.0,934471,-0.2,-0.3,4.908934525308339,-1,16,1,0,1,12,0,0.11713807182731524,0.19106074123910785,2.4137976065870872e-11,0.27152900397563423,-0.027793730121861593,-0.4554412366067366,1.3045954499709076,0.0399718751926075
0.0,0.0,942390,-0.2,-0.3,0.10583786642930096,-1,17,1,0,1,11,0,0.10049419316653699,0.188271439163023,2.4137976617518398e-11,0.2884995605626284,0.0014046627435900818,-0.440561376758093,1.3314146238743796,0.01130718844874277
0.0,0.0,950309,-0.2,-0.3,4.97551311704208,-1,16,1,0,1,12,0,0.11231154626933093,0.19003997706561074,2.4138017837330128e-11,0.27152900397563423,-0.020125851093562977,-0.4457569507649977,1.3763340320208002,0.032542895173457986
0.0,0.0,958228,-0.2,-0.3,3.8196233280012897,-1,17,1,0,1,11,0,0.10170606189133623,0.18860487609582086,2.4138018449938102e-11,0.2884995663893778,-0.0007966091922875876,-0.4458191756412852,1.2506095908096724,0.013394242349183226
0.0,0.0,966147,-0.2,-0.3,5.682813483487854,243,258,0,1,0,241,0,0.010976273015314387,0.03760841198941367,1.227691280828204e-08,3.38129833756635,0.0024805821864918656,0.6115200159117398,0.04052547408485027,2.206291012774031e-06
0.0,0.0,974066,-0.2,-0.3,1.521723334428491,-1,76,0,0,0,-1,0,0.7942247993583531,0.9968157221638121,2.568889250314535e-10,1.0453232246755815,-0.9959433627955246,-0.6066500164357823,0.15728316248932242,1.7964893243127555e-05
0.0,0.0,981985,-0.2,-0.3,2.323771467064432,-1,90,0,0,0,-1,0,0.8121351336736741,1.0054928203666242,3.106978533177392e-10,1.2110347552459186,-1.0033115869572267,-0.6051931757347281,0.11479789897296729,3.011360873561575e-05
0.0,0.0,989904,-0.2,-0.3,5.982861418157206,-1,111,0,0,0,-1,0,0.9636592409095739,0.9942258348611377,4.4292045107807974e-10,1.6028103634864486,-0.926107922490084,-0.60968115129861,0.038551185480139416,2.0149096828681046e-05
0.0,0.0,997823,-0.2,-0.3,0.8210848620295632,-1,166,0,0,0,-1,0,1.012770457805314,1.071967796926777,1.0003869155188624e-09,2.1663412771467865,-1.1001081362873817,0.5029347170420937,0.04468497230016666,4.648996239864367e-06
