# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:41:51.448245+00:00
# trials_per_cell: 4
# steps: 500
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S1: (-0.45, 0.3)  seed_offset: 23
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path
0.0,0.0,23,-0.45,0.3,4.360110136552218,-1,42,0,0,0,33,0,0.22122772077158473,0.4320846377687908,1.2358677393985187e-10,0.628447288292522,0.004886067103487276,0.526151409202641,0.22078538539392456
0.0,0.0,7942,-0.45,0.3,1.5237490089749581,-1,44,0,0,0,33,0,0.21195954812703752,0.43127186571324155,1.2358675980083592e-10,0.6609448903149381,-0.02187812563474764,0.5268996257514297,0.13420287736801906
0.0,0.0,15861,-0.45,0.3,5.229165286048386,35,120,1,1,1,33,0,0.003813763420021477,0.010773159950255486,5.075835746113549e-10,1.5943788667860836,0.005686550602502986,-0.4507600574955836,0.10081327996334112
0.0,0.0,23780,-0.45,0.3,1.5421185010780873,35,49,0,1,0,33,0,0.01749426417956829,0.039978130259597726,1.197791869704455e-10,0.7457179641624303,-0.020175791709357307,0.5218869492483269,0.1794020822306122
0.0,0.01,10023,-0.45,0.3,4.143542019057805,37,130,1,1,1,34,0,0.020323926061847235,0.05879888660386247,5.603263934933602e-10,1.9463866936240515,0.005444322091281047,-0.44182479267424607,0.06870905139794005
0.0,0.01,17942,-0.45,0.3,3.984590505277241,46,123,1,1,1,42,0,0.01446062881549004,0.035779596928459695,5.602800175201314e-10,1.7558520328333755,0.01142558905117143,-0.45275513918281557,0.14411337896403056
0.0,0.01,25861,-0.45,0.3,6.258707306047454,42,213,0,1,0,40,0,0.19580636544781993,0.7278883969896268,2.256251483814296e-09,3.126980691445783,-0.8008300854307917,-0.5216796759018468,0.06314342360174184
0.0,0.01,33780,-0.45,0.3,0.810844354120994,46,174,0,1,0,36,0,0.11929547492359405,0.31830825386254114,9.43887697009627e-10,2.5978049813319153,0.3796877475972691,-0.523131172305562,0.03079608209655969
0.001,0.0,1000023,-0.45,0.3,1.3863328309965537,-1,36,0,0,0,34,0,0.2600560086770813,0.43642723560576996,8.712673260289854e-11,0.5660839885731414,-0.053187370018613844,0.5208713269168427,1.2641746214900549
0.001,0.0,1007942,-0.45,0.3,1.3692279436178532,35,127,1,1,1,33,0,0.010585999276980203,0.02981177072120179,5.869833557278275e-10,1.868961876627078,0.018285106602550213,-0.4486136903003142,0.05277301011922434
0.001,0.0,1015861,-0.45,0.3,0.7185162236106069,-1,41,0,0,0,34,0,0.22539620438693553,0.43258533441065733,1.2358687954640824e-10,0.6569606587467919,0.01638696771673557,0.5231658615661053,0.2149813883969714
0.001,0.0,1023780,-0.45,0.3,2.7287920673912756,35,46,0,1,0,33,0,0.014768696409867303,0.04127763494052127,1.2358678442254354e-10,0.746357871442267,-0.0034291105313283138,0.5225053651268273,0.09599634271362381
0.001,0.01,1010023,-0.45,0.3,2.4679203082925563,41,207,0,1,0,39,0,0.1872064472441836,0.6645418015350121,1.3348419804743447e-09,3.0114905185584253,-0.7499389186735756,-0.520188793017284,0.03976927797585127
0.001,0.01,1017942,-0.45,0.3,5.272862995561765,48,203,0,1,0,35,0,0.1669733425822858,0.6213159196552552,1.616969125024145e-09,2.9328799686048073,0.7000444591246842,-0.5215591590952872,0.10315178623768113
0.001,0.01,1025861,-0.45,0.3,2.0971989330643135,53,252,0,1,0,51,0,0.319263306224648,0.9448966738105415,5.603549668673861e-09,3.6980312984443993,-1.0078034909209908,-0.365921940093865,0.06952466675450335
0.001,0.01,1033780,-0.45,0.3,3.0184060076222843,37,151,0,1,0,34,0,0.04352186715448646,0.1534841299128204,8.743018334660002e-10,2.2445293566936417,0.1715110731700377,-0.5206176698113255,0.23061125420325815
0.005,0.0,5000023,-0.45,0.3,1.805953806040293,46,138,1,1,1,38,0,0.013161225889503421,0.03283871349211865,6.747710161083439e-10,2.143574235938879,0.024939149990512333,-0.4477200709813067,0.1503555636601252
0.005,0.0,5007942,-0.45,0.3,6.264181197305236,38,135,1,1,1,36,0,0.012936892639600638,0.02494142928414715,6.453924857168489e-10,2.090432894028184,-0.0047007883909564495,-0.4489545747860105,0.3155336782213829
0.005,0.0,5015861,-0.45,0.3,1.8004379383951772,-1,48,0,0,0,38,0,0.21551721537906673,0.42989522813071546,1.2358694226448512e-10,0.7705656913892891,0.014700306563654298,0.5233274639699239,0.1100791265646132
0.005,0.0,5023780,-0.45,0.3,5.023475422606579,39,159,0,1,0,37,0,0.03199845799753092,0.11744958654406702,8.785806240278149e-10,2.425794210868129,0.13700945071616502,-0.5202366395886036,0.3915333672569825
0.005,0.01,5010023,-0.45,0.3,6.149879111487405,62,194,0,1,0,59,0,0.06367926471987236,0.23671240131905746,1.1053345397303355e-09,2.8469173727258013,-0.26522473494024523,-0.522255713729883,0.25677520195796866
0.005,0.01,5017942,-0.45,0.3,4.830338917920094,51,197,0,1,0,46,0,0.14176512678841746,0.5413950892943484,1.4310468482119618e-09,2.873363258598321,-0.6249628665895341,-0.5223894931375259,0.13222879848033747
0.005,0.01,5025861,-0.45,0.3,1.3806329685541672,48,106,1,1,1,36,0,0.009791612478577384,0.02834313478183166,4.353713261903783e-10,1.560478762630866,-0.0033887998990238207,-0.4485337307159601,0.16942793742034137
0.005,0.01,5033780,-0.45,0.3,1.8588690106988028,46,120,0,1,0,44,0,0.03822914826359143,0.15382668545029463,4.835208701188345e-10,1.7036980731776574,0.17589177369698147,-0.5210370996799764,0.05391828656419146
0.01,0.0,10000023,-0.45,0.3,5.169685815086878,54,253,0,1,0,51,0,0.3188102617574743,0.8660668546716325,6.914687557355321e-09,3.638420686360708,-0.9502056045944287,-0.5202948702110909,0.10546655261499674
0.01,0.0,10007942,-0.45,0.3,0.4725107591535201,49,314,0,1,0,47,0,0.3508691501299074,0.9673373182305889,3.102410513667581e-07,4.5665055157717065,-1.004037622100234,-0.1413247438158631,0.1906422037022044
0.01,0.0,10015861,-0.45,0.3,3.6459551569933164,71,151,1,1,1,62,0,0.017069882426833813,0.039567479386079234,7.760177851607727e-10,2.17676525241132,0.011592485156153487,-0.4433390741793817,0.21716097791250968
0.01,0.0,10023780,-0.45,0.3,5.602161922762141,44,176,0,1,0,41,0,0.06324590570284022,0.21444076380317456,9.020412841184376e-10,2.5441013474087955,0.25251486089785424,-0.5270297161031563,0.14006310237638664
0.01,0.01,10010023,-0.45,0.3,0.8027735811719217,42,143,1,1,1,40,0,0.017039961518483783,0.04452342419251712,6.864477318626342e-10,2.0407383300533146,0.0028905065311939926,-0.44334783251005305,0.26670519760106165
0.01,0.01,10017942,-0.45,0.3,4.2731116438969865,78,121,1,1,1,67,0,0.018923526057766153,0.04398209818811576,5.349494131663336e-10,1.792498161351512,0.04413569494668563,-0.46015223878302197,1.0038120214763586
0.01,0.01,10025861,-0.45,0.3,3.135239419939023,51,240,0,1,0,49,0,0.2762336291641988,0.8658081178329556,6.889964724668015e-09,3.4149624141853607,0.9569509149572899,-0.5267277682658177,0.505685005959877
0.01,0.01,10033780,-0.45,0.3,5.505313819270283,48,200,0,1,0,45,0,0.17559551091405506,0.5858120987131366,1.3858671403140823e-09,2.746182835985972,-0.6545185080747903,-0.521194339688016,0.3267106537668997
0.02,0.0,20000023,-0.45,0.3,2.390531833990564,-1,272,0,0,0,75,0,0.9092390139879017,0.991273010150101,4.3186620919710504e-08,3.701662975631449,-1.001809239419778,-0.15532107850734048,1.431871086567152
0.02,0.0,20007942,-0.45,0.3,4.471550315161971,-1,157,0,0,0,60,0,0.3221944222154913,0.45098663196305755,8.799032699441694e-10,2.1496014301334974,-0.4635206384551984,-0.5210944069384905,0.8287298973885926
0.02,0.0,20015861,-0.45,0.3,3.1033908077522434,-1,287,0,0,0,-1,0,0.9684896837204393,0.9906214136417871,4.960588217887749e-08,3.942935882542744,-1.001919109109101,0.11916514356553269,0.9175568100204143
0.02,0.0,20023780,-0.45,0.3,1.190817395091261,-1,225,0,0,0,-1,0,0.8414021973012118,0.9923077969785404,1.9757909672548885e-09,3.0805724984293197,-1.003791003773298,-0.38623621676910286,0.6882834370606796
0.02,0.01,20010023,-0.45,0.3,5.13519330012004,-1,268,0,0,0,-1,0,0.9525707445666726,0.9875817873777537,5.47853022630029e-09,3.7028568341455843,-1.0027955155323052,0.18302989433036368,0.6215109683843545
0.02,0.01,20017942,-0.45,0.3,5.2703431929508255,48,181,0,1,0,44,0,0.1358346750964537,0.4336052560970229,1.2241324425838933e-09,2.4242761843058918,-0.48907655266873684,-0.5285687977032781,0.48999386884093254
0.02,0.01,20025861,-0.45,0.3,4.5876320689431695,-1,397,0,0,0,82,0,0.39103505454756615,0.5729542728418419,0.001508731677061667,5.41338990941931,-0.1638841100738503,0.5259479254895264,0.5560253693436674
0.02,0.01,20033780,-0.45,0.3,0.21914041311309973,68,160,0,1,0,58,0,0.17573125029720185,0.4277980854752456,7.815105155165027e-10,2.1828459100730657,0.4714009090516849,-0.5219821076896815,0.8224189012843406
0.05,0.0,50000023,-0.45,0.3,5.378050264236334,-1,211,0,0,0,-1,0,0.8035612734018259,0.9784555453202948,1.7572064632379988e-09,2.7632338070502938,-1.0014991078339843,-0.3710577789323879,1.287127601694602
0.05,0.0,50007942,-0.45,0.3,1.5372893373802512,-1,261,0,0,0,-1,0,0.8102801896096317,0.9209799588964054,2.4862576131233028e-08,3.4752423756285897,-0.671804688156611,0.5233260284267034,0.5318828704867801
0.05,0.0,50015861,-0.45,0.3,1.64753951160028,-1,165,0,0,0,72,0,0.24100641666657263,0.37294166261152634,9.552689613082493e-10,2.1130162676533857,-0.3897802346209491,-0.5257715938914388,1.814621053218956
0.05,0.0,50023780,-0.45,0.3,3.1177834645304943,78,137,0,1,0,72,0,0.08906459785039758,0.1601007051148787,6.743041492425285e-10,1.7375732636305183,-0.1777378771443683,-0.5206899242355348,1.619726399359585
0.05,0.01,50010023,-0.45,0.3,6.03052063800066,-1,147,0,0,0,48,0,0.11700567921579598,0.2522908338970001,7.384875144033063e-10,1.8157297496536264,-0.2692867228269317,-0.5234035132038848,1.7292972188001536
0.05,0.01,50017942,-0.45,0.3,0.8657031948662159,-1,244,0,0,0,-1,0,0.8934516822358212,0.9946038529869536,1.507482768996658e-08,3.0681490902378257,-1.0007720353674734,-0.3565149687337763,0.16658810278538555
0.05,0.01,50025861,-0.45,0.3,5.481179773921427,-1,295,0,0,0,-1,0,0.8512006106543129,0.9185319053911295,1.144317827163184e-07,3.762749516179949,-0.7183519507517783,0.520299297364725,1.7036123644709962
0.05,0.01,50033780,-0.45,0.3,0.84119231953975,398,500,0,0,0,396,1,0.07017475148330879,0.2192993691573443,0.8372108952788785,6.653158542518452,0.2208699036333103,-0.1310779356023587,0.5032689195707802
0.1,0.0,100000023,-0.45,0.3,1.5430765485742852,349,500,0,0,0,344,1,0.04154866291375632,0.06939422886569305,0.8967338854441628,6.560408057977142,0.02773544077010052,-0.1693934512166484,0.5392316877386676
0.1,0.0,100007942,-0.45,0.3,0.6752518634602754,-1,500,0,0,0,436,1,0.23824375725832173,0.4024470976667057,1.52473961593006,6.399356978414977,-0.4185983308213194,-0.473413511076565,1.325911605056851
0.1,0.0,100015861,-0.45,0.3,4.983613921658242,-1,263,0,0,0,-1,0,0.9533575847502719,0.9967368294931634,5.758266132548999e-09,3.359035077851916,-1.0033129647429158,0.46135557888788753,0.8204303106467223
0.1,0.0,100023780,-0.45,0.3,5.014709722145318,-1,356,0,0,0,-1,0,0.6770150133927366,0.7962632062630233,1.6619459100301664e-05,4.437475779446084,-0.5374389237709621,0.5204397517950806,0.816774007298078
0.1,0.01,100010023,-0.45,0.3,4.936559735553128,-1,327,0,0,0,-1,0,0.7993484106813612,0.9138430279332589,1.0279996085766774e-06,4.111537459671487,-0.6191157547350729,0.5202473602480651,0.9964739524173291
0.1,0.01,100017942,-0.45,0.3,4.808835229227487,387,500,0,0,0,385,1,0.02109240975342199,0.07263397731606948,1.1153213508038753,6.414128790033499,0.11902384055694974,-0.18159333440854933,0.20677054740508158
0.1,0.01,100025861,-0.45,0.3,5.446782227888665,-1,238,0,0,0,-1,0,0.9191752744047093,0.9837739302805952,9.067033631665892e-09,3.036973719997093,-1.0008349287125287,0.014767349923812581,0.18349392152559502
0.1,0.01,100033780,-0.45,0.3,2.2174319291407567,369,500,0,1,0,368,0,0.021161986753045404,0.04822330277037265,0.05340094361680435,6.2734480432368604,0.03870045447080809,-0.2341128826770161,0.8409011602971767
