time_s,x_m,y_m
0.000000,-0.163725,-0.295377
0.100000,-0.163725,-0.295377
0.200000,-0.170086,-0.293239
0.300000,-0.184834,-0.287070
0.400000,-0.200014,-0.280502
0.500000,-0.210987,-0.274672
0.600000,-0.224113,-0.268042
0.700000,-0.235854,-0.260783
0.800000,-0.248208,-0.253536
0.900000,-0.256720,-0.246922
1.000000,-0.264917,-0.239306
1.100000,-0.275062,-0.229662
1.200000,-0.285112,-0.218914
1.300000,-0.293807,-0.208070
1.400000,-0.302841,-0.198620
1.500000,-0.312588,-0.188868
1.600000,-0.324969,-0.176193
1.700000,-0.333211,-0.166787
1.800000,-0.341399,-0.156679
1.900000,-0.350772,-0.144292
2.000000,-0.359051,-0.132509
2.100000,-0.363945,-0.120665
2.200000,-0.369606,-0.106035
2.300000,-0.373382,-0.093469
2.400000,-0.378332,-0.078910
2.500000,-0.380718,-0.065795
2.600000,-0.382975,-0.054291
2.700000,-0.383178,-0.045710
2.800000,-0.382766,-0.030704
2.900000,-0.381349,-0.017002
3.000000,-0.378119,-0.005246
3.100000,-0.375492,0.003606
3.200000,-0.372341,0.015551
3.300000,-0.368408,0.028899
3.400000,-0.363942,0.036636
3.500000,-0.359293,0.048456
3.600000,-0.352601,0.061858
3.700000,-0.347027,0.073242
3.800000,-0.345082,0.078244
3.900000,-0.341385,0.089458
4.000000,-0.336884,0.104380
4.100000,-0.330722,0.116195
4.200000,-0.325643,0.129160
4.300000,-0.320566,0.143908
4.400000,-0.317352,0.154473
4.500000,-0.313582,0.167035
4.600000,-0.306826,0.181633
4.700000,-0.300010,0.192108
4.800000,-0.292803,0.204958
4.900000,-0.286494,0.215600
5.000000,-0.284635,0.218547
5.100000,-0.282286,0.223389
5.200000,-0.277169,0.236685
5.300000,-0.271526,0.248261
5.400000,-0.263711,0.260182
5.500000,-0.255262,0.273439
5.600000,-0.246571,0.282581
5.700000,-0.234819,0.290944
5.800000,-0.218817,0.296031
5.900000,-0.203856,0.296331
6.000000,-0.192383,0.300692
6.100000,-0.183565,0.303012
6.200000,-0.170858,0.305999
6.300000,-0.156122,0.310293
6.400000,-0.141585,0.315485
6.500000,-0.128965,0.319795
6.600000,-0.115576,0.325531
6.700000,-0.101382,0.331470
6.800000,-0.089626,0.336618
6.900000,-0.075868,0.341232
7.000000,-0.060185,0.344116
7.100000,-0.046967,0.343229
7.200000,-0.032338,0.340098
7.300000,-0.016770,0.339658
7.400000,-0.003886,0.339245
7.500000,0.010458,0.340994
7.600000,0.025608,0.339413
7.700000,0.037858,0.334866
7.800000,0.050962,0.324702
7.900000,0.065621,0.313376
8.000000,0.077484,0.304306
8.100000,0.091016,0.289448
8.200000,0.105295,0.282342
8.300000,0.118428,0.287443
8.400000,0.132219,0.284304
8.500000,0.148516,0.280539
8.600000,0.160654,0.277852
8.700000,0.173936,0.272669
8.800000,0.188594,0.266570
8.900000,0.199967,0.261085
9.000000,0.212656,0.254523
9.100000,0.227410,0.248487
9.200000,0.237201,0.242044
9.300000,0.245213,0.238115
9.400000,0.258628,0.230595
9.500000,0.270602,0.223618
9.600000,0.282456,0.215068
9.700000,0.295080,0.206253
9.800000,0.306014,0.199150
9.900000,0.316158,0.189273
10.000000,0.327816,0.178865
10.100000,0.337212,0.169854
10.200000,0.347428,0.159501
10.300000,0.357557,0.147731
10.400000,0.365314,0.137025
10.500000,0.373777,0.125804
10.600000,0.382477,0.112537
10.700000,0.386709,0.100647
10.800000,0.392304,0.087642
10.900000,0.398408,0.073511
11.000000,0.403512,0.061651
11.100000,0.410110,0.049314
11.200000,0.414985,0.033903
11.300000,0.416816,0.021011
11.400000,0.419763,0.006499
11.500000,0.419911,-0.008740
11.600000,0.419343,-0.023767
11.700000,0.420716,-0.037795
11.800000,0.422313,-0.052407
11.900000,0.423474,-0.067019
12.000000,0.424006,-0.081652
12.100000,0.422426,-0.096273
12.200000,0.419980,-0.110384
12.300000,0.416850,-0.124026
12.400000,0.415188,-0.139576
12.500000,0.412449,-0.152079
12.600000,0.409637,-0.166270
12.700000,0.406195,-0.180129
12.800000,0.401914,-0.194105
12.900000,0.396664,-0.207590
13.000000,0.391213,-0.221234
13.100000,0.385554,-0.234214
13.200000,0.379848,-0.247211
13.300000,0.372934,-0.259633
13.400000,0.364303,-0.271383
13.500000,0.355034,-0.282274
13.600000,0.345639,-0.293275
13.700000,0.335628,-0.303759
13.800000,0.325377,-0.314337
13.900000,0.313482,-0.322793
14.000000,0.302050,-0.330883
14.100000,0.290271,-0.339619
14.200000,0.278171,-0.347524
14.300000,0.266742,-0.355772
14.400000,0.254804,-0.363782
14.500000,0.242865,-0.370799
14.600000,0.229970,-0.377933
14.700000,0.217844,-0.384659
14.800000,0.205135,-0.391268
14.900000,0.193236,-0.398690
15.000000,0.179819,-0.403982
15.100000,0.165987,-0.408112
15.200000,0.152575,-0.412229
15.300000,0.139161,-0.415897
15.400000,0.124678,-0.418074
15.500000,0.110675,-0.418989
15.600000,0.095906,-0.419304
15.700000,0.081427,-0.418760
15.800000,0.067188,-0.417162
15.900000,0.052841,-0.415384
16.000000,0.038205,-0.411077
16.100000,0.024539,-0.408537
