0.05,0.95,793,263,249,1247
0.15,0.95,954,775,396,2128
0.25,0.95,512,709,355,1586
0.35,0.95,242,462,283,986
0.45,0.95,330,680,653,1656
0.55,0.95,327,721,953,1980
0.65,0.95,147,353,566,1048
0.75,0.95,283,337,476,1077
0.85,0.95,739,495,612,1804
0.95,0.95,797,289,352,1375
0.05,0.85,829,337,304,1419
0.15,0.85,676,553,283,1510
0.25,0.85,317,414,226,957
0.35,0.85,245,462,431,1130
0.45,0.85,262,504,502,1259
0.55,0.85,249,498,643,1372
0.65,0.85,266,301,411,961
0.75,0.85,687,467,575,1693
0.85,0.85,819,332,393,1485
0.95,0.85,884,360,428,1607
0.05,0.75,971,471,413,1804
0.15,0.75,1199,1057,566,2832
0.25,0.75,542,698,391,1637
0.35,0.75,296,532,361,1188
0.45,0.75,325,619,614,1548
0.55,0.75,350,698,886,1916
0.65,0.75,221,437,639,1278
0.75,0.75,412,461,611,1462
0.85,0.75,759,416,491,1616
0.95,0.75,908,417,480,1744
0.05,0.65,984,544,483,1965
0.15,0.65,1190,1088,631,2919
0.25,0.65,711,931,544,2200
0.35,0.65,359,632,445,1435
0.45,0.65,380,702,701,1774
0.55,0.65,463,890,1100,2434
0.65,0.65,292,522,717,1511
0.75,0.65,514,577,736,1802
0.85,0.65,836,606,722,2123
0.95,0.65,915,476,529,1865
0.05,0.55,937,596,530,2026
0.15,0.55,1170,1112,704,2997
0.25,0.55,759,985,619,2379
0.35,0.55,457,757,552,1769
0.45,0.55,482,868,866,2211
0.55,0.55,531,941,1119,2575
0.65,0.55,381,623,801,1786
0.75,0.55,614,708,860,2160
0.85,0.55,874,677,785,2298
0.95,0.55,935,557,600,2043
0.05,0.45,1027,769,674,2441
0.15,0.45,986,960,653,2604
0.25,0.45,807,1032,687,2538
0.35,0.45,474,733,570,1778
0.45,0.45,529,859,903,2282
0.55,0.45,461,703,805,1952
0.65,0.45,519,666,790,1956
0.75,0.45,796,675,753,2194
0.85,0.45,871,700,770,2305
0.95,0.45,967,656,683,2265
0.05,0.35,1066,894,784,2722
0.15,0.35,1100,1128,836,3068
0.25,0.35,926,1158,853,2949
0.35,0.35,669,1001,816,2489
0.45,0.35,688,1075,1066,2824
0.55,0.35,652,984,1082,2704
0.65,0.35,664,935,1067,2649
0.75,0.35,724,824,918,2445
0.85,0.35,1005,913,974,2862
0.95,0.35,1093,872,869,2801
0.05,0.25,,,,
0.15,0.25,,,,
0.25,0.25,,,,
0.35,0.25,,,,
0.45,0.25,,,,
0.55,0.25,,,,
0.65,0.25,,,,
0.75,0.25,,,,
0.85,0.25,,,,
0.95,0.25,,,,
0.05,0.15,,,,
0.15,0.15,,,,
0.25,0.15,,,,
0.35,0.15,,,,
0.45,0.15,,,,
0.55,0.15,,,,
0.65,0.15,,,,
0.75,0.15,,,,
0.85,0.15,,,,
0.95,0.15,,,,
0.05,0.05,,,,
0.15,0.05,,,,
0.25,0.05,,,,
0.35,0.05,,,,
0.45,0.05,,,,
0.55,0.05,,,,
0.65,0.05,,,,
0.75,0.05,,,,
0.85,0.05,,,,
0.95,0.05,,,,
