environment,primitive,field_mode,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
vortex1,3R_orbiter_plane,analytical,0.1,0.20626264764392568,0.0274894492347845,0.2062626476550026,0.02748944920789803,-1.6203955309430542e-11,2.937849122808326e-10,-1.601646766085242e-11,3.0269947500624804e-10
vortex1,3R_orbiter_plane,analytical,0.2,0.27486713485593856,0.016201948827182063,0.2748671349153978,0.01620194883055209,-4.900520680641949e-12,5.818330420788776e-11,1.8036655082813205e-12,5.532130522480049e-11
vortex1,3R_orbiter_plane,analytical,0.3,0.36099331751986546,0.018556557384837604,0.3609933176010834,0.018556557364854006,1.230712908373581e-11,6.274263209861357e-11,-7.122185507684519e-13,1.178105692710031e-10
vortex1,3R_orbiter_plane,analytical,0.4,0.4453414371929021,0.011546152928583887,0.4453414373064172,0.011546152918074539,8.455339255220604e-12,7.500531462533747e-11,-2.871305386006064e-11,4.5121288626160177e-10
vortex1,3R_orbiter_plane,analytical,0.5,0.5372696772767498,0.009534362417114266,0.5372696773658409,0.009534362419706467,1.475561347767658e-11,1.3799299319426928e-10,1.0145627151990828e-11,7.727465164956422e-11
vortex1,3R_orbiter_plane,analytical,0.6,0.6369118048009863,0.01985575365610834,0.6369118049000324,0.019855753647386322,2.6036290145675397e-11,1.5965528988404055e-10,-1.5805633255033834e-12,8.067910753903908e-11
vortex1,3R_orbiter_plane,nn,0.1,0.207497951371589,0.029947520010946922,0.21054945263529465,0.050884493369726114,0.009787021836277327,0.026978391586123703,-0.0054144511064457244,0.03917093779971494
vortex1,3R_orbiter_plane,nn,0.2,0.2911154116022876,0.034255629007142886,0.27938135988600443,0.08262943674302053,0.017019921827325025,0.09688203315935533,-0.01366723291337421,0.042704493815270105
vortex1,3R_orbiter_plane,nn,0.3,0.38497081473084477,0.027937142768911086,0.366420750878541,0.10531349688312965,0.01898663864817577,0.10153189355565183,-0.013126037911102244,0.04643891503593083
vortex1,3R_orbiter_plane,nn,0.4,0.4600450173397484,0.030523070642961867,0.47255229873951976,0.24535065523973099,0.02027155138696132,0.17190864473812448,-0.008934976417558612,0.20689781746649757
vortex1,3R_orbiter_plane,nn,0.5,0.5173530742765078,0.03877882013108808,0.5427724988392608,0.11418531158308394,0.03259968762151786,0.06036456842849327,-0.00024847060833804133,0.09766144438164634
vortex1,3R_orbiter_plane,nn,0.6,0.571749166280388,0.04861559353074384,0.6522316827191571,0.12356371484693024,0.05111021335433655,0.09792565507421869,-0.013110639106505421,0.20847832622241047
vortex1,3R_orbiter_plane,rbf,0.1,0.21021079393094025,0.03963300192532829,0.21355843509211586,0.05893438727591869,0.021711331922043497,0.04572530779144506,-0.00911242553977096,0.04758339028088205
vortex1,3R_orbiter_plane,rbf,0.2,0.28027827826072527,0.03727013034415624,0.3323883686910907,0.6477290258814778,0.031462697086196444,0.2156545757064971,-0.05204128303234928,0.6253581289180372
vortex1,3R_orbiter_plane,rbf,0.3,0.3494025918082982,0.03328657261877554,0.7522998031715472,5.796934514860465,0.2073376113659518,2.867970262964369,0.3075386145955228,5.043939492654766
vortex1,3R_orbiter_plane,rbf,0.4,0.45822596111827,0.0481329686574777,0.5431411006427518,0.634605404177083,0.02115863408418199,0.259452512318021,-0.01344200428892025,0.6169224861564974
vortex1,3R_orbiter_plane,rbf,0.5,0.5446994289162062,0.06099467146975116,0.6149883598639382,0.37841328355134957,0.06961011798932025,0.28114091652099943,-0.00956029062008877,0.3406324518251025
vortex1,3R_orbiter_plane,rbf,0.6,0.7321529089581443,0.16687566674730958,8.098148918869603,31.691348978421036,-1.8115249032656617,22.052063589395118,2.4915805726055424,24.035385436532607
vortex1,4R_orbiter_planar,analytical,0.1,0.20227045240991334,0.02018501652035258,0.2022704524747607,0.020185016538640216,6.0082579835341804e-12,5.137782270785643e-11,9.846933163633658e-12,5.326269364405799e-11
vortex1,4R_orbiter_planar,analytical,0.2,0.27531677149474204,0.01594377504489103,0.2753167715784198,0.01594377504666903,1.0759885192241322e-11,6.144964918638243e-11,2.3743266174196515e-12,6.03755995895413e-11
vortex1,4R_orbiter_planar,analytical,0.3,0.3580206495270286,0.012693104553129822,0.35802064961728264,0.012693104552351658,1.2147270163085882e-11,6.287847111930596e-11,6.604818830938267e-12,6.544790510713313e-11
