Time(s),Radius(m)
0.000000,0.452595
1.000000,0.452595
2.000000,0.456887
3.000000,0.470474
4.000000,0.478595
5.000000,0.482378
6.000000,0.489216
7.000000,0.495143
8.000000,0.498931
9.000000,0.501569
10.000000,0.500683
11.000000,0.498790
12.000000,0.497419
13.000000,0.500469
14.000000,0.498308
15.000000,0.493426
16.000000,0.489065
17.000000,0.485531
18.000000,0.480245
19.000000,0.473644
20.000000,0.467948
21.000000,0.459631
22.000000,0.450863
23.000000,0.437653
24.000000,0.417316
25.000000,0.404570
26.000000,0.387083
27.000000,0.361558
28.000000,0.359396
29.000000,0.359048
30.000000,0.358460
31.000000,0.358648
32.000000,0.360316
33.000000,0.363091
34.000000,0.365487
35.000000,0.368333
36.000000,0.371983
37.000000,0.374105
38.000000,0.375934
39.000000,0.376880
40.000000,0.377300
41.000000,0.375846
42.000000,0.376764
43.000000,0.376865
44.000000,0.379120
45.000000,0.381389
46.000000,0.384535
47.000000,0.387517
48.000000,0.392086
49.000000,0.396673
50.000000,0.402605
51.000000,0.408046
52.000000,0.414776
53.000000,0.421432
54.000000,0.426027
55.000000,0.430173
56.000000,0.438238
57.000000,0.446354
58.000000,0.455177
59.000000,0.464768
60.000000,0.474211
61.000000,0.484125
62.000000,0.493452
63.000000,0.502729
64.000000,0.512138
65.000000,0.519489
66.000000,0.522835
67.000000,0.530845
68.000000,0.538320
69.000000,0.547097
70.000000,0.556414
71.000000,0.565467
72.000000,0.572735
73.000000,0.580952
74.000000,0.588654
75.000000,0.597063
76.000000,0.602951
77.000000,0.608813
78.000000,0.613898
79.000000,0.620379
80.000000,0.626708
81.000000,0.629530
82.000000,0.630495
83.000000,0.630915
84.000000,0.632644
85.000000,0.634328
86.000000,0.633893
87.000000,0.631224
88.000000,0.631872
89.000000,0.632441
90.000000,0.634596
91.000000,0.634347
92.000000,0.635867
93.000000,0.636623
94.000000,0.636836
95.000000,0.635661
96.000000,0.635130
97.000000,0.637740
98.000000,0.638106
99.000000,0.634419
100.000000,0.630961
101.000000,0.632348
102.000000,0.636794
103.000000,0.635651
104.000000,0.636275
105.000000,0.637231
106.000000,0.638804
107.000000,0.639801
108.000000,0.637280
109.000000,0.631998
110.000000,0.622508
111.000000,0.605148
112.000000,0.602302
113.000000,0.596806
114.000000,0.590355
115.000000,0.582359
116.000000,0.572456
117.000000,0.565170
118.000000,0.557290
119.000000,0.548281
120.000000,0.538702
121.000000,0.528105
122.000000,0.517033
123.000000,0.506514
124.000000,0.492467
125.000000,0.471359
126.000000,0.460574
127.000000,0.455270
128.000000,0.450399
129.000000,0.445942
130.000000,0.441659
131.000000,0.438589
132.000000,0.430804
133.000000,0.421486
134.000000,0.408690
135.000000,0.400094
136.000000,0.391755
137.000000,0.383978
138.000000,0.376941
139.000000,0.372146
140.000000,0.367628
141.000000,0.364077
142.000000,0.359528
143.000000,0.354061
144.000000,0.347301
145.000000,0.342260
146.000000,0.339640
147.000000,0.337625
148.000000,0.335684
149.000000,0.334208
150.000000,0.332067
151.000000,0.323651
152.000000,0.311678
153.000000,0.309623
154.000000,0.312400
155.000000,0.313457
156.000000,0.316704
157.000000,0.315859
158.000000,0.317063
159.000000,0.318420
160.000000,0.320601
161.000000,0.319528
162.000000,0.319673
163.000000,0.319292
164.000000,0.320119
165.000000,0.320294
