Time(s),Radius(m)
318.000000,0.468642
319.000000,0.475131
320.000000,0.483343
321.000000,0.490280
322.000000,0.494243
323.000000,0.500441
324.000000,0.506640
325.000000,0.512711
326.000000,0.516002
327.000000,0.519769
328.000000,0.523970
329.000000,0.527220
330.000000,0.526393
331.000000,0.522702
332.000000,0.520986
333.000000,0.517831
334.000000,0.515777
335.000000,0.511045
336.000000,0.507672
337.000000,0.503840
338.000000,0.499669
339.000000,0.495928
340.000000,0.493959
341.000000,0.490985
342.000000,0.485606
343.000000,0.482899
344.000000,0.482275
345.000000,0.485999
346.000000,0.490037
347.000000,0.492648
348.000000,0.492370
349.000000,0.489527
350.000000,0.480582
351.000000,0.472601
352.000000,0.465958
353.000000,0.460600
354.000000,0.452032
355.000000,0.444460
356.000000,0.437347
357.000000,0.431160
358.000000,0.422492
359.000000,0.412064
360.000000,0.403809
361.000000,0.394725
362.000000,0.383324
363.000000,0.373048
364.000000,0.361907
365.000000,0.349882
366.000000,0.338628
367.000000,0.327344
368.000000,0.318242
369.000000,0.310230
370.000000,0.304796
371.000000,0.298738
372.000000,0.293886
373.000000,0.288361
374.000000,0.283852
375.000000,0.278949
376.000000,0.275386
377.000000,0.271448
378.000000,0.271548
379.000000,0.268856
380.000000,0.268149
381.000000,0.266731
382.000000,0.266201
383.000000,0.268948
384.000000,0.270524
385.000000,0.271236
386.000000,0.275128
387.000000,0.273167
388.000000,0.271174
389.000000,0.269583
390.000000,0.267323
391.000000,0.265923
392.000000,0.264685
393.000000,0.264751
394.000000,0.264855
395.000000,0.265656
396.000000,0.266279
397.000000,0.266668
398.000000,0.268211
399.000000,0.268804
400.000000,0.270491
401.000000,0.270324
402.000000,0.271435
403.000000,0.271878
404.000000,0.275266
405.000000,0.278247
406.000000,0.282604
407.000000,0.287478
408.000000,0.293652
409.000000,0.300251
410.000000,0.307323
411.000000,0.314991
412.000000,0.323884
413.000000,0.332852
414.000000,0.343445
415.000000,0.354561
416.000000,0.364626
417.000000,0.374236
418.000000,0.385663
419.000000,0.397073
420.000000,0.407091
421.000000,0.415511
422.000000,0.425608
423.000000,0.437354
424.000000,0.448872
425.000000,0.460921
426.000000,0.471762
427.000000,0.483071
428.000000,0.492045
429.000000,0.502892
430.000000,0.512757
431.000000,0.519570
432.000000,0.526911
433.000000,0.530926
434.000000,0.530837
435.000000,0.532226
436.000000,0.535116
437.000000,0.532766
438.000000,0.526290
439.000000,0.522155
440.000000,0.518215
441.000000,0.513090
442.000000,0.504263
443.000000,0.498287
444.000000,0.492010
445.000000,0.484854
446.000000,0.479229
447.000000,0.472362
448.000000,0.464330
449.000000,0.457564
450.000000,0.449849
451.000000,0.441324
452.000000,0.434111
453.000000,0.422366
454.000000,0.405754
455.000000,0.415877
